# Log-binned degree distribution
# Node type: b, n=25,318
# N: 28,004, m: 3
# h: 0.8, f_a: 0.1
# Theories: Diamond, Sterling
# Generated: 2026-04-10T16:53:12.143311
k_bin_center,empirical_prob,Diamond_prob,Sterling_prob
0.0,0.31183347815783236,0.3118496875819138,0.6876757169896097
1.0,0.19519709297732837,0.19476352591815868,0.39255617236219864
2.0,0.1289596334623588,0.1278254339782269,0.23987559377167286
3.0,0.08610474761039577,0.0873204219801554,0.15460632690893492
4.0,0.05968085946757248,0.061652886871513435,0.10401547142589226
5.0,0.04605419069436764,0.044753191132447336,0.07249047615986932
6.0,0.03384943518445375,0.0332613706232819,0.05203231401065615
7.0,0.026344892961529347,0.025228266994661255,0.03829473242936744
8.0,0.019472312188956474,0.019477217745389654,0.028797262776355047
9.0,0.015127577217789715,0.015273117980641552,0.022063938501927723
10.0,0.012402243463148747,0.012142801255358025,0.017184408508544188
11.0,0.009676909708507781,0.00977360497553852,0.013579380870515863
12.0,0.007109566316454696,0.007954064610764158,0.010869990226843408
13.0,0.006319614503515285,0.0065381599265211645,0.008802371963696275
14.0,0.004344734971166759,0.0054231639364633365,0.007202703990193952
15.0,0.00446322774310767,0.004535579782314505,0.0059496399217298344
16.0,0.004660715696342523,0.0038220135477597447,0.004956972472766937
17.0,0.002883324117228849,0.003243131121030309,0.004162479019478415
18.0,0.003238802433051584,0.002769583613128131,0.0035205950387000905
19.0,0.003238802433051584,0.002379214016731857,0.0029975105366216136
20.0,0.0018563867604076151,0.0020551127666861018,0.0025678313206621405
21.0,0.0016588988071727625,0.0017842450452747489,0.0022122696476123897
22.0,0.0015009084445848804,0.0015564690306662553,0.0019160235423351863
23.49468024894146,0.0022513626668773205,0.0012795269920735123,0.0015595984711754322
25.0,0.001105932538115175,0.001060021878802431,0.0012803992421092853
26.0,0.0010664349474682044,0.0009398117767592002,0.0011288910917547667
27.0,0.001026937356821234,0.000836128575901278,0.0009990874743426965
28.495613697550013,0.0008294494035863812,0.0007062737464828382,0.0008377730945961417
30.0,0.0005529662690575875,0.0006000614665822514,0.0007069787667502734
31.496031496047245,0.0010664349474682044,0.0005134781160638885,0.0006012140398506188
33.49626844888845,0.001105932538115175,0.0004206470707662378,0.0004887826334363553
35.0,0.0004739710877636464,0.00036433639112439447,0.00042112965908395897
36.49657518178932,0.000592463859704558,0.0003173246261793766,0.0003650034497667297
38.49675310984031,0.0005529662690575875,0.00026569071426048275,0.00030377331280883837
40.496913462633174,0.0004739710877636464,0.00022412109433083446,0.0002548311968663225
42.49705872175156,0.0001184927719409116,0.00019035415638132857,0.00021533747454300666
44.98888751680797,0.00039497590646970533,0.00015668266492732428,0.0001762202343657105
47.49736834815167,0.0002369855438818232,0.00012996345556673397,0.00014539382610108395
49.98999899979995,0.00031598072517576427,0.00010881193960620866,0.00012114459251039875
52.49761899362675,0.0002369855438818232,9.169180530279705e-05,0.00010163020516679629
54.99090833947008,7.899518129394107e-05,7.787392288279406e-05,8.596331649372878e-05
57.99137866959192,0.00019748795323485267,6.451222516277214e-05,7.089397887791812e-05
60.991802727907626,7.899518129394107e-05,5.389089467183039e-05,5.89792331739804e-05
63.99218702310463,0.00015799036258788213,4.536327124830449e-05,4.9459914068024154e-05
66.9925368977769,3.949759064697053e-05,3.84537576507335e-05,4.1781498539922315e-05
70.48404074682438,0.00015799036258788213,3.198478704403471e-05,3.462451186394561e-05
73.9932429347437,3.949759064697053e-05,2.6794148964737143e-05,2.890712277458552e-05
77.48548251124207,7.899518129394107e-05,2.2630747550396007e-05,2.433974324804026e-05
81.48619514985344,0.00015799036258788213,1.8804614461823736e-05,2.015890229539659e-05
85.97674104081871,0.0001184927719409116,1.5422205164243947e-05,1.647800615727582e-05
90.48756820690895,0.0001184927719409116,1.2754864873584114e-05,1.3586761800719834e-05
94.9789450352024,3.949759064697053e-05,1.0646868400859208e-05,1.1310046650144487e-05
99.9799979995999,3.949759064697053e-05,8.785859116464e-06,9.307018182294604e-06
133.96641370134532,3.949759064697053e-05,2.8982294993659542e-06,3.028063945660148e-06
140.47775624631822,7.899518129394107e-05,2.4164314347277887e-06,2.5198328865962604e-06
154.97096502248414,3.949759064697053e-05,1.6564083520085406e-06,1.72086075159027e-06
170.9532099727876,7.899518129394107e-05,1.1334521619742842e-06,1.1735467165582308e-06
179.95555006723188,3.949759064697053e-05,9.288638216361183e-07,9.601208386017681e-07
185.99731180853126,3.949759064697053e-05,8.169968634432084e-07,8.436191696010993e-07
