# Network edges data
# Layout: spring
# N: 28004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-10T16:53:11.757107
source,target,source_type,target_type
86,17,Type b,Type b
87,48,Type b,Type b
87,69,Type b,Type b
87,31,Type b,Type b
88,16,Type b,Type b
88,28,Type b,Type b
88,10,Type b,Type b
89,80,Type b,Type b
89,67,Type b,Type b
89,39,Type b,Type b
90,43,Type b,Type b
90,88,Type b,Type b
90,55,Type b,Type a
91,26,Type b,Type b
91,5,Type b,Type b
91,67,Type b,Type b
92,32,Type b,Type b
92,43,Type b,Type b
92,7,Type b,Type b
93,38,Type b,Type b
93,5,Type b,Type b
93,39,Type b,Type b
94,64,Type b,Type b
94,47,Type b,Type b
94,34,Type b,Type b
95,16,Type a,Type b
95,83,Type a,Type b
95,5,Type a,Type b
96,69,Type b,Type b
96,0,Type b,Type b
96,7,Type b,Type b
97,18,Type b,Type b
97,2,Type b,Type b
97,15,Type b,Type b
98,2,Type b,Type b
98,0,Type b,Type b
98,6,Type b,Type b
99,77,Type b,Type b
99,31,Type b,Type b
99,39,Type b,Type b
100,49,Type b,Type b
100,9,Type b,Type b
100,93,Type b,Type b
101,21,Type b,Type a
101,0,Type b,Type b
101,40,Type b,Type b
102,82,Type b,Type b
102,78,Type b,Type b
102,68,Type b,Type b
103,39,Type b,Type b
103,20,Type b,Type b
103,93,Type b,Type b
104,5,Type b,Type b
104,13,Type b,Type b
104,24,Type b,Type b
105,82,Type b,Type b
105,20,Type b,Type b
105,78,Type b,Type b
106,9,Type b,Type b
106,57,Type b,Type b
106,24,Type b,Type b
107,3,Type b,Type b
107,32,Type b,Type b
107,24,Type b,Type b
108,34,Type b,Type b
108,69,Type b,Type b
108,5,Type b,Type b
109,105,Type b,Type b
109,2,Type b,Type b
109,31,Type b,Type b
110,29,Type b,Type b
110,69,Type b,Type b
110,15,Type b,Type b
111,4,Type b,Type b
111,107,Type b,Type b
111,46,Type b,Type b
112,1,Type b,Type b
112,76,Type b,Type b
112,92,Type b,Type b
113,95,Type b,Type a
113,7,Type b,Type b
113,5,Type b,Type b
114,60,Type b,Type b
114,61,Type b,Type b
114,110,Type b,Type b
115,1,Type b,Type b
115,5,Type b,Type b
115,30,Type b,Type b
116,94,Type b,Type b
116,0,Type b,Type b
116,76,Type b,Type b
117,0,Type b,Type b
117,15,Type b,Type b
117,83,Type b,Type b
118,101,Type b,Type b
118,77,Type b,Type b
118,68,Type b,Type b
119,51,Type b,Type b
119,67,Type b,Type b
119,4,Type b,Type b
120,20,Type a,Type b
120,27,Type a,Type b
120,61,Type a,Type b
121,27,Type b,Type b
121,32,Type b,Type b
121,42,Type b,Type b
122,27,Type b,Type b
122,113,Type b,Type b
122,5,Type b,Type b
123,39,Type b,Type b
123,114,Type b,Type b
123,115,Type b,Type b
124,85,Type b,Type b
124,70,Type b,Type b
124,16,Type b,Type b
125,116,Type a,Type b
125,32,Type a,Type b
125,46,Type a,Type b
126,85,Type b,Type b
126,50,Type b,Type b
126,116,Type b,Type b
127,25,Type a,Type b
127,23,Type a,Type b
127,29,Type a,Type b
128,7,Type b,Type b
128,122,Type b,Type b
128,24,Type b,Type b
129,114,Type b,Type b
129,1,Type b,Type b
129,3,Type b,Type b
130,125,Type b,Type a
130,36,Type b,Type b
130,0,Type b,Type b
131,29,Type b,Type b
131,17,Type b,Type b
131,4,Type b,Type b
132,30,Type b,Type b
132,100,Type b,Type b
132,18,Type b,Type b
133,131,Type b,Type b
133,119,Type b,Type b
133,85,Type b,Type b
134,64,Type b,Type b
134,83,Type b,Type b
134,131,Type b,Type b
135,132,Type b,Type b
135,126,Type b,Type b
135,116,Type b,Type b
136,7,Type b,Type b
136,70,Type b,Type b
136,73,Type b,Type b
137,4,Type b,Type b
137,3,Type b,Type b
137,54,Type b,Type b
138,37,Type b,Type b
138,6,Type b,Type b
138,26,Type b,Type b
139,31,Type b,Type b
139,3,Type b,Type b
139,64,Type b,Type b
140,97,Type b,Type b
140,42,Type b,Type b
140,7,Type b,Type b
141,38,Type b,Type b
141,3,Type b,Type b
141,18,Type b,Type b
142,9,Type b,Type b
142,92,Type b,Type b
142,138,Type b,Type b
143,41,Type b,Type b
143,50,Type b,Type b
143,39,Type b,Type b
144,121,Type b,Type b
144,107,Type b,Type b
144,93,Type b,Type b
145,16,Type b,Type b
145,0,Type b,Type b
145,4,Type b,Type b
146,67,Type b,Type b
146,5,Type b,Type b
146,78,Type b,Type b
147,112,Type b,Type b
147,11,Type b,Type b
147,25,Type b,Type b
148,61,Type b,Type b
148,102,Type b,Type b
148,29,Type b,Type b
149,5,Type b,Type b
149,29,Type b,Type b
149,43,Type b,Type b
150,135,Type b,Type b
150,116,Type b,Type b
150,36,Type b,Type b
151,139,Type a,Type b
151,131,Type a,Type b
151,117,Type a,Type b
152,121,Type b,Type b
152,6,Type b,Type b
152,1,Type b,Type b
153,5,Type b,Type b
153,81,Type b,Type a
153,0,Type b,Type b
154,137,Type b,Type b
154,35,Type b,Type b
154,0,Type b,Type b
155,121,Type b,Type b
155,38,Type b,Type b
155,102,Type b,Type b
156,66,Type b,Type a
156,13,Type b,Type b
156,108,Type b,Type b
157,49,Type b,Type b
157,15,Type b,Type b
157,14,Type b,Type b
158,1,Type a,Type b
158,24,Type a,Type b
158,14,Type a,Type b
159,42,Type b,Type b
159,20,Type b,Type b
159,3,Type b,Type b
160,61,Type b,Type b
160,2,Type b,Type b
160,0,Type b,Type b
161,146,Type b,Type b
161,4,Type b,Type b
161,147,Type b,Type b
162,22,Type b,Type b
162,100,Type b,Type b
162,159,Type b,Type b
163,64,Type b,Type b
163,88,Type b,Type b
163,10,Type b,Type b
164,20,Type b,Type b
164,63,Type b,Type b
164,5,Type b,Type b
165,27,Type b,Type b
165,1,Type b,Type b
165,41,Type b,Type b
166,133,Type b,Type b
166,2,Type b,Type b
166,37,Type b,Type b
167,64,Type a,Type b
167,26,Type a,Type b
167,7,Type a,Type b
168,98,Type b,Type b
168,67,Type b,Type b
168,16,Type b,Type b
169,109,Type b,Type b
169,126,Type b,Type b
169,39,Type b,Type b
170,100,Type b,Type b
170,30,Type b,Type b
170,36,Type b,Type b
171,16,Type b,Type b
171,4,Type b,Type b
171,38,Type b,Type b
172,133,Type b,Type b
172,42,Type b,Type b
172,99,Type b,Type b
173,148,Type b,Type b
173,123,Type b,Type b
