# Linear-scale discrete degree distribution
# Node type: b, n=25318
# N: 28004, m: 3
# h: 0.8, f_a: 0.1
# Theories: Diamond, Sterling
# Generated: 2026-04-10T16:53:13.995598
k,empirical_pmf,Diamond_pmf,Sterling_pmf
53,3.949759064697053e-05,8.867587843385247e-05,9.820401294899098e-05
54,3.949759064697053e-05,8.303179246175605e-05,9.180204539978632e-05
55,3.949759064697053e-05,7.782847679852963e-05,8.591192275250559e-05
56,,7.302533608929797e-05,8.048540304487396e-05
57,3.949759064697053e-05,6.85860654382692e-05,7.547945983097698e-05
58,3.949759064697053e-05,6.447814037947936e-05,7.085564822160421e-05
59,0.0001184927719409116,6.067237400755215e-05,6.657955625108503e-05
60,3.949759064697053e-05,5.714253158968574e-05,6.26203290062679e-05
61,,5.3864994491925115e-05,5.8950254957826786e-05
62,3.949759064697053e-05,5.081846651061366e-05,5.554440559486938e-05
63,3.949759064697053e-05,4.798371674961693e-05,5.238032084380799e-05
64,0.0001184927719409116,4.5343354061856544e-05,4.943773390233371e-05
65,,4.2881628810238395e-05,4.669833008009204e-05
66,3.949759064697053e-05,4.0584258322418e-05,4.414553504252185e-05
67,,3.843827293590226e-05,4.1764328530316384e-05
68,,3.643187997113755e-05,3.954108019614673e-05
69,3.949759064697053e-05,3.4554343343923674e-05,3.7463404680692816e-05
70,3.949759064697053e-05,3.279587684564707e-05,3.552003345645924e-05
71,,3.114754938969266e-05,3.370070131249008e-05
72,7.899518129394107e-05,2.9601200752440262e-05,3.199604564598693e-05
73,3.949759064697053e-05,2.81493665338135e-05,3.0397516976287094e-05
74,,2.6785211230657814e-05,2.8897299309565584e-05
75,,2.5502468460468907e-05,2.748823916471381e-05
76,3.949759064697053e-05,2.429538749718617e-05,2.616378222689171e-05
77,,2.3158685387456612e-05,2.4917916729237103e-05
78,3.949759064697053e-05,2.208750400799833e-05,2.37451227784813e-05
79,,2.1077371504302407e-05,2.2640326939565505e-05
80,3.949759064697053e-05,2.0124167619848176e-05,2.1598861480131032e-05
81,0.0001184927719409116,1.9224092484796674e-05,2.0616427749952463e-05
82,,1.837363848506382e-05,1.968906323467103e-05
83,,1.756956487782404e-05,1.881311187898269e-05
84,,1.6808874858914654e-05,1.7985197322943194e-05
85,,1.6088794821947963e-05,1.7202198737290644e-05
86,7.899518129394107e-05,1.5406755578960457e-05,1.646122898052306e-05
87,,1.4760375338772123e-05,1.5759614832644364e-05
88,3.949759064697053e-05,1.4147444262219957e-05,1.5094879088638817e-05
89,7.899518129394107e-05,1.3565910433736482e-05,1.4464724319392471e-05
90,3.949759064697053e-05,1.3013867106481551e-05,1.3867018129413313e-05
91,,1.2489541093930048e-05,1.3299779759708145e-05
92,,1.1991282194621316e-05,1.2761167900895215e-05
93,,1.1517553548958324e-05,1.2249469596362055e-05
94,,1.1066922837731678e-05,1.1763090128272093e-05
95,,1.0638054241559219e-05,1.1300543790700656e-05
96,3.949759064697053e-05,1.0229701088899717e-05,1.086044546433099e-05
97,,9.840699127762926e-06,1.0441502916128683e-05
98,,9.469960362927927e-06,1.0042509755380756e-05
99,3.949759064697053e-05,9.116467406368517e-06,9.662338984558207e-06
100,,8.779268293865331e-06,9.299937089745689e-06
101,,8.457471725486795e-06,8.954318620973461e-06
102,,8.150242691775317e-06,8.624561217766852e-06
103,,7.856798451266325e-06,8.30980103966895e-06
104,,7.576404828258935e-06,8.009228565455925e-06
105,,7.308372802783363e-06,7.722084728305982e-06
106,,7.052055367381692e-06,7.447657357351141e-06
107,,6.806844627710414e-06,7.1852778988775665e-06
108,,6.572169126155317e-06,6.93431839298273e-06
109,,6.347491369565579e-06,6.694188683778827e-06
110,,6.132305543962239e-06,6.4643338432803215e-06
111,,5.926135400659259e-06,6.244231790955079e-06
112,,5.728532299630435e-06,6.03339109257528e-06
113,,5.539073397246563e-06,5.831348923496496e-06
114,,5.357359966643459e-06,5.637669182838285e-06
115,,5.183015840034622e-06,5.451940746253036e-06
116,,5.01568596321733e-06,5.273775846065519e-06
117,,4.8550350533619085e-06,5.102808568555811e-06
118,,4.700746351967207e-06,4.9386934590539254e-06
119,,4.552520465533528e-06,4.781104226325283e-06
120,,4.410074287170892e-06,4.629732538460761e-06
121,,4.273139992900229e-06,4.484286903151123e-06
122,,4.141464106960147e-06,4.344491625830056e-06
123,,4.014806630885457e-06,4.210085839718922e-06
124,,3.892940231557461e-06,4.080822602305242e-06
125,,3.7756494838401236e-06,3.956468053240581e-06
126,,3.6627301637384195e-06,3.836800629056557e-06
127,,3.553988588379397e-06,3.7216103304738104e-06
128,,3.4492409993890305e-06,3.610698038421678e-06
129,,3.3483129865224856e-06,3.503874875199065e-06
130,,3.251038948648084e-06,3.4009616074924936e-06
131,,3.1572615894225256e-06,3.3017880882280737e-06
132,,3.0668314451859077e-06,3.206192734472508e-06
133,,2.9796064428179133e-06,3.114022038816219e-06
134,3.949759064697053e-05,2.8954514854473665e-06,3.02513011187124e-06
135,,2.8142380640912933e-06,2.939378253699238e-06
