# In-degree distribution (discrete linear)
# Node type: b
# N: 530, m: 3
# h: 0.2, f_a: 0.2
# Generated: 2026-02-15T17:31:16.513644
k,empirical_prob,theory_prob
0,0.2523809523809524,0.25950189253958655
1,0.1595238095238095,0.1834658681084161
2,0.14047619047619048,0.13203604756964699
3,0.11904761904761904,0.09655898143197057
4,0.06666666666666667,0.07164795318894954
5,0.04523809523809524,0.053871855874647524
6,0.05476190476190476,0.04099925834875416
7,0.030952380952380953,0.03155117746340403
8,0.023809523809523808,0.024530211693842438
9,0.009523809523809525,0.019252940632110756
10,0.014285714285714285,0.015244166467308331
11,0.014285714285714285,0.012168963066229273
12,0.02142857142857143,0.009788282944372041
13,0.014285714285714285,0.00792950351832516
14,0.002380952380952381,0.006466602841634439
15,0.007142857142857143,0.005306637068584701
16,0.011904761904761904,0.004380400594063605
17,0.002380952380952381,0.003635899296136791
18,0.0,0.0030337393180700214
19,0.0,0.002543835448956877
20,0.002380952380952381,0.0021430385530591244
21,0.0,0.0018134097067517374
22,0.0,0.0015409538509303846
23,0.0,0.001314682966285862
24,0.004761904761904762,0.0011259176194400853
25,0.002380952380952381,0.0009677623725346455
