# Network edge list with node attributes
# N: 530, m: 3
# h: 0.2, f_a: 0.2
# Initial network nodes: 0 to 29
# Added nodes: 30 to 529
# Total edges: 1528
# Type a nodes: 110
# Type b nodes: 420
# Generated: 2026-02-15T17:31:14.159370
source,target,source_type,target_type,source_in_degree,target_in_degree,source_is_initial,target_is_initial,source_order,target_order
71,8,a,b,1,16,False,True,71,8
71,25,a,a,1,9,False,True,71,25
71,29,a,b,1,16,False,True,71,29
72,3,b,b,10,25,False,True,72,3
72,48,b,b,10,13,False,False,72,48
72,7,b,b,10,24,False,True,72,7
73,22,a,b,1,13,False,True,73,22
73,56,a,b,1,11,False,False,73,56
73,13,a,b,1,15,False,True,73,13
74,60,b,b,8,7,False,False,74,60
74,45,b,b,8,17,False,False,74,45
74,61,b,b,8,6,False,False,74,61
75,9,b,b,6,13,False,True,75,9
75,21,b,b,6,10,False,True,75,21
75,11,b,b,6,16,False,True,75,11
76,26,a,a,1,31,False,True,76,26
76,17,a,a,1,19,False,True,76,17
76,50,a,b,1,10,False,False,76,50
77,8,b,b,8,16,False,True,77,8
77,60,b,b,8,7,False,False,77,60
77,40,b,b,8,5,False,False,77,40
78,18,b,b,7,15,False,True,78,18
78,6,b,b,7,20,False,True,78,6
78,42,b,b,7,7,False,False,78,42
79,45,b,b,10,17,False,False,79,45
79,12,b,b,10,11,False,True,79,12
79,14,b,b,10,24,False,True,79,14
80,1,b,a,11,5,False,True,80,1
80,72,b,b,11,10,False,False,80,72
80,59,b,b,11,4,False,False,80,59
81,46,a,b,2,6,False,False,81,46
81,4,a,b,2,12,False,True,81,4
81,18,a,b,2,15,False,True,81,18
82,14,a,b,0,24,False,True,82,14
82,23,a,b,0,11,False,True,82,23
82,17,a,a,0,19,False,True,82,17
83,37,a,b,0,6,False,False,83,37
83,18,a,b,0,15,False,True,83,18
83,28,a,b,0,12,False,True,83,28
84,79,b,b,7,10,False,False,84,79
84,63,b,b,7,11,False,False,84,63
84,35,b,b,7,16,False,False,84,35
85,6,b,b,5,20,False,True,85,6
85,68,b,b,5,5,False,False,85,68
85,74,b,b,5,8,False,False,85,74
86,6,b,b,6,20,False,True,86,6
86,31,b,b,6,9,False,False,86,31
86,0,b,a,6,18,False,True,86,0
87,38,b,b,6,8,False,False,87,38
87,32,b,b,6,13,False,False,87,32
87,16,b,b,6,12,False,True,87,16
88,37,b,b,10,6,False,False,88,37
88,25,b,a,10,9,False,True,88,25
88,7,b,b,10,24,False,True,88,7
89,26,b,a,8,31,False,True,89,26
89,0,b,a,8,18,False,True,89,0
89,35,b,b,8,16,False,False,89,35
90,49,a,b,2,13,False,False,90,49
90,0,a,a,2,18,False,True,90,0
90,17,a,a,2,19,False,True,90,17
91,41,a,b,2,4,False,False,91,41
91,7,a,b,2,24,False,True,91,7
91,66,a,b,2,4,False,False,91,66
92,41,b,b,7,4,False,False,92,41
92,66,b,b,7,4,False,False,92,66
92,70,b,b,7,7,False,False,92,70
93,57,a,b,0,2,False,False,93,57
93,55,a,b,0,8,False,False,93,55
93,67,a,b,0,5,False,False,93,67
94,7,b,b,4,24,False,True,94,7
94,14,b,b,4,24,False,True,94,14
94,4,b,b,4,12,False,True,94,4
95,49,b,b,3,13,False,False,95,49
95,11,b,b,3,16,False,True,95,11
95,63,b,b,3,11,False,False,95,63
96,24,b,a,7,11,False,True,96,24
96,11,b,b,7,16,False,True,96,11
96,52,b,a,7,6,False,False,96,52
97,7,b,b,6,24,False,True,97,7
97,86,b,b,6,6,False,False,97,86
97,56,b,b,6,11,False,False,97,56
98,75,a,b,1,6,False,False,98,75
98,36,a,b,1,12,False,False,98,36
98,64,a,b,1,7,False,False,98,64
99,75,b,b,4,6,False,False,99,75
99,48,b,b,4,13,False,False,99,48
99,40,b,b,4,5,False,False,99,40
100,97,b,b,8,6,False,False,100,97
100,87,b,b,8,6,False,False,100,87
100,22,b,b,8,13,False,True,100,22
101,0,b,a,4,18,False,True,101,0
101,61,b,b,4,6,False,False,101,61
101,26,b,a,4,31,False,True,101,26
102,13,a,b,2,15,False,True,102,13
102,26,a,a,2,31,False,True,102,26
102,77,a,b,2,8,False,False,102,77
103,77,b,b,7,8,False,False,103,77
103,41,b,b,7,4,False,False,103,41
103,71,b,a,7,1,False,False,103,71
104,23,b,b,6,11,False,True,104,23
104,32,b,b,6,13,False,False,104,32
104,86,b,b,6,6,False,False,104,86
105,0,b,a,1,18,False,True,105,0
105,92,b,b,1,7,False,False,105,92
105,101,b,b,1,4,False,False,105,101
106,99,b,b,3,4,False,False,106,99
106,49,b,b,3,13,False,False,106,49
106,64,b,b,3,7,False,False,106,64
107,61,b,b,4,6,False,False,107,61
107,46,b,b,4,6,False,False,107,46
107,101,b,b,4,4,False,False,107,101
108,53,b,b,2,6,False,False,108,53
108,100,b,b,2,8,False,False,108,100
108,59,b,b,2,4,False,False,108,59
109,29,b,b,6,16,False,True,109,29
109,43,b,b,6,8,False,False,109,43
109,20,b,b,6,12,False,True,109,20
110,21,b,b,8,10,False,True,110,21
110,103,b,b,8,7,False,False,110,103
110,8,b,b,8,16,False,True,110,8
111,102,b,a,12,2,False,False,111,102
111,48,b,b,12,13,False,False,111,48
111,22,b,b,12,13,False,True,111,22
112,89,b,b,4,8,False,False,112,89
112,22,b,b,4,13,False,True,112,22
112,35,b,b,4,16,False,False,112,35
113,44,b,b,2,9,False,False,113,44
113,22,b,b,2,13,False,True,113,22
113,94,b,b,2,4,False,False,113,94
114,60,a,b,0,7,False,False,114,60
114,24,a,a,0,11,False,True,114,24
114,110,a,b,0,8,False,False,114,110
115,14,b,b,10,24,False,True,115,14
115,45,b,b,10,17,False,False,115,45
115,89,b,b,10,8,False,False,115,89
116,84,b,b,6,7,False,False,116,84
116,70,b,b,6,7,False,False,116,70
116,74,b,b,6,8,False,False,116,74
117,13,b,b,6,15,False,True,117,13
117,20,b,b,6,12,False,True,117,20
117,36,b,b,6,12,False,False,117,36
118,86,b,b,5,6,False,False,118,86
118,94,b,b,5,4,False,False,118,94
118,109,b,b,5,6,False,False,118,109
119,62,b,b,2,12,False,False,119,62
119,2,b,b,2,16,False,True,119,2
119,44,b,b,2,9,False,False,119,44
120,70,b,b,5,7,False,False,120,70
120,113,b,b,5,2,False,False,120,113
120,72,b,b,5,10,False,False,120,72
121,96,b,b,4,7,False,False,121,96
121,44,b,b,4,9,False,False,121,44
121,95,b,b,4,3,False,False,121,95
122,78,b,b,6,7,False,False,122,78
122,67,b,b,6,5,False,False,122,67
122,36,b,b,6,12,False,False,122,36
123,24,a,a,1,11,False,True,123,24
123,80,a,b,1,11,False,False,123,80
123,118,a,b,1,5,False,False,123,118
124,66,b,b,6,4,False,False,124,66
124,31,b,b,6,9,False,False,124,31
124,56,b,b,6,11,False,False,124,56
125,97,a,b,0,6,False,False,125,97
125,25,a,a,0,9,False,True,125,25
125,20,a,b,0,12,False,True,125,20
126,122,b,b,7,6,False,False,126,122
126,78,b,b,7,7,False,False,126,78
126,52,b,a,7,6,False,False,126,52
127,89,b,b,5,8,False,False,127,89
127,28,b,b,5,12,False,True,127,28
127,30,b,b,5,14,False,False,127,30
128,0,b,a,7,18,False,True,128,0
128,55,b,b,7,8,False,False,128,55
128,110,b,b,7,8,False,False,128,110
129,10,a,b,0,15,False,True,129,10
129,111,a,b,0,12,False,False,129,111
129,66,a,b,0,4,False,False,129,66
130,36,b,b,4,12,False,False,130,36
130,39,b,b,4,13,False,False,130,39
130,7,b,b,4,24,False,True,130,7
131,124,a,b,0,6,False,False,131,124
131,100,a,b,0,8,False,False,131,100
131,62,a,b,0,12,False,False,131,62
132,100,b,b,2,8,False,False,132,100
132,16,b,b,2,12,False,True,132,16
132,111,b,b,2,12,False,False,132,111
133,86,b,b,9,6,False,False,133,86
133,29,b,b,9,16,False,True,133,29
133,14,b,b,9,24,False,True,133,14
134,126,b,b,8,7,False,False,134,126
134,119,b,b,8,2,False,False,134,119
134,28,b,b,8,12,False,True,134,28
135,111,b,b,4,12,False,False,135,111
135,134,b,b,4,8,False,False,135,134
135,23,b,b,4,11,False,True,135,23
136,8,b,b,3,16,False,True,136,8
136,47,b,b,3,3,False,False,136,47
136,14,b,b,3,24,False,True,136,14
137,85,b,b,6,5,False,False,137,85
137,53,b,b,6,6,False,False,137,53
137,2,b,b,6,16,False,True,137,2
138,126,b,b,5,7,False,False,138,126
138,2,b,b,5,16,False,True,138,2
138,133,b,b,5,9,False,False,138,133
139,80,a,b,0,11,False,False,139,80
139,20,a,b,0,12,False,True,139,20
139,110,a,b,0,8,False,False,139,110
140,106,b,b,3,3,False,False,140,106
140,62,b,b,3,12,False,False,140,62
140,63,b,b,3,11,False,False,140,63
141,133,b,b,5,9,False,False,141,133
141,49,b,b,5,13,False,False,141,49
141,137,b,b,5,6,False,False,141,137
142,35,b,b,3,16,False,False,142,35
142,9,b,b,3,13,False,True,142,9
142,104,b,b,3,6,False,False,142,104
143,27,b,b,3,12,False,True,143,27
143,32,b,b,3,13,False,False,143,32
143,40,b,b,3,5,False,False,143,40
144,123,a,a,0,1,False,False,144,123
144,50,a,b,0,10,False,False,144,50
144,62,a,b,0,12,False,False,144,62
145,34,b,a,2,7,False,False,145,34
145,52,b,a,2,6,False,False,145,52
145,45,b,b,2,17,False,False,145,45
146,4,b,b,7,12,False,True,146,4
146,128,b,b,7,7,False,False,146,128
146,112,b,b,7,4,False,False,146,112
147,39,b,b,8,13,False,False,147,39
147,65,b,b,8,5,False,False,147,65
147,59,b,b,8,4,False,False,147,59
148,79,b,b,2,10,False,False,148,79
148,0,b,a,2,18,False,True,148,0
148,21,b,b,2,10,False,True,148,21
149,77,b,b,2,8,False,False,149,77
149,31,b,b,2,9,False,False,149,31
149,141,b,b,2,5,False,False,149,141
150,95,a,b,0,3,False,False,150,95
150,110,a,b,0,8,False,False,150,110
150,96,a,b,0,7,False,False,150,96
151,117,b,b,4,6,False,False,151,117
151,45,b,b,4,17,False,False,151,45
151,67,b,b,4,5,False,False,151,67
152,28,b,b,3,12,False,True,152,28
152,88,b,b,3,10,False,False,152,88
152,117,b,b,3,6,False,False,152,117
153,120,a,b,2,5,False,False,153,120
153,88,a,b,2,10,False,False,153,88
153,78,a,b,2,7,False,False,153,78
154,126,a,b,0,7,False,False,154,126
154,111,a,b,0,12,False,False,154,111
154,105,a,b,0,1,False,False,154,105
155,85,a,b,0,5,False,False,155,85
155,50,a,b,0,10,False,False,155,50
