# Normalization constant A(k)
# Node type: b
# p0: 0.259502, alpha: 15.625000, gamma: 6.475662
# A_asymptotic: 38426735.792706
# Generated: 2026-02-15T17:31:17.716658
k,A_k,A_asymptotic
0,38426735.792705536,38426735.79270554
1,38426735.79270554,38426735.79270554
2,38426735.79270556,38426735.79270554
3,38426735.79270555,38426735.79270554
4,38426735.79270554,38426735.79270554
5,38426735.79270557,38426735.79270554
6,38426735.79270554,38426735.79270554
7,38426735.79270553,38426735.79270554
8,38426735.79270552,38426735.79270554
9,38426735.79270552,38426735.79270554
10,38426735.79270603,38426735.79270554
11,38426735.79270567,38426735.79270554
12,38426735.7927062,38426735.79270554
13,38426735.79270578,38426735.79270554
14,38426735.79270575,38426735.79270554
15,38426735.79270584,38426735.79270554
16,38426735.792706266,38426735.79270554
17,38426735.7927064,38426735.79270554
18,38426735.792705774,38426735.79270554
19,38426735.792706266,38426735.79270554
20,38426735.79270642,38426735.79270554
21,38426735.79270655,38426735.79270554
22,38426735.79270591,38426735.79270554
23,38426735.79270568,38426735.79270554
24,38426735.79270604,38426735.79270554
25,38426735.79270649,38426735.79270554
