# Sterling PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: a
# A: 8.448956, alpha: 1.851852, gamma: 2.869489
# Generated: 2026-03-12T19:31:57.956670
k,pmf,A,alpha,gamma
0,1.4418166459745685,8.448956489775695,1.8518518518518516,2.8694885361552025
1,0.41765864624989896,8.448956489775695,1.8518518518518516,2.8694885361552025
2,0.17629132493378988,8.448956489775695,1.8518518518518516,2.8694885361552025
3,0.09090740799960344,8.448956489775695,1.8518518518518516,2.8694885361552025
4,0.0530962292752626,8.448956489775695,1.8518518518518516,2.8694885361552025
5,0.03376460720351174,8.448956489775695,1.8518518518518516,2.8694885361552025
6,0.022839726642074235,8.448956489775695,1.8518518518518516,2.8694885361552025
7,0.016191961955061816,8.448956489775695,1.8518518518518516,2.8694885361552025
8,0.011910086840260622,8.448956489775695,1.8518518518518516,2.8694885361552025
9,0.009024780110828825,8.448956489775695,1.8518518518518516,2.8694885361552025
10,0.0070078668527731236,8.448956489775695,1.8518518518518516,2.8694885361552025
11,0.005554419538554492,8.448956489775695,1.8518518518518516,2.8694885361552025
12,0.004479808179777604,8.448956489775695,1.8518518518518516,2.8694885361552025
13,0.0036676851825469406,8.448956489775695,1.8518518518518516,2.8694885361552025
14,0.0030421964639274755,8.448956489775695,1.8518518518518516,2.8694885361552025
15,0.002552417738925673,8.448956489775695,1.8518518518518516,2.8694885361552025
16,0.00216327767170924,8.448956489775695,1.8518518518518516,2.8694885361552025
17,0.001850075018397711,8.448956489775695,1.8518518518518516,2.8694885361552025
18,0.0015950632483273457,8.448956489775695,1.8518518518518516,2.8694885361552025
19,0.0013852644156110354,8.448956489775695,1.8518518518518516,2.8694885361552025
20,0.0012110355808628468,8.448956489775695,1.8518518518518516,2.8694885361552025
21,0.0010651081188261277,8.448956489775695,1.8518518518518516,2.8694885361552025
22,0.0009419312167029803,8.448956489775695,1.8518518518518516,2.8694885361552025
23,0.000837215228653755,8.448956489775695,1.8518518518518516,2.8694885361552025
24,0.0007476088817051437,8.448956489775695,1.8518518518518516,2.8694885361552025
25,0.0006704677094525491,8.448956489775695,1.8518518518518516,2.8694885361552025
