# Normalization constant A(k)
# Node type: b
# p0: 0.666667, alpha: 2.000000, gamma: 5.000000
# A_asymptotic: 480.000000
# Generated: 2026-02-17T19:07:38.986259
k,A_k,A_asymptotic
0,480.0,480.0
1,480.0,480.0
2,480.0,480.0
3,480.0,480.0
4,480.0,480.0
5,479.99999999999994,480.0
6,480.0,480.0
7,480.0,480.0
8,480.0,480.0
9,480.0,480.0
10,479.9999999999999,480.0
11,480.0,480.0
12,480.0,480.0
13,479.9999999999999,480.0
14,480.0,480.0
15,479.9999999999999,480.0
16,479.99999999999983,480.0
17,479.99999999999994,480.0
18,479.9999999999998,480.0
19,479.99999999999983,480.0
20,480.0,480.0
21,479.99999999999983,480.0
22,479.99999999999966,480.0
23,479.9999999999997,480.0
24,479.99999999999994,480.0
25,479.99999999999983,480.0
