# Normalization constant A(k)
# Node type: a
# p0: 0.285714, alpha: 10.000000, gamma: 5.000000
# A_asymptotic: 68640.000000
# Generated: 2026-02-17T19:07:38.973236
k,A_k,A_asymptotic
0,68640.0,68640.0
1,68640.0,68640.0
2,68639.99999999999,68640.0
3,68640.0,68640.0
4,68640.0,68640.0
5,68640.0,68640.0
6,68640.0,68640.0
7,68640.0,68640.0
8,68640.0,68640.0
9,68640.0,68640.0
10,68639.99999999999,68640.0
11,68639.99999999999,68640.0
12,68640.00000000001,68640.0
13,68640.0,68640.0
14,68639.99999999997,68640.0
15,68639.99999999999,68640.0
16,68640.00000000001,68640.0
17,68639.99999999999,68640.0
18,68640.00000000001,68640.0
19,68640.00000000012,68640.0
20,68639.99999999964,68640.0
21,68640.00000000004,68640.0
22,68640.0000000003,68640.0
23,68639.9999999995,68640.0
24,68639.99999999981,68640.0
25,68640.00000000044,68640.0
