# frac_edges grid for p_c=0.2,,,
# Valid region: n0 > m,,,
# Generated: 2026-02-16T09:01:17.279520,,,
m,n0,frac_edges,valid
15,110,0.87478491,TRUE
,,,
17,110,0.873315573,TRUE
,,,
19,110,0.831913969,TRUE
,,,
21,110,0.795452258,TRUE
,,,
23,110,0.807040196,TRUE
,,,
25,110,0.780226951,TRUE
,,,
27,110,0.738754984,TRUE
,,,
29,110,0.726811092,TRUE
,,,
31,110,0.70867172,TRUE
,,,
33,110,0.003153159,TRUE
,,,
1,120,1,TRUE
,,,
3,120,0.966484774,TRUE
,,,
5,120,0.946834618,TRUE
,,,
7,120,0.951532328,TRUE
,,,
9,120,0.950666373,TRUE
,,,
11,120,0.93083794,TRUE
,,,
13,120,0.921202336,TRUE
,,,
15,120,0.885519494,TRUE
,,,
17,120,0.867879826,TRUE
,,,
19,120,0.824198166,TRUE
,,,
21,120,0.798566427,TRUE
,,,
23,120,0.80836463,TRUE
,,,
25,120,0.779043103,TRUE
,,,
27,120,0.733931831,TRUE
,,,
29,120,0.722079623,TRUE
,,,
31,120,0.694534433,TRUE
,,,
33,120,0.003146573,TRUE
,,,
1,130,1,TRUE
,,,
3,130,0.97609166,TRUE
,,,
5,130,0.948634191,TRUE
,,,
7,130,0.941548334,TRUE
,,,
9,130,0.924823253,TRUE
,,,
11,130,0.911880963,TRUE
,,,
13,130,0.911839024,TRUE
,,,
15,130,0.880135517,TRUE
,,,
17,130,0.848124378,TRUE
,,,
19,130,0.833304618,TRUE
,,,
21,130,0.814662072,TRUE
,,,
23,130,0.787210365,TRUE
,,,
25,130,0.768183519,TRUE
,,,
27,130,0.739210427,TRUE
,,,
29,130,0.712423305,TRUE
,,,
31,130,0.712633759,TRUE
,,,
33,130,0.003370186,TRUE
,,,
1,140,1,TRUE
,,,
3,140,0.946775626,TRUE
,,,
5,140,0.940989848,TRUE
,,,
7,140,0.945320715,TRUE
,,,
9,140,0.931827552,TRUE
,,,
11,140,0.914185162,TRUE
,,,
13,140,0.898550171,TRUE
,,,
15,140,0.877676187,TRUE
,,,
17,140,0.846961573,TRUE
,,,
19,140,0.814467802,TRUE
,,,
21,140,0.807320915,TRUE
,,,
23,140,0.777399795,TRUE
,,,
25,140,0.741815948,TRUE
,,,
27,140,0.731388655,TRUE
,,,
29,140,0.724498197,TRUE
,,,
31,140,0.709970875,TRUE
,,,
33,140,0.678207347,TRUE
,,,
1,150,1,TRUE
,,,
3,150,1,TRUE
,,,
5,150,0.935771183,TRUE
,,,
7,150,0.933296232,TRUE
,,,
9,150,0.912654357,TRUE
,,,
11,150,0.897066631,TRUE
,,,
13,150,0.888715528,TRUE
,,,
15,150,0.848115042,TRUE
,,,
17,150,0.869536222,TRUE
,,,
19,150,0.815299588,TRUE
,,,
21,150,0.801513288,TRUE
,,,
23,150,0.801713466,TRUE
,,,
25,150,0.77472683,TRUE
,,,
27,150,0.748454716,TRUE
,,,
29,150,0.708091742,TRUE
,,,
31,150,0.698101269,TRUE
,,,
33,150,0.675670415,TRUE
