# frac_nodes grid for p_c=0.2,,,
# Valid region: n0 > m,,,
# Generated: 2026-02-16T09:01:16.928919,,,
m,n0,frac_nodes,valid
15,110,0.99370914,TRUE
,,,
17,110,0.994201826,TRUE
,,,
19,110,0.992345679,TRUE
,,,
21,110,0.991055018,TRUE
,,,
23,110,0.991975309,TRUE
,,,
25,110,0.991064871,TRUE
,,,
27,110,0.989971524,TRUE
,,,
29,110,0.989579457,TRUE
,,,
31,110,0.989275148,TRUE
,,,
33,110,0.177128651,TRUE
,,,
1,120,1,TRUE
,,,
3,120,0.996821516,TRUE
,,,
5,120,0.995556104,TRUE
,,,
7,120,0.996380429,TRUE
,,,
9,120,0.99666502,TRUE
,,,
11,120,0.995905199,TRUE
,,,
13,120,0.995700246,TRUE
,,,
15,120,0.993979604,TRUE
,,,
17,120,0.993339911,TRUE
,,,
19,120,0.991583117,TRUE
,,,
21,120,0.990693634,TRUE
,,,
23,120,0.991655418,TRUE
,,,
25,120,0.990906857,TRUE
,,,
27,120,0.9891143,TRUE
,,,
29,120,0.989314115,TRUE
,,,
31,120,0.988447831,TRUE
,,,
33,120,0.173703704,TRUE
,,,
1,130,1,TRUE
,,,
3,130,0.997782432,TRUE
,,,
5,130,0.995557201,TRUE
,,,
7,130,0.995437731,TRUE
,,,
9,130,0.994657721,TRUE
,,,
11,130,0.994574599,TRUE
,,,
13,130,0.995047666,TRUE
,,,
15,130,0.99347371,TRUE
,,,
17,130,0.992208756,TRUE
,,,
19,130,0.991816491,TRUE
,,,
21,130,0.991278345,TRUE
,,,
23,130,0.990513737,TRUE
,,,
25,130,0.990039351,TRUE
,,,
27,130,0.989137144,TRUE
,,,
29,130,0.988016477,TRUE
,,,
31,130,0.988283177,TRUE
,,,
33,130,0.182354387,TRUE
,,,
1,140,1,TRUE
,,,
3,140,0.994571252,TRUE
,,,
5,140,0.994678876,TRUE
,,,
7,140,0.995545106,TRUE
,,,
9,140,0.995210022,TRUE
,,,
11,140,0.994339158,TRUE
,,,
13,140,0.993845396,TRUE
,,,
15,140,0.993150685,TRUE
,,,
17,140,0.991770574,TRUE
,,,
19,140,0.990519576,TRUE
,,,
21,140,0.990514905,TRUE
,,,
23,140,0.989655172,TRUE
,,,
25,140,0.988163469,TRUE
,,,
27,140,0.988222304,TRUE
,,,
29,140,0.9884108,TRUE
,,,
31,140,0.988089391,TRUE
,,,
33,140,0.987174744,TRUE
,,,
1,150,1,TRUE
,,,
3,150,1,TRUE
,,,
5,150,0.994209683,TRUE
,,,
7,150,0.994601227,TRUE
,,,
9,150,0.993709916,TRUE
,,,
11,150,0.993136414,TRUE
,,,
13,150,0.993124616,TRUE
,,,
15,150,0.991082487,TRUE
,,,
17,150,0.99286066,TRUE
,,,
19,150,0.990598714,TRUE
,,,
21,150,0.989703359,TRUE
,,,
23,150,0.990429448,TRUE
,,,
25,150,0.989651814,TRUE
,,,
27,150,0.988587557,TRUE
,,,
29,150,0.986998651,TRUE
,,,
31,150,0.987000124,TRUE
,,,
33,150,0.986387823,TRUE
