# Beta MLE analysis
# Sweep: m_edges, value: 17
# Node type: b, a: 0
# Generated: 2026-02-15T23:13:55.932160
b,p0_mle_mean,p0_mle_std,p0_theory,p0_pct_diff,p0_pct_diff_lower,p0_pct_diff_upper,alpha_mle_mean,alpha_mle_std,alpha_theory,alpha_pct_diff,alpha_pct_diff_lower,alpha_pct_diff_upper,gamma_mle_mean,gamma_mle_std,gamma_theory,gamma_pct_diff,gamma_pct_diff_lower,gamma_pct_diff_upper
1,0.11344960962802215,2.016580065119985e-05,0.11346119922420755,-0.010214589890326408,-0.027987891062078316,0.007558711281425502,15.602841906193522,0.14304270171147676,15.625,-0.14181180036146088,-1.057285091314912,0.7736614905919904,3.0982638992519687,0.7151194129951703,2.9997221061580994,3.285030733066032,-20.554491318897007,27.124552785029074
17,0.1132225197783925,0.002864287583105047,0.11346119922420755,-0.2103621744235306,-2.734826575196351,2.3141022263492896,16.60115218244974,4.944940064118735,15.625,6.247373967678345,-25.40024244268156,37.89499037803825,3.124289669036413,0.7192222728927088,2.9997221061580994,4.152636760004872,-19.823659958155275,28.128933478165017
33,0.11345545702085552,0.0011111527627596278,0.11346119922420755,-0.005060940119878049,-0.984384947231692,0.974263066991936,16.05193207170842,1.9038393957574273,15.625,2.7323652589338963,-9.452206873913639,14.916937391781431,3.0445474769056826,0.24838854431371304,2.9997221061580994,1.4943174454580856,-6.786067721014458,9.774702611930628
49,0.11363313574890457,0.0005594597369946562,0.11346119922420755,0.15153772908504204,-0.34154690321213926,0.6446223613822233,15.758502370281752,0.9509890808682121,15.625,0.8544151698032124,-5.231914947753345,6.94074528735977,3.0060833466014767,0.11781531945806069,2.9997221061580994,0.2120609915937994,-3.715480136839358,4.139602120026956
65,0.11347056445162496,0.00023116913108402887,0.11346119922420755,0.008254123419668143,-0.1954887707720475,0.21199701761138376,15.496236318652066,0.8495658081431693,15.625,-0.8240875606267763,-6.26130873274306,4.6131336114895065,2.9721665376357675,0.09891139596394508,2.9997221061580994,-0.9186040422132211,-4.215956012280411,2.3787479278539685
81,0.11347461127708953,0.00016185595489038782,0.11346119922420755,0.011820827713514377,-0.13083230480851082,0.15447396023553955,15.323634536350083,0.7490469947396663,15.625,-1.9287389673594704,-6.722639733693335,2.8651617989743943,2.950287276755398,0.08450883559076079,2.9997221061580994,-1.6479803012824794,-4.465202450536687,1.169241847971728
97,0.11347350603327229,0.00016268716661895917,0.11346119922420755,0.010846711606155619,-0.13253901649414193,0.15423243970645314,15.318075842404896,0.7402335022547316,15.625,-1.9643146086086631,-6.701809023038946,2.77317980582162,2.949546188117145,0.08363289441453368,2.9997221061580994,-1.672685544369213,-4.460706949513528,1.115335860775102
113,0.1135043411098556,0.0003095631739420888,0.11346119922420755,0.0380234705282816,-0.2348126849669283,0.3108596260234915,15.307320269393497,0.6610707963735091,15.625,-2.0331502758816216,-6.26400337267208,2.1977028209088365,2.9483746115883833,0.07659560464618032,2.9997221061580994,-1.711741713150873,-4.26516506156498,0.8416816352632344
129,0.11347441362465173,0.00024491228771115613,0.11346119922420755,0.011646625044093452,-0.20420891798360866,0.22750216807179555,15.250187685168019,0.6015275690171386,15.625,-2.3987988149246804,-6.248575256634368,1.4509776267850065,2.9417859810432168,0.07164306963475177,2.9997221061580994,-1.9313830769839038,-4.319706631611728,0.456940477643921
146,0.1134995864396161,0.00016786623708302137,0.11346119922420755,0.033832901177694254,-0.11411744504710239,0.18178324740249088,15.271220182082596,0.6332657715843206,15.625,-2.2641908346713877,-6.31709177281104,1.7887101034682638,2.9441452255893137,0.07330883247878921,2.9997221061580994,-1.8527343067777018,-4.296588433408107,0.591119819852703
162,0.11347742407897835,0.00015479541442246745,0.11346119922420755,0.014299914756523561,-0.12213034993385793,0.15073017944690506,15.226952578928465,0.5782934166565182,15.625,-2.547503494857824,-6.248581361459541,1.1535743717438929,2.9390978290142846,0.06842583200776943,2.9997221061580994,-2.020996445616073,-4.302068811196162,0.2600759199640157
178,0.11341972407585449,0.00022464066510592776,0.11346119922420755,-0.03655447733379514,-0.23454345210394678,0.16143449743635652,15.182062253831402,0.49253300539603906,15.625,-2.8348015754790254,-5.987012810013676,0.31740965905562435,2.934127385106505,0.05830159012839596,2.9997221061580994,-2.186693257916646,-4.13025963057194,-0.24312688526135173
194,0.11346087530145006,0.00015125658830231794,0.11346119922420755,-0.00028549209748069,-0.13359678206844597,0.1330257978734846,15.187652474689658,0.4613155856634252,15.625,-2.7990241619861878,-5.751443910232108,0.15339558625973337,2.9347434862775628,0.05522816041453994,2.9997221061580994,-2.16615464969714,-4.007263874487084,-0.3250454249071968
