# P-value vs truncation analysis
# Sweep: n0, value: 80
# Node type: b, a: 0
# Confidence interval: z = 1.0
# Generated: 2026-02-16T00:00:17.735157
b,p,sigma_p,p_lower_bound,D_theory_mean,D_mle_mean
1,0.58,0.06979971346646059,0.5102002865335393,0.8413726728873349,0.8423796850670453
2,0.52,0.07065408693062278,0.4493459130693772,1.1036320833881066,1.1035413613750757
3,0.58,0.06979971346646059,0.5102002865335393,1.4675908825949613,1.4713056794714106
4,0.56,0.07019971509913697,0.4898002849008631,2.2919181993203552,2.295104607982344
5,0.5,0.07071067811865475,0.4292893218813453,3.077983635323946,3.0827527693938634
6,0.54,0.07048404074682439,0.46951595925317563,3.8728787397309152,3.8807976350736184
7,0.48,0.07065408693062278,0.4093459130693772,4.691831008566901,4.698960534843424
9,0.56,0.07019971509913697,0.4898002849008631,6.458111989389447,6.483541150163877
10,0.52,0.07065408693062278,0.4493459130693772,7.416167993017915,7.42904463820241
11,0.56,0.07019971509913697,0.4898002849008631,8.437404225754124,8.45266831460174
12,0.6,0.06928203230275509,0.5307179676972449,9.5272829875828,9.54195880422944
13,0.5,0.07071067811865475,0.4292893218813453,10.685367533924435,10.670457360995648
14,0.48,0.07065408693062278,0.4093459130693772,11.921905228108455,11.907445278250437
15,0.5,0.07071067811865475,0.4292893218813453,13.244630301164632,13.290147829183883
17,0.54,0.07048404074682439,0.46951595925317563,16.130138930890933,16.174351801310237
18,0.54,0.07048404074682439,0.46951595925317563,17.709442289808916,17.776488968275178
19,0.54,0.07048404074682439,0.46951595925317563,19.39012864740386,19.51901451125097
20,0.58,0.06979971346646059,0.5102002865335393,21.16502329741202,21.30349972903876
21,0.72,0.06349803146555018,0.6565019685344498,23.04521508511889,23.323026784297767
22,0.58,0.06979971346646059,0.5102002865335393,25.03200266773921,25.372933447310725
23,0.7,0.06480740698407861,0.6351925930159213,27.122046214221555,27.493776180396527
25,0.48,0.07065408693062278,0.4093459130693772,31.650557057402,31.95754953909365
26,0.48,0.07065408693062278,0.4093459130693772,34.09798517292986,34.42209427026788
27,0.56,0.07019971509913697,0.4898002849008631,36.669972226566216,36.98954608085331
28,0.52,0.07065408693062278,0.4493459130693772,39.366380094152944,39.593493221204085
29,0.48,0.07065408693062278,0.4093459130693772,42.19456379325831,42.293537946314615
30,0.46,0.07048404074682439,0.3895159592531756,45.15805983181353,45.06992371231542
31,0.4,0.06928203230275509,0.33071796769724493,48.261056527771515,47.95730077357412
33,0.32,0.06596969000988256,0.25403030999011744,54.90250167221965,54.30968590280944
34,0.36,0.06788225099390856,0.29211774900609144,58.44342799342128,57.66892746953178
35,0.32,0.06596969000988256,0.25403030999011744,62.13702472135142,61.12459462385496
36,0.34,0.0669925368977769,0.2730074631022231,65.9872196079146,64.68911178170936
37,0.28,0.06349803146555018,0.21650196853444986,69.99978241431162,68.47032091762476
38,0.28,0.06349803146555018,0.21650196853444986,74.17906261923935,72.5946535263448
39,0.32,0.06596969000988256,0.25403030999011744,78.52480231478413,76.85215187924621
41,0.26,0.06203224967708329,0.19796775032291672,87.72409356239838,85.4910682525695
42,0.24,0.060398675482166,0.179601324517834,92.59083448052185,89.95975539091467
43,0.28,0.06349803146555018,0.21650196853444986,97.6457780671582,95.06111224246821
44,0.24,0.060398675482166,0.179601324517834,102.88386970363256,99.88711661219537
45,0.26,0.06203224967708329,0.19796775032291672,108.31037827014819,105.32611629301915
46,0.22,0.05858327406350724,0.16141672593649276,113.93077354986171,110.62653657455304
47,0.22,0.05858327406350724,0.16141672593649276,119.74855067290082,116.39461554197409
49,0.28,0.06349803146555018,0.21650196853444986,131.992170924575,128.22086535004425
50,0.32,0.06596969000988256,0.25403030999011744,138.42727163655297,134.78409382523046
51,0.32,0.06596969000988256,0.25403030999011744,145.0764434398175,141.56303038313317
52,0.32,0.06596969000988256,0.25403030999011744,151.9391733162463,148.6475271363734
53,0.36,0.06788225099390856,0.29211774900609144,159.0192028901169,155.65115786719744
54,0.36,0.06788225099390856,0.29211774900609144,166.32448514200226,163.09881366434837
55,0.36,0.06788225099390856,0.29211774900609144,173.8603240492764,170.971450491569
57,0.4,0.06928203230275509,0.33071796769724493,189.62889614913823,187.44966427832946
