# P-value vs truncation analysis
# Sweep: m_edges, value: 9
# Node type: b, a: 0
# Confidence interval: z = 1.0
# Generated: 2026-02-15T23:13:54.546392
b,p,sigma_p,p_lower_bound,D_theory_mean,D_mle_mean
1,0.64,0.06788225099390856,0.5721177490060915,0.9018633016109261,0.9060931585101326
7,0.58,0.06979971346646059,0.5102002865335393,3.2754771227087724,3.294974844085205
14,0.48,0.07065408693062278,0.4093459130693772,6.694129476320443,6.697891444286569
21,0.62,0.06864400920692205,0.551355990793078,10.41699237931193,10.449740588318862
27,0.66,0.0669925368977769,0.5930074631022231,13.96489895794951,14.090499076529092
34,0.66,0.0669925368977769,0.5930074631022231,18.543022066377294,18.805447255053153
41,0.78,0.05858327406350723,0.7214167259364928,23.606081805328003,23.99885188473732
47,0.76,0.060398675482166,0.699601324517834,28.32930359750992,28.800272499396602
54,0.7,0.06480740698407861,0.6351925930159213,34.290037708945356,34.77922318901529
61,0.7,0.06480740698407861,0.6351925930159213,40.71758385516634,41.28529316922879
67,0.74,0.06203224967708329,0.6779677503229167,46.60513420679153,47.522140953748014
74,0.76,0.060398675482166,0.699601324517834,53.88100107428174,54.91603851411878
81,0.72,0.06349803146555018,0.6565019685344498,61.635411435684176,62.93974795416881
88,0.76,0.060398675482166,0.699601324517834,69.8204711677071,71.59287145081275
94,0.78,0.05858327406350723,0.7214167259364928,77.1951202241556,79.60658004938638
101,0.78,0.05858327406350723,0.7214167259364928,86.19159793949005,89.07726581138468
108,0.78,0.05858327406350723,0.7214167259364928,95.63014283999792,99.30023099196121
114,0.82,0.054332310828824504,0.7656676891711754,104.05489391191928,108.73562782090156
121,0.86,0.04907137658554119,0.8109286234144588,114.27906775757845,120.13291628547248
128,0.88,0.04595650117230423,0.8340434988276958,124.91806296498851,131.82331756341637
134,0.9,0.04242640687119285,0.8575735931288072,134.36824812711683,142.44597961598348
141,0.9,0.04242640687119285,0.8575735931288072,145.77915301723127,155.36119159180026
148,0.92,0.038366652186501746,0.8816333478134983,157.58870212199815,168.28870595139952
154,0.96,0.02771281292110205,0.9322871870788979,168.03340439400105,179.88209953299625
161,0.92,0.038366652186501746,0.8816333478134983,180.59296233771073,193.8233566949378
168,0.94,0.03358571124749334,0.9064142887525066,193.55188344310122,207.6524109046697
175,0.92,0.038366652186501746,0.8816333478134983,206.90074831477105,221.1655811199949
181,0.84,0.051845925587262885,0.7881540744127371,218.6509434441919,232.5555371504897
188,0.82,0.054332310828824504,0.7656676891711754,232.72582057211937,246.030113692762
195,0.8,0.0565685424949238,0.7434314575050762,247.18603545958555,259.1087503956596
201,0.76,0.060398675482166,0.699601324517834,259.8928852778554,270.4071116518922
208,0.7,0.06480740698407861,0.6351925930159213,275.06270323391107,284.1070887265562
215,0.64,0.06788225099390856,0.5721177490060915,290.61685282250494,298.3866384849362
221,0.6,0.06928203230275509,0.5307179676972449,304.2391886742036,310.0670907101512
228,0.54,0.07048404074682439,0.46951595925317563,320.4908317629625,324.1015363903235
235,0.56,0.07019971509913697,0.4898002849008631,337.1110010170965,338.8050074565419
241,0.52,0.07065408693062278,0.4493459130693772,351.6455445665463,351.1781820893291
248,0.5,0.07071067811865475,0.4292893218813453,368.9556364466375,367.49207951054296
255,0.42,0.06979971346646059,0.3502002865335394,386.6228613536142,383.1898815682035
262,0.44,0.07019971509913699,0.36980028490086303,404.66700566344605,400.1319684905768
268,0.44,0.07019971509913699,0.36980028490086303,420.41247614242764,415.47083136534434
275,0.4,0.06928203230275509,0.33071796769724493,439.1193539339271,433.742224197367
282,0.4,0.06928203230275509,0.33071796769724493,458.1862636898945,453.14960460877796
288,0.44,0.07019971509913699,0.36980028490086303,474.81057945053993,469.80969504992316
295,0.44,0.07019971509913699,0.36980028490086303,494.5371124481588,489.78945145279204
302,0.44,0.07019971509913699,0.36980028490086303,514.6189261688181,510.37423546461866
308,0.44,0.07019971509913699,0.36980028490086303,532.1139890672549,528.1362906394631
315,0.46,0.07048404074682439,0.3895159592531756,552.8463940773979,549.614184894404
322,0.44,0.07019971509913699,0.36980028490086303,573.9310323008053,571.5416262538655
329,0.46,0.07048404074682439,0.3895159592531756,595.3607549408704,593.5949311750423
