# Network edge list with node attributes
# N: 10035, m: 3
# h: 0.2, f_a: 0.2
# Initial network nodes: 0 to 34
# Added nodes: 35 to 10034
# Total edges: 30033
# Type a nodes: 2013
# Type b nodes: 8022
# Generated: 2026-02-15T21:55:43.593393
source,target,source_type,target_type,source_in_degree,target_in_degree,source_is_initial,target_is_initial,source_order,target_order
74,22,b,b,22,46,False,True,74,22
74,61,b,b,22,26,False,False,74,61
75,63,b,b,27,23,False,False,75,63
75,62,b,b,27,35,False,False,75,62
75,60,b,b,27,11,False,False,75,60
76,48,a,b,10,29,False,False,76,48
76,31,a,b,10,42,False,True,76,31
76,69,a,b,10,34,False,False,76,69
77,0,a,b,10,47,False,True,77,0
77,75,a,b,10,27,False,False,77,75
77,62,a,b,10,35,False,False,77,62
78,30,b,b,23,43,False,True,78,30
78,3,b,b,23,23,False,True,78,3
78,27,b,b,23,35,False,True,78,27
79,47,b,b,13,42,False,False,79,47
79,45,b,b,13,26,False,False,79,45
79,41,b,b,13,34,False,False,79,41
80,19,a,b,2,21,False,True,80,19
80,56,a,b,2,32,False,False,80,56
80,46,a,b,2,37,False,False,80,46
81,29,a,b,7,20,False,True,81,29
81,22,a,b,7,46,False,True,81,22
81,33,a,b,7,37,False,True,81,33
82,3,b,b,20,23,False,True,82,3
82,26,b,b,20,22,False,True,82,26
82,33,b,b,20,37,False,True,82,33
83,35,b,b,21,29,False,False,83,35
83,23,b,b,21,65,False,True,83,23
83,19,b,b,21,21,False,True,83,19
84,30,b,b,13,43,False,True,84,30
84,62,b,b,13,35,False,False,84,62
84,11,b,b,13,32,False,True,84,11
85,25,b,b,21,48,False,True,85,25
85,47,b,b,21,42,False,False,85,47
85,64,b,b,21,17,False,False,85,64
86,5,b,b,20,62,False,True,86,5
86,64,b,b,20,17,False,False,86,64
86,33,b,b,20,37,False,True,86,33
87,0,b,b,16,47,False,True,87,0
87,48,b,b,16,29,False,False,87,48
87,1,b,b,16,24,False,True,87,1
88,14,b,b,34,31,False,True,88,14
88,16,b,b,34,50,False,True,88,16
88,47,b,b,34,42,False,False,88,47
89,5,b,b,19,62,False,True,89,5
89,50,b,b,19,22,False,False,89,50
89,15,b,b,19,34,False,True,89,15
90,75,b,b,16,27,False,False,90,75
90,16,b,b,16,50,False,True,90,16
90,66,b,b,16,9,False,False,90,66
91,39,b,b,22,29,False,False,91,39
91,65,b,b,22,25,False,False,91,65
91,43,b,b,22,32,False,False,91,43
92,31,b,b,20,42,False,True,92,31
92,12,b,b,20,41,False,True,92,12
92,15,b,b,20,34,False,True,92,15
93,51,b,b,19,24,False,False,93,51
93,82,b,b,19,20,False,False,93,82
93,26,b,b,19,22,False,True,93,26
94,13,b,b,28,46,False,True,94,13
94,91,b,b,28,22,False,False,94,91
94,88,b,b,28,34,False,False,94,88
95,92,a,b,9,20,False,False,95,92
95,0,a,b,9,47,False,True,95,0
95,61,a,b,9,26,False,False,95,61
96,16,b,b,24,50,False,True,96,16
96,89,b,b,24,19,False,False,96,89
96,47,b,b,24,42,False,False,96,47
97,23,b,b,21,65,False,True,97,23
97,37,b,b,21,32,False,False,97,37
97,12,b,b,21,41,False,True,97,12
98,16,b,b,12,50,False,True,98,16
98,30,b,b,12,43,False,True,98,30
98,82,b,b,12,20,False,False,98,82
99,78,b,b,22,23,False,False,99,78
99,86,b,b,22,20,False,False,99,86
99,17,b,b,22,61,False,True,99,17
100,26,b,b,20,22,False,True,100,26
100,38,b,b,20,23,False,False,100,38
100,68,b,b,20,32,False,False,100,68
101,28,b,b,34,24,False,True,101,28
101,41,b,b,34,34,False,False,101,41
101,8,b,b,34,37,False,True,101,8
102,21,b,b,17,42,False,True,102,21
102,97,b,b,17,21,False,False,102,97
102,92,b,b,17,20,False,False,102,92
103,17,b,b,12,61,False,True,103,17
103,15,b,b,12,34,False,True,103,15
103,102,b,b,12,17,False,False,103,102
104,20,b,a,20,47,False,True,104,20
104,5,b,b,20,62,False,True,104,5
104,87,b,b,20,16,False,False,104,87
105,101,b,b,24,34,False,False,105,101
105,5,b,b,24,62,False,True,105,5
105,91,b,b,24,22,False,False,105,91
106,31,b,b,10,42,False,True,106,31
106,88,b,b,10,34,False,False,106,88
106,13,b,b,10,46,False,True,106,13
107,68,b,b,24,32,False,False,107,68
107,6,b,b,24,22,False,True,107,6
107,87,b,b,24,16,False,False,107,87
108,10,b,b,27,38,False,True,108,10
108,40,b,b,27,19,False,False,108,40
108,62,b,b,27,35,False,False,108,62
109,29,b,b,23,20,False,True,109,29
109,91,b,b,23,22,False,False,109,91
109,31,b,b,23,42,False,True,109,31
110,43,b,b,11,32,False,False,110,43
110,81,b,a,11,7,False,False,110,81
110,40,b,b,11,19,False,False,110,40
111,67,b,b,20,25,False,False,111,67
111,25,b,b,20,48,False,True,111,25
111,22,b,b,20,46,False,True,111,22
112,84,b,b,24,13,False,False,112,84
112,42,b,b,24,32,False,False,112,42
112,3,b,b,24,23,False,True,112,3
113,107,b,b,24,24,False,False,113,107
113,88,b,b,24,34,False,False,113,88
113,25,b,b,24,48,False,True,113,25
114,105,b,b,16,24,False,False,114,105
114,64,b,b,16,17,False,False,114,64
114,25,b,b,16,48,False,True,114,25
115,42,b,b,31,32,False,False,115,42
115,16,b,b,31,50,False,True,115,16
115,2,b,b,31,49,False,True,115,2
116,30,a,b,22,43,False,True,116,30
116,1,a,b,22,24,False,True,116,1
116,46,a,b,22,37,False,False,116,46
