# frac_nodes grid for p_c=0.4
# Valid region: n0 > m
# Generated: 2026-02-16T09:01:17.914198
m,n0,frac_nodes,valid
27,140,0.9882223040117777,True
29,140,0.9874244852669215,True
31,140,0.987352652259332,True
33,140,0.9866814650388457,True
1,150,1.0,True
3,150,0.9943820224719101,True
5,150,0.9929777011211038,True
7,150,0.9937423312883435,True
9,150,0.9924765663542181,True
11,150,0.9922784654982229,True
13,150,0.9931246163290363,True
15,150,0.9899677978697052,True
17,150,0.991999015263417,True
19,150,0.989980207817912,True
21,150,0.9897033586663397,True
23,150,0.9894478527607362,True
25,150,0.9896518139761383,True
27,150,0.9882194134249601,True
29,150,0.9869986508033852,True
31,150,0.986504890429615,True
33,150,0.9858928350451677,True
