# Beta MLE analysis
# Sweep: n0, value: 10
# Node type: b, a: 0
# Generated: 2026-02-16T00:00:16.232515
b,p0_mle_mean,p0_mle_std,p0_theory,p0_pct_diff,p0_pct_diff_lower,p0_pct_diff_upper,alpha_mle_mean,alpha_mle_std,alpha_theory,alpha_pct_diff,alpha_pct_diff_lower,alpha_pct_diff_upper,gamma_mle_mean,gamma_mle_std,gamma_theory,gamma_pct_diff,gamma_pct_diff_lower,gamma_pct_diff_upper
1,0.258633204130218,1.7745394755999333e-05,0.25863526910738194,-0.0007984128270888763,-0.007659578675522209,0.0060627530213444554,15.604309198051057,0.2469009739494042,15.625,-0.1324211324732346,-1.7125873657494213,1.4477451008029523,6.505534363101392,0.6036895515917433,6.450995861291088,0.8454276360268689,-8.512655434746055,10.203510706799793
2,0.3716670229800784,0.2948072583648335,0.25863526910738194,43.70314778135197,-70.28256630253557,157.68886186523952,202.86476026537682,547.9631700762715,15.625,1198.3344656984116,-2308.629822789726,4705.29875418655,78.26569658882819,203.55501143660828,6.450995861291088,1113.2343326781217,-2042.1701322050606,4268.638797561304
4,0.24194107063042114,0.12514471961870693,0.25863526910738194,-6.454726199785841,-54.84129004725109,41.931837647679416,53.158755360092776,123.69051163226759,15.625,240.2160343045938,-551.4032401419188,1031.8353087511064,20.666962912154926,47.18400721679763,6.450995861291088,220.36856566853672,-511.0535004952809,951.7906318323543
5,0.2578149683941545,0.10350004098510429,0.25863526910738194,-0.3171650626221591,-40.33492495372674,39.70059482848242,81.87513705996605,282.29588197879616,15.625,424.00087718378273,-1382.6927674805129,2230.6945218480782,30.362597147838578,102.31696731644757,6.450995861291088,370.66527092395114,-1215.399416086561,1956.729957934463
7,0.25458302931716953,0.0431038999491483,0.25863526910738194,-1.5667777268729626,-18.23267951896464,15.099124065218716,21.94508565634516,18.752750286658376,15.625,40.448548200609025,-79.56905363400459,160.46615003522265,8.687897570507063,6.682508606007408,6.450995861291088,34.67529288986843,-68.91349789056753,138.2640836703044
8,0.26047007617197626,0.014344428378546681,0.25863526910738194,0.7094187389549474,-4.836780906612751,6.255618384522646,20.39601791783219,16.74908251532056,15.625,30.53451467412601,-76.65961342392556,137.72864277217758,8.1211275813595,6.014820879351018,6.450995861291088,25.889517773371445,-67.34912334005233,119.1281588867952
10,0.2588748933669438,0.005066373567627057,0.25863526910738194,0.09264949068581092,-1.8662378587126063,2.051536840084228,18.42260235819643,9.869421751254361,15.625,17.90465509245714,-45.259644115570765,81.06895430048505,7.4066917233397325,3.4002599732882466,6.450995861291088,14.814702762146455,-37.89436799840626,67.52377352269917
11,0.25897657161293264,0.0036594588632787024,0.25863526910738194,0.1319628628874262,-1.2829481335549588,1.5468738593298115,17.18628816876471,5.089278199324705,15.625,9.992244280094155,-22.579136195583956,42.56362475577227,6.972184976125352,1.758636925158723,6.450995861291088,8.07920398711826,-19.182275681646452,35.34068365588298
13,0.2597163117858678,0.004381220582057405,0.25863526910738194,0.41797960588160177,-1.2759968564849364,2.11195606824814,17.621958371646592,4.682049231754432,15.625,12.780533578538188,-17.18458150469018,42.74564866176655,7.124834347849407,1.5839367802268278,6.450995861291088,10.445495564516737,-14.107872849981398,34.99886397901487
14,0.2582258989027009,0.004291390483072352,0.25863526910738194,-0.158280889568487,-1.8175250049913623,1.5009632258543881,16.87214030802331,3.5365973976509073,15.625,7.9816979713491945,-14.652525373616609,30.615921316315,6.86276182372405,1.1891519373482373,6.450995861291088,6.382982895768776,-12.050635152007231,24.816600943544785
16,0.25873510414888096,0.0014160488520412592,0.25863526910738194,0.03860070664127746,-0.5089073176619874,0.5861087309445423,16.24317554717927,2.3841182211772773,15.625,3.9563235019473266,-11.302033113587246,19.2146801174819,6.644634086053227,0.7906168822951563,6.450995861291088,3.0016795689492866,-9.254054263391506,15.25741340129008
