# Network edges data
# Layout: spring
# N: 28005, m: 2
# h: 0.7, f_a: 0.4
# Initial core size (n0): 5
# Added nodes: 28000
# Generated: 2026-03-19T13:50:06.767823
source,target,source_origin,target_origin,source_type,target_type
89,72,added,added,Type b,Type b
90,28,added,added,Type b,Type a
90,14,added,added,Type b,Type b
91,60,added,added,Type a,Type a
91,5,added,added,Type a,Type a
92,8,added,added,Type a,Type a
92,47,added,added,Type a,Type b
93,8,added,added,Type a,Type a
93,16,added,added,Type a,Type b
94,25,added,added,Type a,Type b
94,66,added,added,Type a,Type a
95,27,added,added,Type b,Type b
95,0,added,initial_core,Type b,Type a
96,1,added,initial_core,Type a,Type b
96,76,added,added,Type a,Type a
97,71,added,added,Type b,Type a
97,4,added,initial_core,Type b,Type b
98,83,added,added,Type a,Type a
98,26,added,added,Type a,Type b
99,93,added,added,Type b,Type a
99,0,added,initial_core,Type b,Type a
100,42,added,added,Type b,Type a
100,19,added,added,Type b,Type b
101,20,added,added,Type a,Type b
101,8,added,added,Type a,Type a
102,61,added,added,Type a,Type b
102,101,added,added,Type a,Type a
103,81,added,added,Type a,Type a
103,37,added,added,Type a,Type a
104,1,added,initial_core,Type a,Type b
104,36,added,added,Type a,Type b
105,16,added,added,Type a,Type b
105,14,added,added,Type a,Type b
106,31,added,added,Type b,Type b
106,14,added,added,Type b,Type b
107,102,added,added,Type b,Type a
107,63,added,added,Type b,Type b
108,90,added,added,Type a,Type b
108,29,added,added,Type a,Type a
109,64,added,added,Type b,Type a
109,55,added,added,Type b,Type a
110,78,added,added,Type b,Type b
110,32,added,added,Type b,Type a
111,3,added,initial_core,Type b,Type b
111,24,added,added,Type b,Type a
112,9,added,added,Type b,Type a
112,69,added,added,Type b,Type a
113,8,added,added,Type b,Type a
113,72,added,added,Type b,Type b
114,108,added,added,Type b,Type a
114,25,added,added,Type b,Type b
115,85,added,added,Type b,Type a
115,25,added,added,Type b,Type b
116,24,added,added,Type a,Type a
116,58,added,added,Type a,Type a
117,90,added,added,Type a,Type b
117,17,added,added,Type a,Type b
118,20,added,added,Type b,Type b
118,37,added,added,Type b,Type a
119,35,added,added,Type b,Type a
119,55,added,added,Type b,Type a
120,34,added,added,Type a,Type a
120,1,added,initial_core,Type a,Type b
121,32,added,added,Type b,Type a
121,18,added,added,Type b,Type a
122,23,added,added,Type a,Type a
122,18,added,added,Type a,Type a
123,85,added,added,Type a,Type a
123,101,added,added,Type a,Type a
124,30,added,added,Type b,Type a
124,102,added,added,Type b,Type a
125,123,added,added,Type b,Type a
125,4,added,initial_core,Type b,Type b
126,52,added,added,Type b,Type a
126,41,added,added,Type b,Type a
127,92,added,added,Type b,Type a
127,23,added,added,Type b,Type a
128,54,added,added,Type a,Type b
128,1,added,initial_core,Type a,Type b
129,53,added,added,Type b,Type b
129,33,added,added,Type b,Type b
130,120,added,added,Type b,Type a
130,89,added,added,Type b,Type b
131,10,added,added,Type b,Type a
131,123,added,added,Type b,Type a
132,108,added,added,Type a,Type a
132,41,added,added,Type a,Type a
133,106,added,added,Type b,Type b
133,1,added,initial_core,Type b,Type b
134,8,added,added,Type a,Type a
134,1,added,initial_core,Type a,Type b
135,116,added,added,Type a,Type a
135,16,added,added,Type a,Type b
136,122,added,added,Type a,Type a
136,41,added,added,Type a,Type a
137,72,added,added,Type b,Type b
137,97,added,added,Type b,Type b
138,10,added,added,Type a,Type a
138,33,added,added,Type a,Type b
139,122,added,added,Type b,Type a
139,9,added,added,Type b,Type a
140,35,added,added,Type b,Type a
140,111,added,added,Type b,Type b
141,18,added,added,Type a,Type a
141,1,added,initial_core,Type a,Type b
142,8,added,added,Type b,Type a
142,19,added,added,Type b,Type b
143,123,added,added,Type a,Type a
143,2,added,initial_core,Type a,Type a
144,75,added,added,Type a,Type a
144,8,added,added,Type a,Type a
145,34,added,added,Type b,Type a
145,0,added,initial_core,Type b,Type a
146,26,added,added,Type b,Type b
146,12,added,added,Type b,Type a
147,108,added,added,Type b,Type a
147,36,added,added,Type b,Type b
148,0,added,initial_core,Type a,Type a
148,86,added,added,Type a,Type b
149,47,added,added,Type a,Type b
149,67,added,added,Type a,Type a
150,8,added,added,Type b,Type a
150,3,added,initial_core,Type b,Type b
151,1,added,initial_core,Type b,Type b
151,33,added,added,Type b,Type b
152,12,added,added,Type a,Type a
152,9,added,added,Type a,Type a
153,92,added,added,Type b,Type a
153,16,added,added,Type b,Type b
154,45,added,added,Type b,Type a
154,3,added,initial_core,Type b,Type b
155,93,added,added,Type a,Type a
155,5,added,added,Type a,Type a
156,28,added,added,Type a,Type a
156,0,added,initial_core,Type a,Type a
157,32,added,added,Type b,Type a
157,72,added,added,Type b,Type b
158,102,added,added,Type b,Type a
158,77,added,added,Type b,Type b
159,5,added,added,Type a,Type a
159,35,added,added,Type a,Type a
160,2,added,initial_core,Type a,Type a
160,116,added,added,Type a,Type a
161,105,added,added,Type b,Type a
161,95,added,added,Type b,Type b
162,93,added,added,Type b,Type a
162,146,added,added,Type b,Type b
163,18,added,added,Type b,Type a
163,137,added,added,Type b,Type b
164,12,added,added,Type b,Type a
164,35,added,added,Type b,Type a
165,134,added,added,Type b,Type a
165,137,added,added,Type b,Type b
166,114,added,added,Type b,Type b
166,56,added,added,Type b,Type b
167,40,added,added,Type a,Type b
167,91,added,added,Type a,Type a
168,87,added,added,Type b,Type b
168,0,added,initial_core,Type b,Type a
169,161,added,added,Type b,Type b
169,14,added,added,Type b,Type b
170,12,added,added,Type b,Type a
170,105,added,added,Type b,Type a
171,13,added,added,Type b,Type b
171,122,added,added,Type b,Type a
172,136,added,added,Type a,Type a
172,1,added,initial_core,Type a,Type b
173,14,added,added,Type b,Type b
173,32,added,added,Type b,Type a
174,119,added,added,Type a,Type b
174,12,added,added,Type a,Type a
175,32,added,added,Type a,Type a
175,20,added,added,Type a,Type b
176,105,added,added,Type a,Type a
176,69,added,added,Type a,Type a
177,8,added,added,Type b,Type a
177,63,added,added,Type b,Type b
178,4,added,initial_core,Type a,Type b
178,41,added,added,Type a,Type a
179,101,added,added,Type b,Type a
179,68,added,added,Type b,Type b
180,34,added,added,Type a,Type a
180,105,added,added,Type a,Type a
181,151,added,added,Type b,Type b
181,54,added,added,Type b,Type b
182,19,added,added,Type b,Type b
182,80,added,added,Type b,Type a
183,0,added,initial_core,Type b,Type a
183,3,added,initial_core,Type b,Type b
184,14,added,added,Type a,Type b
184,10,added,added,Type a,Type a
185,86,added,added,Type b,Type b
185,54,added,added,Type b,Type b
186,28,added,added,Type b,Type a
