# Normalization constant A(k)
# Node type: a
# p0: 0.308527, alpha: 9.259259, gamma: 5.131369
# A_asymptotic: 75742.243906
# Generated: 2026-03-19T13:38:47.906211
k,A_k,A_asymptotic
0,75742.2439058662,75742.2439058662
1,75742.24390586621,75742.2439058662
2,75742.24390586618,75742.2439058662
3,75742.24390586618,75742.2439058662
4,75742.24390586617,75742.2439058662
5,75742.24390586618,75742.2439058662
6,75742.2439058662,75742.2439058662
7,75742.2439058662,75742.2439058662
8,75742.2439058662,75742.2439058662
9,75742.24390586618,75742.2439058662
10,75742.2439058662,75742.2439058662
