# Network edges data
# Layout: spring
# N: 28004, m: 3
# h: 0.7, f_a: 0.55
# Generated: 2026-04-09T15:34:28.318197
source,target,source_type,target_type
86,3,Type a,Type b
87,74,Type b,Type a
87,55,Type b,Type a
87,23,Type b,Type a
88,29,Type b,Type a
88,84,Type b,Type a
88,42,Type b,Type a
89,12,Type b,Type b
89,2,Type b,Type a
89,53,Type b,Type a
90,18,Type a,Type b
90,29,Type a,Type a
90,2,Type a,Type a
91,23,Type b,Type a
91,2,Type b,Type a
91,37,Type b,Type a
92,32,Type b,Type b
92,19,Type b,Type a
92,0,Type b,Type a
93,72,Type a,Type a
93,2,Type a,Type a
93,13,Type a,Type b
94,0,Type b,Type a
94,2,Type b,Type a
94,43,Type b,Type b
95,1,Type a,Type b
95,5,Type a,Type b
95,2,Type a,Type a
96,0,Type a,Type a
96,2,Type a,Type a
96,11,Type a,Type b
97,17,Type b,Type a
97,23,Type b,Type a
97,34,Type b,Type a
98,88,Type a,Type b
98,46,Type a,Type a
98,8,Type a,Type a
99,23,Type a,Type a
99,3,Type a,Type b
99,66,Type a,Type b
100,50,Type b,Type b
100,2,Type b,Type a
100,21,Type b,Type a
101,84,Type a,Type a
101,60,Type a,Type a
101,2,Type a,Type a
102,10,Type a,Type b
102,77,Type a,Type a
102,64,Type a,Type b
103,63,Type a,Type b
103,2,Type a,Type a
103,3,Type a,Type b
104,10,Type b,Type b
104,33,Type b,Type b
104,1,Type b,Type b
105,9,Type a,Type b
105,23,Type a,Type a
105,17,Type a,Type a
106,2,Type b,Type a
106,23,Type b,Type a
106,99,Type b,Type a
107,1,Type a,Type b
107,14,Type a,Type a
107,79,Type a,Type a
108,49,Type a,Type b
108,4,Type a,Type b
108,7,Type a,Type b
109,101,Type a,Type a
109,27,Type a,Type b
109,102,Type a,Type a
110,58,Type a,Type b
110,79,Type a,Type a
110,17,Type a,Type a
111,2,Type b,Type a
111,1,Type b,Type b
111,46,Type b,Type a
112,39,Type b,Type b
112,104,Type b,Type b
112,3,Type b,Type b
113,2,Type a,Type a
113,14,Type a,Type a
113,95,Type a,Type a
114,0,Type b,Type a
114,56,Type b,Type a
114,68,Type b,Type a
115,4,Type a,Type b
115,62,Type a,Type a
115,20,Type a,Type b
116,57,Type b,Type b
116,45,Type b,Type a
116,67,Type b,Type a
117,44,Type b,Type b
117,2,Type b,Type a
117,0,Type b,Type a
118,11,Type a,Type b
118,39,Type a,Type b
118,22,Type a,Type a
119,16,Type a,Type a
119,23,Type a,Type a
119,37,Type a,Type a
120,105,Type a,Type a
120,2,Type a,Type a
120,57,Type a,Type b
121,107,Type a,Type a
121,108,Type a,Type a
121,23,Type a,Type a
122,47,Type b,Type a
122,4,Type b,Type b
122,1,Type b,Type b
123,16,Type b,Type a
123,24,Type b,Type b
123,47,Type b,Type a
124,29,Type b,Type a
124,110,Type b,Type a
124,0,Type b,Type a
125,8,Type a,Type a
125,13,Type a,Type b
125,101,Type a,Type a
126,118,Type a,Type a
126,9,Type a,Type b
126,23,Type a,Type a
127,0,Type b,Type a
127,1,Type b,Type b
127,3,Type b,Type b
128,17,Type b,Type a
128,0,Type b,Type a
128,44,Type b,Type b
129,5,Type a,Type b
129,1,Type a,Type b
129,56,Type a,Type a
130,13,Type a,Type b
130,81,Type a,Type a
130,5,Type a,Type b
131,129,Type b,Type a
131,110,Type b,Type a
131,60,Type b,Type a
132,39,Type a,Type b
132,58,Type a,Type b
132,128,Type a,Type b
133,129,Type b,Type a
133,119,Type b,Type a
133,105,Type b,Type a
134,2,Type a,Type a
134,45,Type a,Type a
134,48,Type a,Type a
135,2,Type a,Type a
