# Network nodes data
# Layout: spring
# N: 28004, m: 3
# h: 0.7, f_a: 0.55
# Generated: 2026-04-09T15:34:27.863088
node_id,node_type,in_degree,out_degree
311,Type b,27,3
312,Type b,62,3
313,Type b,26,3
314,Type a,24,3
315,Type a,66,3
316,Type b,38,3
317,Type a,16,3
318,Type b,10,3
319,Type b,21,3
320,Type a,48,3
321,Type a,43,3
322,Type a,25,3
323,Type b,29,3
324,Type a,4,3
325,Type a,24,3
326,Type a,38,3
327,Type a,31,3
328,Type a,36,3
329,Type b,104,3
330,Type b,21,3
331,Type a,53,3
332,Type b,50,3
333,Type b,17,3
334,Type b,18,3
335,Type b,0,3
336,Type b,21,3
337,Type a,53,3
338,Type b,23,3
339,Type a,6,3
340,Type b,7,3
341,Type a,32,3
342,Type b,27,3
343,Type a,20,3
344,Type a,5,3
345,Type a,13,3
346,Type b,24,3
347,Type b,57,3
348,Type a,36,3
349,Type a,15,3
350,Type b,20,3
351,Type a,30,3
352,Type a,85,3
353,Type b,10,3
354,Type b,66,3
355,Type b,3,3
356,Type b,28,3
357,Type a,3,3
358,Type b,39,3
359,Type a,34,3
360,Type b,4,3
361,Type a,53,3
362,Type a,16,3
363,Type b,50,3
364,Type b,19,3
365,Type a,4,3
366,Type b,27,3
367,Type a,19,3
368,Type b,37,3
369,Type b,5,3
370,Type b,17,3
371,Type a,20,3
372,Type b,12,3
373,Type b,7,3
374,Type a,14,3
375,Type a,7,3
376,Type b,15,3
377,Type a,1,3
378,Type b,15,3
379,Type b,31,3
380,Type a,9,3
381,Type b,3,3
382,Type a,26,3
383,Type b,18,3
384,Type b,65,3
385,Type b,23,3
386,Type a,22,3
387,Type b,17,3
388,Type b,7,3
389,Type a,18,3
390,Type b,28,3
391,Type b,44,3
392,Type b,9,3
393,Type b,43,3
394,Type b,46,3
395,Type a,24,3
396,Type a,9,3
397,Type b,16,3
398,Type a,34,3
399,Type b,27,3
400,Type b,6,3
401,Type b,12,3
402,Type b,5,3
403,Type b,86,3
404,Type a,7,3
405,Type a,17,3
406,Type b,14,3
407,Type b,56,3
408,Type b,3,3
409,Type a,9,3
410,Type b,20,3
411,Type b,28,3
412,Type b,38,3
413,Type b,4,3
414,Type b,1,3
415,Type a,30,3
416,Type b,16,3
417,Type b,34,3
418,Type a,27,3
419,Type b,19,3
420,Type a,15,3
421,Type b,18,3
422,Type b,18,3
423,Type b,13,3
424,Type a,54,3
425,Type b,17,3
426,Type a,6,3
427,Type a,4,3
428,Type a,31,3
429,Type a,23,3
430,Type a,17,3
431,Type a,5,3
432,Type b,25,3
433,Type b,11,3
434,Type a,4,3
435,Type a,34,3
436,Type a,93,3
437,Type a,91,3
438,Type a,0,3
439,Type b,15,3
