# Normalization constant A(k)
# Node type: a
# p0: 0.374346, alpha: 4.347826, gamma: 3.601425
# A_asymptotic: 180.397553
# Generated: 2026-08-19T11:53:54.474000
k,A_k,A_asymptotic
0,180.3975527382529,180.3975527382529
1,180.39755273825324,180.3975527382529
2,180.39755273825324,180.3975527382529
3,180.39755273825327,180.3975527382529
4,180.39755273825298,180.3975527382529
5,180.39755273825293,180.3975527382529
6,180.39755273825298,180.3975527382529
7,180.39755273825295,180.3975527382529
8,180.39755273825298,180.3975527382529
9,180.39755273825293,180.3975527382529
10,180.39755273825295,180.3975527382529
