# Normalization constant A(k)
# Node type: a
# p0: 0.500724, alpha: 1.923077, gamma: 2.928653
# A_asymptotic: 9.935194
# Generated: 2026-02-17T23:37:42.594353
k,A_k,A_asymptotic
0,9.935194176696301,9.935194176696301
1,9.9351941766963,9.935194176696301
2,9.935194176696301,9.935194176696301
3,9.93519417669631,9.935194176696301
4,9.935194176696328,9.935194176696301
5,9.935194176696331,9.935194176696301
6,9.935194176696333,9.935194176696301
7,9.935194176696335,9.935194176696301
8,9.935194176696337,9.935194176696301
9,9.935194176696337,9.935194176696301
10,9.935194176696339,9.935194176696301
11,9.93519417669634,9.935194176696301
12,9.935194176696339,9.935194176696301
13,9.935194176696344,9.935194176696301
14,9.935194176696347,9.935194176696301
15,9.935194176696347,9.935194176696301
16,9.935194176696355,9.935194176696301
17,9.935194176696351,9.935194176696301
18,9.935194176696353,9.935194176696301
19,9.935194176696358,9.935194176696301
20,9.93519417669636,9.935194176696301
21,9.935194176696363,9.935194176696301
22,9.935194176696356,9.935194176696301
23,9.935194176696358,9.935194176696301
24,9.93519417669636,9.935194176696301
25,9.935194176696369,9.935194176696301
