# frac_nodes grid for p_c=0.1
# Generated: 2026-02-15T15:27:46.095073
# Valid region: n0 > m
m,n0,frac_nodes,valid
1,10,1.0,True
6,10,1.0,True
11,10,,False
16,10,,False
21,10,,False
1,30,1.0,True
6,30,0.9761336515513126,True
11,30,0.9688249400479616,True
16,30,0.9641148325358851,True
21,30,0.9416058394160584,True
1,50,1.0,True
6,50,0.9547511312217195,True
11,50,0.9308755760368663,True
16,50,0.9462616822429907,True
21,50,0.9355608591885441,True
1,70,1.0,True
6,70,0.9173913043478261,True
11,70,0.9061135371179039,True
16,70,0.9032258064516129,True
21,70,0.8920704845814978,True
1,90,1.0,True
6,90,0.9012605042016807,True
11,90,0.9175475687103594,True
16,90,0.8737060041407867,True
21,90,0.875,True
