# Network edge list with node attributes
# N: 10030, m: 3
# h: 0.2, f_a: 0.2
# Initial network nodes: 0 to 29
# Added nodes: 30 to 10029
# Total edges: 30029
# Type a nodes: 1980
# Type b nodes: 8050
# Generated: 2026-02-15T17:57:38.625592
source,target,source_type,target_type,source_in_degree,target_in_degree,source_is_initial,target_is_initial,source_order,target_order
70,43,b,b,10,26,False,False,70,43
71,13,b,b,21,50,False,True,71,13
71,12,b,a,21,79,False,True,71,12
71,52,b,b,21,45,False,False,71,52
72,44,b,b,48,41,False,False,72,44
72,48,b,b,48,25,False,False,72,48
72,23,b,b,48,27,False,True,72,23
73,26,a,b,0,52,False,True,73,26
73,61,a,b,0,23,False,False,73,61
73,71,a,b,0,21,False,False,73,71
74,40,a,b,4,16,False,False,74,40
74,26,a,b,4,52,False,True,74,26
74,54,a,b,4,25,False,False,74,54
75,7,a,a,0,30,False,True,75,7
75,51,a,b,0,18,False,False,75,51
75,70,a,b,0,10,False,False,75,70
76,32,b,a,22,3,False,False,76,32
76,9,b,b,22,59,False,True,76,9
76,41,b,b,22,31,False,False,76,41
77,30,b,b,18,34,False,False,77,30
77,65,b,b,18,30,False,False,77,65
77,19,b,b,18,25,False,True,77,19
78,9,b,b,14,59,False,True,78,9
78,28,b,b,14,50,False,True,78,28
78,1,b,b,14,27,False,True,78,1
79,44,a,b,1,41,False,False,79,44
79,9,a,b,1,59,False,True,79,9
79,19,a,b,1,25,False,True,79,19
80,35,b,b,25,19,False,False,80,35
80,13,b,b,25,50,False,True,80,13
80,44,b,b,25,41,False,False,80,44
81,42,b,b,16,24,False,False,81,42
81,21,b,b,16,36,False,True,81,21
81,25,b,b,16,32,False,True,81,25
82,23,b,b,23,27,False,True,82,23
82,66,b,b,23,31,False,False,82,66
82,68,b,b,23,13,False,False,82,68
83,9,b,b,25,59,False,True,83,9
83,71,b,b,25,21,False,False,83,71
83,48,b,b,25,25,False,False,83,48
84,28,a,b,6,50,False,True,84,28
84,59,a,b,6,19,False,False,84,59
84,50,a,b,6,34,False,False,84,50
85,23,b,b,21,27,False,True,85,23
85,5,b,b,21,43,False,True,85,5
85,12,b,a,21,79,False,True,85,12
86,28,b,b,24,50,False,True,86,28
86,61,b,b,24,23,False,False,86,61
86,11,b,b,24,42,False,True,86,11
87,28,b,b,21,50,False,True,87,28
87,72,b,b,21,48,False,False,87,72
87,86,b,b,21,24,False,False,87,86
88,44,b,b,13,41,False,False,88,44
88,13,b,b,13,50,False,True,88,13
88,20,b,b,13,39,False,True,88,20
89,41,b,b,33,31,False,False,89,41
89,69,b,b,33,24,False,False,89,69
89,19,b,b,33,25,False,True,89,19
90,27,b,a,24,45,False,True,90,27
90,44,b,b,24,41,False,False,90,44
90,41,b,b,24,31,False,False,90,41
91,16,b,b,32,35,False,True,91,16
91,17,b,b,32,54,False,True,91,17
91,52,b,b,32,45,False,False,91,52
92,28,b,b,20,50,False,True,92,28
92,19,b,b,20,25,False,True,92,19
92,72,b,b,20,48,False,False,92,72
93,6,b,b,16,42,False,True,93,6
93,64,b,b,16,26,False,False,93,64
93,36,b,b,16,28,False,False,93,36
94,27,b,a,28,45,False,True,94,27
94,17,b,b,28,54,False,True,94,17
94,29,b,b,28,31,False,True,94,29
95,2,b,a,20,25,False,True,95,2
95,68,b,b,20,13,False,False,95,68
95,29,b,b,20,31,False,True,95,29
96,91,b,b,17,32,False,False,96,91
96,86,b,b,17,24,False,False,96,86
96,92,b,b,17,20,False,False,96,92
97,0,b,b,17,38,False,True,97,0
97,7,b,a,17,30,False,True,97,7
97,26,b,b,17,52,False,True,97,26
98,91,b,b,19,32,False,False,98,91
98,18,b,a,19,59,False,True,98,18
98,94,b,b,19,28,False,False,98,94
99,98,b,b,29,19,False,False,99,98
99,54,b,b,29,25,False,False,99,54
99,95,b,b,29,20,False,False,99,95
100,44,b,b,18,41,False,False,100,44
100,91,b,b,18,32,False,False,100,91
100,5,b,b,18,43,False,True,100,5
101,11,b,b,25,42,False,True,101,11
101,21,b,b,25,36,False,True,101,21
101,30,b,b,25,34,False,False,101,30
102,6,b,b,25,42,False,True,102,6
102,87,b,b,25,21,False,False,102,87
102,20,b,b,25,39,False,True,102,20
103,64,b,b,28,26,False,False,103,64
103,54,b,b,28,25,False,False,103,54
103,11,b,b,28,42,False,True,103,11
104,72,a,b,1,48,False,False,104,72
104,48,a,b,1,25,False,False,104,48
104,78,a,b,1,14,False,False,104,78
105,37,b,a,18,21,False,False,105,37
105,92,b,b,18,20,False,False,105,92
105,85,b,b,18,21,False,False,105,85
106,26,b,b,18,52,False,True,106,26
106,54,b,b,18,25,False,False,106,54
106,50,b,b,18,34,False,False,106,50
107,31,b,b,29,17,False,False,107,31
107,101,b,b,29,25,False,False,107,101
107,61,b,b,29,23,False,False,107,61
108,68,a,b,1,13,False,False,108,68
108,62,a,b,1,13,False,False,108,62
108,19,a,b,1,25,False,True,108,19
109,0,a,b,5,38,False,True,109,0
109,83,a,b,5,25,False,False,109,83
109,12,a,a,5,79,False,True,109,12
110,100,b,b,20,18,False,False,110,100
110,6,b,b,20,42,False,True,110,6
110,13,b,b,20,50,False,True,110,13
111,21,b,b,26,36,False,True,111,21
111,28,b,b,26,50,False,True,111,28
111,102,b,b,26,25,False,False,111,102
112,47,b,b,25,22,False,False,112,47
112,64,b,b,25,26,False,False,112,64
112,71,b,b,25,21,False,False,112,71
113,30,b,b,20,34,False,False,113,30
113,97,b,b,20,17,False,False,113,97
113,29,b,b,20,31,False,True,113,29
114,22,b,b,25,26,False,True,114,22
114,55,b,b,25,19,False,False,114,55
114,90,b,b,25,24,False,False,114,90
115,72,b,b,19,48,False,False,115,72
115,9,b,b,19,59,False,True,115,9
115,42,b,b,19,24,False,False,115,42
116,77,b,b,22,18,False,False,116,77
116,112,b,b,22,25,False,False,116,112
116,11,b,b,22,42,False,True,116,11
117,99,b,b,16,29,False,False,117,99
117,93,b,b,16,16,False,False,117,93
117,77,b,b,16,18,False,False,117,77
118,52,b,b,24,45,False,False,118,52
118,30,b,b,24,34,False,False,118,30
118,94,b,b,24,28,False,False,118,94
119,90,b,b,32,24,False,False,119,90
119,107,b,b,32,29,False,False,119,107
119,112,b,b,32,25,False,False,119,112
120,111,a,b,8,26,False,False,120,111
120,113,a,b,8,20,False,False,120,113
120,14,a,b,8,36,False,True,120,14
121,81,b,b,17,16,False,False,121,81
121,43,b,b,17,26,False,False,121,43
121,16,b,b,17,35,False,True,121,16
122,42,b,b,16,24,False,False,122,42
122,27,b,a,16,45,False,True,122,27
122,11,b,b,16,42,False,True,122,11
123,8,b,b,15,54,False,True,123,8
123,49,b,b,15,24,False,False,123,49
123,58,b,b,15,12,False,False,123,58
124,51,b,b,21,18,False,False,124,51
124,99,b,b,21,29,False,False,124,99
124,18,b,a,21,59,False,True,124,18
125,14,a,b,7,36,False,True,125,14
125,114,a,b,7,25,False,False,125,114
125,15,a,b,7,26,False,True,125,15
126,31,b,b,16,17,False,False,126,31
126,12,b,a,16,79,False,True,126,12
126,110,b,b,16,20,False,False,126,110
127,31,b,b,14,17,False,False,127,31
127,22,b,b,14,26,False,True,127,22
127,103,b,b,14,28,False,False,127,103
128,118,a,b,5,24,False,False,128,118
128,84,a,a,5,6,False,False,128,84
128,29,a,b,5,31,False,True,128,29
129,71,b,b,13,21,False,False,129,71
129,0,b,b,13,38,False,True,129,0
129,90,b,b,13,24,False,False,129,90
130,14,b,b,29,36,False,True,130,14
130,94,b,b,29,28,False,False,130,94
130,4,b,a,29,27,False,True,130,4
131,13,b,b,22,50,False,True,131,13
131,55,b,b,22,19,False,False,131,55
131,6,b,b,22,42,False,True,131,6
132,72,b,b,15,48,False,False,132,72
132,55,b,b,15,19,False,False,132,55
132,102,b,b,15,25,False,False,132,102
133,26,b,b,19,52,False,True,133,26
133,111,b,b,19,26,False,False,133,111
133,23,b,b,19,27,False,True,133,23
134,13,a,b,12,50,False,True,134,13
134,89,a,b,12,33,False,False,134,89
134,112,a,b,12,25,False,False,134,112
135,97,b,b,10,17,False,False,135,97
135,8,b,b,10,54,False,True,135,8
135,23,b,b,10,27,False,True,135,23
136,14,b,b,19,36,False,True,136,14
136,11,b,b,19,42,False,True,136,11
136,78,b,b,19,14,False,False,136,78
137,38,a,b,3,26,False,False,137,38
137,49,a,b,3,24,False,False,137,49
137,51,a,b,3,18,False,False,137,51
138,45,b,a,17,7,False,False,138,45
138,28,b,b,17,50,False,True,138,28
138,112,b,b,17,25,False,False,138,112
139,3,b,b,14,26,False,True,139,3
139,12,b,a,14,79,False,True,139,12
139,54,b,b,14,25,False,False,139,54
140,19,b,b,16,25,False,True,140,19
140,43,b,b,16,26,False,False,140,43
140,100,b,b,16,18,False,False,140,100
141,112,b,b,17,25,False,False,141,112
141,82,b,b,17,23,False,False,141,82
