# In-degree distribution (log-binned)
# Node type: b
# N: 10030, m: 3
# h: 0.2, f_a: 0.2
# Generated: 2026-02-15T17:57:40.177919
k,theory_prob,empirical_prob
0.0,0.2587638044657122,
1.0,0.1831181354029026,
2.0,0.13190576652634556,
3.0,0.09654787668896042,
4.0,0.0716997311230453,
5.0,0.053954220702027336,
6.0,0.04109380210215583,
7.0,0.031647597176801406,
8.0,0.024622953571115904,
9.0,0.01933922990718546,
10.0,0.015322840751386367,
11.0,0.012239777776270345,
12.0,0.009851497146055713,
13.0,0.007985633773191532,
14.0,0.00651627832576306,
15.0,0.005350515936019738,
16.0,0.004419123372853181,
17.0,0.003670064576051629,
18.0,0.003063892716873221,
19.0,0.0025704663366798016,
20.0,0.0021665811575396453,
21.0,0.0018342465460451426,
22.0,0.001559420256259526,
23.0,0.0013310719655928952,
24.0,0.001140484764370975,
25.0,0.000980730283719611,
26.0,0.0008462715267479208,
27.0,0.0007326603225077642,
28.0,0.0006363053908712483,
29.0,0.000554293457614087,
30.0,0.00048425048457815856,
31.0,0.0004242334215440089,
32.0,0.0003726453181757638,
33.0,0.00032816841616745173,
34.0,0.0002897111558944567,
35.0,0.000256366007317492,
36.0,0.0002273757633114057,
37.0,0.0002021064807292678,
38.0,0.00018002566778487682,
39.0,0.00016068463017967106,
40.0,0.00014370412797133294,
41.0,0.0001287626789707806,
42.0,0.00011558698612851641,
43.0,0.00010394407608723492,
44.0,9.363482142565268e-05,
45.0,8.448858579607798e-05,
46.0,7.635878346871906e-05,
47.0,6.911918599887029e-05,
48.0,6.266084131521843e-05,
49.0,5.6889496388988524e-05,
50.0,5.1723435245908893e-05,
51.0,4.709166055388982e-05,
52.0,4.293236023230336e-05,
53.0,3.919161116354392e-05,
54.0,3.582228067496664e-05,
55.0,3.2783093415138486e-05,
56.0,3.003783689970292e-05,
57.0,2.75546836073993e-05,
58.0,2.530561127015403e-05,
59.0,2.326590608529138e-05,
0.0,,0.2598757763975155
1.0,,0.18024844720496894
2.0,,0.13453416149068323
3.0,,0.09490683229813665
4.0,,0.07192546583850931
5.0,,0.05701863354037267
6.0,,0.04372670807453416
7.0,,0.02981366459627329
8.0,,0.023229813664596272
9.0,,0.021614906832298136
10.0,,0.01577639751552795
11.0,,0.008695652173913044
12.0,,0.009813664596273293
13.0,,0.008322981366459627
14.0,,0.006211180124223602
15.0,,0.0040993788819875775
16.0,,0.003105590062111801
17.0,,0.0033540372670807454
18.0,,0.0034782608695652175
19.0,,0.003229813664596273
20.0,,0.002857142857142857
21.0,,0.0013664596273291925
22.0,,0.0017391304347826088
23.0,,0.0009937888198757764
24.0,,0.0014906832298136647
25.0,,0.0017391304347826088
26.0,,0.0014906832298136647
27.0,,0.00037267080745341616
28.0,,0.00037267080745341616
29.0,,0.0006211180124223603
30.0,,0.00037267080745341616
31.0,,0.0004968944099378882
32.0,,0.0004968944099378882
33.0,,0.0002484472049689441
34.0,,0.0002484472049689441
35.0,,0.00012422360248447205
36.0,,0.0002484472049689441
38.0,,0.00012422360248447205
39.0,,0.00012422360248447205
41.0,,0.00012422360248447205
42.0,,0.0002484472049689441
43.0,,0.00012422360248447205
45.0,,0.00012422360248447205
48.0,,0.00012422360248447205
50.0,,0.0002484472049689441
52.0,,0.00012422360248447205
54.0,,0.0002484472049689441
58.497863208838666,,0.00012422360248447205
