# margin grid for p_c=0.2
# Valid region: n0 > m
# Generated: 2026-02-17T14:55:07.857595
m,n0,margin,valid
1,10,0.4211145618000169,True
3,10,,True
5,10,0.4211145618000169,True
7,10,,True
9,10,,True
11,10,,False
13,10,,False
15,10,,False
17,10,,False
19,10,,False
21,10,,False
23,10,,False
25,10,,False
27,10,,False
29,10,,False
31,10,,False
33,10,,False
1,20,0.18091097699793351,True
3,20,0.18091097699793351,True
5,20,0.18091097699793351,True
7,20,0.8,True
9,20,0.8,True
11,20,0.18091097699793351,True
13,20,,True
15,20,0.18091097699793351,True
17,20,0.4211145618000169,True
19,20,,True
21,20,,False
23,20,,False
25,20,,False
27,20,,False
29,20,,False
31,20,,False
33,20,,False
1,30,0.18091097699793351,True
3,30,0.18091097699793351,True
5,30,,True
7,30,0.18091097699793351,True
9,30,,True
11,30,0.18091097699793351,True
13,30,0.4211145618000169,True
15,30,0.4211145618000169,True
17,30,0.4211145618000169,True
19,30,0.4211145618000169,True
21,30,0.8,True
23,30,,True
25,30,0.18091097699793351,True
27,30,0.4211145618000169,True
29,30,0.18091097699793351,True
31,30,,False
33,30,,False
1,40,0.4211145618000169,True
3,40,0.18091097699793351,True
5,40,0.18091097699793351,True
7,40,0.4211145618000169,True
9,40,0.18091097699793351,True
11,40,0.18091097699793351,True
13,40,0.4211145618000169,True
15,40,0.18091097699793351,True
17,40,0.4211145618000169,True
19,40,0.4211145618000169,True
21,40,0.18091097699793351,True
23,40,0.18091097699793351,True
25,40,0.18091097699793351,True
27,40,0.8,True
29,40,0.4211145618000169,True
31,40,0.4211145618000169,True
33,40,0.18091097699793351,True
1,50,,True
3,50,,True
5,50,0.4211145618000169,True
7,50,0.4211145618000169,True
9,50,,True
11,50,0.18091097699793351,True
13,50,,True
15,50,0.18091097699793351,True
17,50,0.18091097699793351,True
19,50,0.18091097699793351,True
21,50,,True
23,50,0.4211145618000169,True
25,50,0.4211145618000169,True
27,50,,True
29,50,0.8,True
31,50,0.4211145618000169,True
33,50,0.4211145618000169,True
1,60,0.18091097699793351,True
3,60,0.18091097699793351,True
5,60,0.4211145618000169,True
7,60,0.4211145618000169,True
9,60,0.18091097699793351,True
11,60,0.4211145618000169,True
13,60,,True
15,60,0.18091097699793351,True
17,60,0.18091097699793351,True
19,60,,True
21,60,0.4211145618000169,True
23,60,0.8,True
25,60,0.8,True
27,60,0.8,True
29,60,0.4211145618000169,True
31,60,0.8,True
33,60,0.18091097699793351,True
1,70,0.18091097699793351,True
3,70,0.8,True
5,70,0.4211145618000169,True
7,70,0.4211145618000169,True
9,70,0.18091097699793351,True
11,70,0.18091097699793351,True
13,70,0.4211145618000169,True
15,70,0.8,True
17,70,0.8,True
19,70,0.18091097699793351,True
21,70,,True
23,70,0.4211145618000169,True
25,70,0.18091097699793351,True
27,70,0.18091097699793351,True
29,70,0.4211145618000169,True
31,70,0.8,True
33,70,0.8,True
1,80,0.18091097699793351,True
3,80,,True
5,80,,True
7,80,0.18091097699793351,True
9,80,0.4211145618000169,True
11,80,0.4211145618000169,True
13,80,0.4211145618000169,True
15,80,0.8,True
17,80,0.4211145618000169,True
19,80,0.18091097699793351,True
21,80,,True
23,80,0.18091097699793351,True
25,80,0.4211145618000169,True
27,80,0.8,True
29,80,0.18091097699793351,True
31,80,0.4211145618000169,True
33,80,0.18091097699793351,True
1,90,,True
3,90,0.18091097699793351,True
5,90,0.4211145618000169,True
7,90,0.18091097699793351,True
9,90,0.4211145618000169,True
11,90,0.4211145618000169,True
13,90,0.8,True
15,90,0.8,True
17,90,0.8,True
19,90,0.18091097699793351,True
21,90,0.8,True
23,90,0.4211145618000169,True
25,90,0.4211145618000169,True
27,90,0.4211145618000169,True
29,90,0.18091097699793351,True
31,90,0.4211145618000169,True
33,90,0.18091097699793351,True
1,100,0.18091097699793351,True
3,100,,True
5,100,0.4211145618000169,True
7,100,0.8,True
9,100,0.8,True
11,100,0.8,True
13,100,0.8,True
15,100,0.4211145618000169,True
17,100,0.18091097699793351,True
19,100,0.8,True
21,100,0.8,True
23,100,0.4211145618000169,True
25,100,0.4211145618000169,True
27,100,0.18091097699793351,True
29,100,0.18091097699793351,True
31,100,0.4211145618000169,True
33,100,0.8,True
1,110,0.18091097699793351,True
3,110,0.4211145618000169,True
5,110,,True
7,110,0.18091097699793351,True
9,110,0.8,True
11,110,0.4211145618000169,True
13,110,0.8,True
15,110,0.8,True
17,110,0.8,True
19,110,0.4211145618000169,True
21,110,0.4211145618000169,True
23,110,0.8,True
25,110,0.8,True
27,110,0.8,True
29,110,0.8,True
31,110,0.8,True
33,110,0.4211145618000169,True
1,120,,True
3,120,0.18091097699793351,True
5,120,0.18091097699793351,True
7,120,0.8,True
9,120,0.8,True
11,120,0.8,True
13,120,0.8,True
15,120,0.8,True
17,120,0.8,True
19,120,0.8,True
21,120,0.8,True
23,120,0.8,True
25,120,0.4211145618000169,True
27,120,0.4211145618000169,True
29,120,0.8,True
31,120,0.18091097699793351,True
33,120,0.18091097699793351,True
1,130,0.18091097699793351,True
3,130,0.18091097699793351,True
5,130,0.8,True
7,130,0.18091097699793351,True
9,130,0.8,True
11,130,0.8,True
13,130,0.8,True
15,130,0.8,True
17,130,0.8,True
19,130,0.8,True
21,130,0.8,True
23,130,0.8,True
25,130,0.4211145618000169,True
27,130,0.18091097699793351,True
29,130,0.8,True
31,130,0.4211145618000169,True
33,130,0.8,True
1,140,,True
3,140,0.8,True
5,140,0.4211145618000169,True
7,140,0.8,True
9,140,0.8,True
11,140,0.8,True
13,140,0.8,True
