# frac_nodes grid for p_c=0.2
# Valid region: n0 > m
# Generated: 2026-02-17T14:55:08.209908
m,n0,frac_nodes,valid
9,80,0.963789981894991,True
11,80,0.9660400242571255,True
13,80,0.5378151260504201,True
15,80,0.9611764705882353,True
17,80,0.9625890736342043,True
19,80,0.5054347826086957,True
21,80,0.0,True
23,80,0.4862768496420048,True
25,80,0.474366893143916,True
27,80,0.48206686930091186,True
29,80,0.46299694189602447,True
31,80,0.9568086382723455,True
33,80,0.43444108761329303,True
1,90,0.0,True
3,90,0.9600484261501211,True
5,90,0.9621166566446182,True
7,90,0.962673088500903,True
9,90,0.9627879503839338,True
11,90,0.9616788321167883,True
13,90,0.9570017431725741,True
15,90,0.9548156956004756,True
17,90,0.9548693586698337,True
19,90,0.5218170950388523,True
21,90,0.9558645707376058,True
23,90,0.9544895448954489,True
25,90,0.4922062350119904,True
27,90,0.491566265060241,True
29,90,0.9570405727923628,True
31,90,0.44663088849135363,True
33,90,0.9546809779367919,True
1,100,0.8037383177570093,True
3,100,0.0,True
5,100,0.950354609929078,True
7,100,0.9585553582001184,True
9,100,0.9557843731072078,True
11,100,0.9506101104009297,True
13,100,0.9521559362079149,True
15,100,0.9548693586698337,True
17,100,0.9534606205250596,True
19,100,0.9514218009478673,True
21,100,0.9495495495495495,True
23,100,0.9572192513368984,True
25,100,0.9548693586698337,True
27,100,0.958186101295642,True
29,100,0.9547058823529412,True
31,100,0.4653161448741559,True
33,100,0.9520748100526009,True
1,110,0.7982142857142858,True
3,110,0.6509827278141751,True
5,110,0.0,True
7,110,0.9591715976331361,True
9,110,0.9529553679131484,True
11,110,0.9555555555555556,True
13,110,0.9512485136741974,True
15,110,0.9432157800358637,True
17,110,0.947836395969176,True
19,110,0.9461584996975196,True
21,110,0.9538645895745955,True
23,110,0.9452941176470588,True
25,110,0.9481654047757717,True
27,110,0.9431418522860492,True
29,110,0.9472450175849941,True
31,110,0.9506752789195537,True
33,110,0.9493302271403611,True
1,120,0.0,True
3,120,0.9500290528762347,True
5,120,0.9510035419126328,True
7,120,0.9539170506912442,True
9,120,0.9458823529411765,True
11,120,0.9389448725548311,True
13,120,0.9458010720667064,True
15,120,0.9468021518230724,True
17,120,0.9435061153174141,True
19,120,0.9430082256169212,True
21,120,0.9429590017825312,True
23,120,0.9410363311494937,True
25,120,0.9497041420118343,True
27,120,0.9493891797556719,True
29,120,0.9461042765084944,True
31,120,0.9423305588585018,True
33,120,0.9494949494949495,True
1,130,0.9596199524940617,True
3,130,0.958139534883721,True
5,130,0.9492119089316988,True
7,130,0.9469290399522957,True
9,130,0.9412455934195064,True
11,130,0.9443141852286049,True
