# Sweep: m_edges
# Theory: yule_simon
# Node type: b
# a: 0
# Generated: 2026-02-17T14:44:51.793290
m_edges,frac_nodes_pc0.1,frac_edges_pc0.1,valid_pc0.1,frac_nodes_pc0.2,frac_edges_pc0.2,valid_pc0.2,frac_nodes_pc0.4,frac_edges_pc0.4,valid_pc0.4
1,0.985239852398524,0.8310249307479224,True,0.985239852398524,0.8310249307479224,True,0.0,0.0,False
2,0.6894639556377079,0.12062256809338522,True,0.6894639556377079,0.12062256809338522,True,0.0,0.0,False
3,0.974969474969475,0.6852678571428571,True,0.974969474969475,0.6852678571428571,True,0.0,0.0,False
4,0.9826410415375078,0.6748155953635405,True,0.6119032858028518,0.0714436248682824,True,0.6119032858028518,0.0714436248682824,True
5,0.9796170475602224,0.6448390677025527,True,0.0,0.0,False,0.0,0.0,False
6,0.594628357276702,0.06365583025111933,True,0.594628357276702,0.06365583025111933,True,0.594628357276702,0.06365583025111933,True
7,0.5857056329497274,0.04207476893364602,True,0.5857056329497274,0.04207476893364602,True,0.5857056329497274,0.04207476893364602,True
8,0.9797172710510141,0.5633472088803501,True,0.9797172710510141,0.5633472088803501,True,0.9797172710510141,0.5633472088803501,True
9,0.5394013439218082,0.033790348699125554,True,0.0,0.0,False,0.0,0.0,False
10,0.5342039800995025,0.030135776575780992,True,0.5342039800995025,0.030135776575780992,True,0.0,0.0,False
11,0.5251667677380231,0.029589371980676328,True,0.5251667677380231,0.029589371980676328,True,0.0,0.0,False
12,0.5153562653562653,0.02527787737540337,True,0.5153562653562653,0.02527787737540337,True,0.0,0.0,False
13,0.5,0.021712349861410532,True,0.0,0.0,False,0.0,0.0,False
14,0.5088685015290519,0.020182114705082903,True,0.5088685015290519,0.020182114705082903,True,0.0,0.0,False
15,0.5096501809408926,0.020860055356781204,True,0.5096501809408926,0.020860055356781204,True,0.5096501809408926,0.020860055356781204,True
16,0.5,0.020224156283263416,True,0.0,0.0,False,0.0,0.0,False
17,0.4833538840937115,0.015396630592435569,True,0.4833538840937115,0.015396630592435569,True,0.4833538840937115,0.015396630592435569,True
18,0.5112736136502133,0.01869648785601957,True,0.0,0.0,False,0.0,0.0,False
19,0.486469864698647,0.01594001666203832,True,0.486469864698647,0.01594001666203832,True,0.0,0.0,False
20,0.484472049689441,0.011282660332541567,True,0.484472049689441,0.011282660332541567,True,0.484472049689441,0.011282660332541567,True
21,0.47539975399754,0.012495826775408976,True,0.47539975399754,0.012495826775408976,True,0.47539975399754,0.012495826775408976,True
22,0.48145896656534953,0.013342011064106736,True,0.48145896656534953,0.013342011064106736,True,0.48145896656534953,0.013342011064106736,True
23,0.49007444168734493,0.010603496897913142,True,0.49007444168734493,0.010603496897913142,True,0.49007444168734493,0.010603496897913142,True
24,0.476751394916305,0.012212264979792655,True,0.476751394916305,0.012212264979792655,True,0.476751394916305,0.012212264979792655,True
25,0.4486322188449848,0.009369589571239434,True,0.4486322188449848,0.009369589571239434,True,0.0,0.0,False
26,0.45835942391984974,0.008860071966868083,True,0.45835942391984974,0.008860071966868083,True,0.45835942391984974,0.008860071966868083,True
27,0.4633084577114428,0.009684271159592469,True,0.4633084577114428,0.009684271159592469,True,0.4633084577114428,0.009684271159592469,True
28,0.4639303482587065,0.008859609268514312,True,0.4639303482587065,0.008859609268514312,True,0.4639303482587065,0.008859609268514312,True
29,0.45,0.007466666666666667,True,0.45,0.007466666666666667,True,0.45,0.007466666666666667,True
30,0.4608208955223881,0.008830166464990024,True,0.4608208955223881,0.008830166464990024,True,0.4608208955223881,0.008830166464990024,True
31,0.4517304189435337,0.00859287846353303,True,0.0,0.0,False,0.0,0.0,False
32,0.4405724953329185,0.007227018362813194,True,0.4405724953329185,0.007227018362813194,True,0.4405724953329185,0.007227018362813194,True
33,0.44630664183736807,0.009005455860119634,True,0.44630664183736807,0.009005455860119634,True,0.44630664183736807,0.009005455860119634,True
34,0.43561306223043744,0.007305593254598481,True,0.43561306223043744,0.007305593254598481,True,0.43561306223043744,0.007305593254598481,True
