# frac_edges grid for p_c=0.1
# Valid region: n0 > m
# Generated: 2026-02-17T14:55:07.470077
m,n0,frac_edges,valid
3,80,0.08495788206979543,True
5,80,0.5501717591755559,True
7,80,0.49354879118126016,True
9,80,0.47642354064700965,True
11,80,0.46068111455108357,True
13,80,0.026290999400530958,True
15,80,0.3553662051249922,True
17,80,0.34728835210776915,True
19,80,0.3149717514124294,True
21,80,0.012117862154003147,True
23,80,0.31131366284532985,True
25,80,0.011722159870308018,True
27,80,0.011749084617551201,True
29,80,0.008589035409815128,True
31,80,0.22258588617579883,True
33,80,0.006250945203407773,True
1,90,0.0,True
3,90,0.636568848758465,True
5,90,0.564625850340136,True
7,90,0.5101925254813137,True
9,90,0.48542487338210466,True
11,90,0.40941911843948703,True
13,90,0.36499864388391645,True
15,90,0.30395155003897584,True
17,90,0.30800221584327947,True
19,90,0.36279445583939335,True
21,90,0.2716834481540364,True
23,90,0.245453138301989,True
25,90,0.012566946400708472,True
27,90,0.012737139525496703,True
29,90,0.2301248903807191,True
31,90,0.009272565523848628,True
33,90,0.19860445481860395,True
1,100,0.7222222222222222,True
3,100,0.7160493827160493,True
5,100,0.5379554655870445,True
7,100,0.47048346055979645,True
9,100,0.40822784810126583,True
11,100,0.35016520614854185,True
13,100,0.3400484054669704,True
15,100,0.3299540514915032,True
17,100,0.34567356205852673,True
19,100,0.2667091649095278,True
21,100,0.25250225525151426,True
23,100,0.29563744176196527,True
25,100,0.3173248249285211,True
27,100,0.26836534692277536,True
29,100,0.23470483005366727,True
31,100,0.009364111498257839,True
33,100,0.19431619985636606,True
1,110,0.6841415465268676,True
3,110,0.593477144324602,True
5,110,0.0,True
7,110,0.5196154845414394,True
9,110,0.41255411255411256,True
11,110,0.4158878504672897,True
13,110,0.34894259818731116,True
15,110,0.27480624385984065,True
17,110,0.2817316017316017,True
19,110,0.2510470559251047,True
21,110,0.3109254609990477,True
23,110,0.21692251461988304,True
25,110,0.2188547174026361,True
27,110,0.20302506245024568,True
29,110,0.22400890593110273,True
31,110,0.2098882596050819,True
33,110,0.2053191211432453,True
1,120,0.2139364303178484,True
3,120,0.5770171149144254,True
5,120,0.5099255583126551,True
7,120,0.47884157630256546,True
9,120,0.3847353543230334,True
11,120,0.3184274414597854,True
13,120,0.3292943692088382,True
15,120,0.3247586054396698,True
17,120,0.27743758831841736,True
19,120,0.25452376217935974,True
21,120,0.22743209761114488,True
23,120,0.2182904411764706,True
25,120,0.27594586511141017,True
27,120,0.2304880750203057,True
29,120,0.23016567677399188,True
31,120,0.1928646834312319,True
33,120,0.21994396724238785,True
1,130,0.6803385416666666,True
3,130,0.636696799413633,True
5,130,0.5321739130434783,True
7,130,0.4430301532377657,True
9,130,0.3861641713990707,True
11,130,0.37862582356464447,True
13,130,0.33131459948320413,True
15,130,0.3304408191600139,True
17,130,0.2768092974115161,True
19,130,0.24381662553169142,True
21,130,0.22040538919761724,True
23,130,0.28507974110579976,True
25,130,0.27244350106130605,True
27,130,0.28436668232346957,True
29,130,0.21406947816443364,True
31,130,0.2669596789604433,True
33,130,0.23464919610923554,True
1,140,0.0,True
3,140,0.583954802259887,True
5,140,0.5091705891900665,True
7,140,0.42969363707776903,True
9,140,0.35604208736316295,True
11,140,0.29813615542568317,True
13,140,0.34196984743161507,True
15,140,0.26110939272089906,True
17,140,0.27816136043984147,True
19,140,0.3101298948470286,True
21,140,0.19980660411145335,True
23,140,0.2758745331137797,True
25,140,0.29960892236384706,True
27,140,0.24266926122257262,True
29,140,0.18010552194690754,True
31,140,0.20724972386785823,True
33,140,0.18712970558745784,True
1,150,0.0,True
3,150,0.6334085778781038,True
5,150,0.44693396226415094,True
7,150,0.4518240213307478,True
9,150,0.4280803523471909,True
11,150,0.3371029836381136,True
13,150,0.286522462562396,True
15,150,0.28830345006149266,True
17,150,0.24530075187969924,True
19,150,0.22275997383911053,True
21,150,0.20173708723198927,True
23,150,0.1867418050417276,True
25,150,0.28148676018303204,True
27,150,0.17358124046066326,True
29,150,0.15048568638536258,True
31,150,0.15393340354857005,True
33,150,0.2590823069525021,True
