# Sweep: n0
# Theory: yule_simon
# Node type: b
# a: 0
# Generated: 2026-02-17T14:45:38.718273
n0,frac_nodes_pc0.1,frac_edges_pc0.1,valid_pc0.1,frac_nodes_pc0.2,frac_edges_pc0.2,valid_pc0.2,frac_nodes_pc0.4,frac_edges_pc0.4,valid_pc0.4
10,0.6363069245165315,0.07836456558773425,True,0.6363069245165315,0.07836456558773425,True,0.0,0.0,False
15,0.993142144638404,0.8495900480633305,True,0.0,0.0,False,0.0,0.0,False
20,0.9883863080684596,0.7836083310792534,True,0.9883863080684596,0.7836083310792534,True,0.9883863080684596,0.7836083310792534,True
25,0.9939172749391727,0.8700721821210439,True,0.0,0.0,False,0.0,0.0,False
30,0.652837095790116,0.09148877183254782,True,0.0,0.0,False,0.0,0.0,False
35,0.9786163522012579,0.7080878414568827,True,0.0,0.0,False,0.0,0.0,False
40,0.9932556713672593,0.8624454148471615,True,0.9779276517473943,0.7205240174672489,True,0.9779276517473943,0.7205240174672489,True
45,0.9739454094292804,0.6938884440886042,True,0.6488833746898263,0.09047237790232186,True,0.0,0.0,False
50,0.9718056388722256,0.6738454175640105,True,0.9718056388722256,0.6738454175640105,True,0.9718056388722256,0.6738454175640105,True
55,0.970131421744325,0.6713137996219282,True,0.970131421744325,0.6713137996219282,True,0.970131421744325,0.6713137996219282,True
60,0.9752415458937198,0.704,True,0.0,0.0,False,0.0,0.0,False
65,0.99079754601227,0.8643178410794603,True,0.9644171779141104,0.6554222888555722,True,0.9644171779141104,0.6554222888555722,True
70,0.956414978514426,0.60188727365468,True,0.956414978514426,0.60188727365468,True,0.0,0.0,False
75,0.9720071471113758,0.6865408805031447,True,0.9720071471113758,0.6865408805031447,True,0.0,0.0,False
80,0.9763593380614657,0.6950766372503484,True,0.9763593380614657,0.6950766372503484,True,0.0,0.0,False
85,0.9616076784643072,0.633859320673977,True,0.9616076784643072,0.633859320673977,True,0.0,0.0,False
90,0.9545729860690491,0.5792619542619543,True,0.6596002422774077,0.0906964656964657,True,0.6596002422774077,0.0906964656964657,True
95,0.9760335530257639,0.755801959773079,True,0.9760335530257639,0.755801959773079,True,0.9412822049131216,0.5538937596699329,True
100,0.9482758620689655,0.5676930596285436,True,0.9482758620689655,0.5676930596285436,True,0.9482758620689655,0.5676930596285436,True
105,0.6414081145584726,0.08533916849015317,True,0.0,0.0,False,0.0,0.0,False
110,0.9477744807121662,0.5481695568400771,True,0.9477744807121662,0.5481695568400771,True,0.9477744807121662,0.5481695568400771,True
115,0.9561824729891957,0.6487306843267108,True,0.634453781512605,0.09492273730684327,True,0.0,0.0,False
120,0.942364824717766,0.5567010309278351,True,0.942364824717766,0.5567010309278351,True,0.942364824717766,0.5567010309278351,True
125,0.6441969519343493,0.08400884303610906,True,0.0,0.0,False,0.0,0.0,False
130,0.9589530041641879,0.621297429620563,True,0.9589530041641879,0.621297429620563,True,0.9589530041641879,0.621297429620563,True
135,0.9503839338452451,0.5881372081943783,True,0.9503839338452451,0.5881372081943783,True,0.9503839338452451,0.5881372081943783,True
140,0.639018691588785,0.07945920303605312,True,0.639018691588785,0.07945920303605312,True,0.0,0.0,False
145,0.9440599769319492,0.5495495495495496,True,0.9440599769319492,0.5495495495495496,True,0.9440599769319492,0.5495495495495496,True
150,0.6408904510837727,0.09020742884708152,True,0.0,0.0,False,0.0,0.0,False
