# Log-binned degree distribution
# Node type: b, n=4,517
# N: 5,004, m: 3
# h: 0.8, f_a: 0.1
# Theories: Diamond, Sterling
# Generated: 2026-04-10T10:09:12.716559
k_bin_center,empirical_prob,Diamond_prob,Sterling_prob
0.0,0.3070622094310383,0.3118314643797736,0.6875597659456466
1.0,0.1979189727695373,0.19475682534607283,0.39250406764054885
2.0,0.13327429709984503,0.12782384839000585,0.23985131672995946
3.0,0.08943989373477972,0.08732110999566775,0.1545950261832899
4.0,0.06110250166039407,0.06165453271132794,0.1040105072708165
5.0,0.038299756475536864,0.044755171097447234,0.0724886919563096
6.0,0.032100951959264996,0.033263388907483905,0.05203213771975516
7.0,0.026123533318574275,0.025230187876810847,0.03829535412480885
8.0,0.019924728802302415,0.019478984975294798,0.028798255702668203
9.0,0.015497011290679655,0.015274714800689837,0.0220650754303059
10.0,0.010405136152313482,0.012144230120865547,0.01718556894719378
11.0,0.01173345140580031,0.009774877132727953,0.013580502539432913
12.0,0.009076820898826655,0.007955194731536561,0.010871042957225852
13.0,0.007084348018596413,0.006539163384460076,0.008803343340256758
14.0,0.004870489262785035,0.005424055477412232,0.007203591317411684
15.0,0.003320788133717069,0.004536372933011745,0.005950445676663594
16.0,0.0046491033872038965,0.00382272041157281,0.004957701717598019
17.0,0.004427717511622758,0.0032437623714038958,0.004163137932574051
18.0,0.003099402258135931,0.0027701485822583583,0.00352119009128671
19.0,0.002213858755811379,0.0023797208243214432,0.00299804804464869
20.0,0.0019924728802302415,0.0020555684596453958,0.0025683172150565304
21.0,0.0015497011290679654,0.0017846557335688732,0.002212709371014507
22.0,0.0008855435023245517,0.0015568400123836218,0.0019164220180381392
23.49468024894146,0.003099402258135931,0.0012798470086265695,0.0015599433728954164
25.0,0.00022138587558113792,0.0010602990028147179,0.001280698570065392
26.0,0.0013283152534868275,0.0009400642978566646,0.0011291641029477595
27.0,0.0006641576267434137,0.0008363591442315963,0.000999336907350495
28.495613697550013,0.0013283152534868275,0.0007064757239582786,0.0008379916993977014
30.0,0.0013283152534868275,0.0006002390041672184,0.0007071709263857538
31.496031496047245,0.00044277175116227583,0.0005136349019774003,0.0006013836902231164
33.49626844888845,0.00044277175116227583,0.00042078062349186897,0.0004889270372763851
35.0,0.00044277175116227583,0.00036445526306723024,0.0004212580929360428
38.49675310984031,0.00044277175116227583,0.00026578253727256986,0.00030387230970175475
40.496913462633174,0.00022138587558113792,0.0002242008916370148,0.000254917110588546
42.49705872175156,0.0011069293779056896,0.00019042384249516465,0.00021541239527506618
44.98888751680797,0.00022138587558113792,0.0001567419030753615,0.00017628380743335624
47.49736834815167,0.00022138587558113792,0.00013001409120156634,0.0001454480684817331
49.98999899979995,0.00022138587558113792,0.00010885552893949842,0.00012119120360694098
54.99090833947008,0.00022138587558113792,7.790673227872473e-05,8.599827985194609e-05
57.99137866959192,0.00022138587558113792,6.454015883375603e-05,7.09236881524693e-05
70.48404074682438,0.00022138587558113792,3.2000033758563604e-05,3.464061079730682e-05
73.9932429347437,0.00022138587558113792,2.680721768327525e-05,2.8920897460538564e-05
77.48548251124207,0.00022138587558113792,2.2642024516899112e-05,2.4351609576152255e-05
85.97674104081871,0.00022138587558113792,1.5430260438410183e-05,1.6486451311791854e-05
90.48756820690895,0.00022138587558113792,1.2761678851808302e-05,1.3593893038455428e-05
94.9789450352024,0.00022138587558113792,1.0652676967097443e-05,1.1316115763619497e-05
100.46890066085126,0.00044277175116227583,8.631332361428124e-06,9.140871521512432e-06
