# Normalization constant A(k)
# Node type: a
# p0: 0.693783, alpha: 3.846154, gamma: 9.714085
# A_asymptotic: 279140159.390353
# Generated: 2026-04-10T10:09:17.505281
k,A_k,A_asymptotic
0,279140159.39035314,279140159.39035314
1,279140159.3903532,279140159.39035314
2,279140159.39035326,279140159.39035314
3,279140159.3903531,279140159.39035314
4,279140159.3903532,279140159.39035314
5,279140159.3903526,279140159.39035314
6,279140159.3903527,279140159.39035314
7,279140159.3903526,279140159.39035314
8,279140159.39035267,279140159.39035314
9,279140159.3903526,279140159.39035314
10,279140159.3903526,279140159.39035314
11,279140159.3903526,279140159.39035314
12,279140159.3903527,279140159.39035314
13,279140159.3903525,279140159.39035314
14,279140159.3903527,279140159.39035314
15,279140159.39035267,279140159.39035314
16,279140159.39035267,279140159.39035314
17,279140159.3903527,279140159.39035314
18,279140159.3903527,279140159.39035314
19,279140159.3903527,279140159.39035314
20,279140159.3903549,279140159.39035314
21,279140159.3903537,279140159.39035314
22,279140159.39035535,279140159.39035314
23,279140159.39035445,279140159.39035314
24,279140159.3903525,279140159.39035314
25,279140159.3903527,279140159.39035314
