# Normalization constant A(k)
# Node type: b
# p0: 0.311831, alpha: 6.756757, gamma: 4.061705
# A_asymptotic: 1612.363526
# Generated: 2026-04-10T10:09:17.507290
k,A_k,A_asymptotic
0,1612.363525858131,1612.363525858131
1,1612.363525858131,1612.363525858131
2,1612.3635258581307,1612.363525858131
3,1612.363525858131,1612.363525858131
4,1612.3635258581307,1612.363525858131
5,1612.3635258581307,1612.363525858131
6,1612.3635258581312,1612.363525858131
7,1612.3635258581305,1612.363525858131
8,1612.3635258581298,1612.363525858131
9,1612.3635258581294,1612.363525858131
10,1612.3635258581216,1612.363525858131
11,1612.3635258581228,1612.363525858131
12,1612.3635258581232,1612.363525858131
13,1612.3635258581226,1612.363525858131
14,1612.3635258581232,1612.363525858131
15,1612.3635258581226,1612.363525858131
16,1612.363525858123,1612.363525858131
17,1612.3635258581228,1612.363525858131
18,1612.363525858122,1612.363525858131
19,1612.3635258581228,1612.363525858131
20,1612.3635258581235,1612.363525858131
21,1612.3635258581223,1612.363525858131
22,1612.3635258581223,1612.363525858131
23,1612.363525858115,1612.363525858131
24,1612.3635258581262,1612.363525858131
25,1612.3635258581232,1612.363525858131
