# Asymptotic in-edge density evolution
# N: 1005, m: 2
# h: 0.7, f_a: 0.6
# g_a: 1.268924, g_b: 0.731076
# Generated: 2026-03-13T16:19:28.109536
t,mean_deg_a,mean_deg_b,asymptote_a,asymptote_b
5,1.4,1.0,1.2689243027888446,0.7310756972111554
105,1.1333333333333333,0.8857142857142857,1.2689243027888446,0.7310756972111554
205,1.2682926829268293,0.7414634146341463,1.2689243027888446,0.7310756972111554
305,1.2688524590163934,0.7377049180327869,1.2689243027888446,0.7310756972111554
405,1.271604938271605,0.7333333333333333,1.2689243027888446,0.7310756972111554
505,1.2396039603960396,0.7643564356435644,1.2689243027888446,0.7310756972111554
605,1.2396694214876034,0.7636363636363637,1.2689243027888446,0.7310756972111554
705,1.2326241134751772,0.7702127659574468,1.2689243027888446,0.7310756972111554
805,1.2534161490683229,0.7490683229813665,1.2689243027888446,0.7310756972111554
905,1.261878453038674,0.7403314917127072,1.2689243027888446,0.7310756972111554
1004,1.2689243027888446,0.7330677290836654,1.2689243027888446,0.7310756972111554
