# Network nodes data
# Layout: spring
# N: 1005, m: 2
# h: 0.7, f_a: 0.6
# Initial core size (n0): 5
# Added nodes: 1000
# Generated: 2026-03-13T16:19:24.824870
node_id,node_origin,node_type,in_degree,out_degree
0,initial_core,Type a,36,2
1,initial_core,Type b,57,2
2,initial_core,Type a,57,2
3,initial_core,Type b,33,2
4,initial_core,Type a,25,2
5,added,Type a,43,2
6,added,Type a,7,2
7,added,Type a,13,2
8,added,Type a,30,2
9,added,Type a,16,2
10,added,Type a,18,2
11,added,Type b,20,2
12,added,Type a,23,2
13,added,Type b,5,2
14,added,Type b,21,2
15,added,Type a,19,2
16,added,Type b,1,2
17,added,Type a,15,2
18,added,Type a,14,2
19,added,Type b,3,2
20,added,Type b,29,2
21,added,Type b,11,2
22,added,Type a,24,2
23,added,Type b,17,2
24,added,Type a,4,2
25,added,Type a,9,2
26,added,Type a,11,2
27,added,Type a,17,2
28,added,Type a,10,2
29,added,Type b,19,2
30,added,Type b,24,2
31,added,Type b,10,2
32,added,Type b,13,2
33,added,Type a,6,2
34,added,Type a,9,2
35,added,Type b,8,2
36,added,Type b,3,2
37,added,Type a,10,2
38,added,Type b,3,2
39,added,Type b,6,2
40,added,Type b,6,2
41,added,Type a,4,2
42,added,Type a,0,2
43,added,Type a,17,2
44,added,Type a,10,2
45,added,Type a,13,2
46,added,Type a,3,2
47,added,Type b,10,2
48,added,Type a,5,2
49,added,Type b,5,2
50,added,Type a,7,2
51,added,Type a,9,2
52,added,Type a,2,2
53,added,Type a,2,2
54,added,Type b,1,2
55,added,Type a,24,2
56,added,Type b,3,2
57,added,Type a,12,2
58,added,Type a,4,2
59,added,Type a,7,2
60,added,Type a,14,2
61,added,Type b,6,2
62,added,Type a,4,2
63,added,Type b,3,2
64,added,Type a,3,2
65,added,Type a,4,2
66,added,Type a,9,2
67,added,Type a,9,2
68,added,Type a,1,2
69,added,Type a,5,2
70,added,Type a,2,2
71,added,Type a,13,2
72,added,Type b,2,2
73,added,Type b,0,2
74,added,Type b,3,2
75,added,Type a,8,2
76,added,Type a,1,2
77,added,Type b,3,2
78,added,Type a,7,2
79,added,Type a,5,2
80,added,Type a,7,2
81,added,Type a,2,2
82,added,Type a,1,2
83,added,Type a,12,2
84,added,Type b,1,2
85,added,Type a,14,2
86,added,Type b,4,2
87,added,Type b,4,2
88,added,Type a,17,2
89,added,Type b,2,2
90,added,Type b,1,2
91,added,Type a,8,2
92,added,Type a,6,2
93,added,Type a,2,2
94,added,Type a,4,2
95,added,Type a,3,2
96,added,Type a,10,2
97,added,Type b,7,2
98,added,Type a,3,2
99,added,Type b,8,2
100,added,Type a,11,2
101,added,Type a,2,2
102,added,Type a,2,2
103,added,Type a,3,2
104,added,Type a,20,2
105,added,Type a,11,2
106,added,Type b,2,2
107,added,Type b,6,2
108,added,Type a,11,2
109,added,Type b,3,2
110,added,Type b,12,2
111,added,Type a,1,2
112,added,Type b,8,2
113,added,Type b,1,2
114,added,Type b,0,2
115,added,Type b,2,2
116,added,Type a,5,2
117,added,Type a,6,2
118,added,Type b,15,2
119,added,Type b,6,2
120,added,Type a,4,2
121,added,Type a,7,2
122,added,Type a,5,2
123,added,Type a,2,2
124,added,Type b,4,2
125,added,Type a,2,2
126,added,Type b,3,2
127,added,Type b,7,2
128,added,Type a,2,2
129,added,Type a,7,2
130,added,Type a,3,2
131,added,Type b,2,2
132,added,Type b,7,2
133,added,Type a,5,2
134,added,Type a,2,2
135,added,Type a,9,2
136,added,Type a,0,2
137,added,Type a,2,2
138,added,Type b,1,2
139,added,Type a,2,2
140,added,Type a,1,2
141,added,Type b,1,2
142,added,Type a,3,2
143,added,Type a,1,2
144,added,Type a,5,2
145,added,Type a,0,2
146,added,Type a,1,2
147,added,Type a,5,2
148,added,Type a,2,2
149,added,Type b,10,2
150,added,Type b,1,2
151,added,Type a,1,2
152,added,Type a,2,2
153,added,Type a,1,2
154,added,Type a,1,2
155,added,Type a,0,2
156,added,Type a,0,2
157,added,Type a,2,2
158,added,Type b,3,2
159,added,Type b,4,2
160,added,Type a,3,2
161,added,Type b,1,2
162,added,Type b,6,2
163,added,Type b,3,2
164,added,Type b,3,2
165,added,Type a,5,2
166,added,Type b,6,2
167,added,Type a,7,2
168,added,Type b,1,2
169,added,Type a,1,2
170,added,Type a,1,2
171,added,Type b,3,2
172,added,Type b,1,2
173,added,Type a,0,2
174,added,Type a,3,2
175,added,Type a,1,2
176,added,Type a,12,2
177,added,Type a,5,2
178,added,Type a,3,2
179,added,Type a,0,2
180,added,Type a,4,2
181,added,Type b,7,2
182,added,Type a,5,2
183,added,Type b,2,2
184,added,Type a,1,2
185,added,Type a,0,2
186,added,Type a,1,2
187,added,Type a,1,2
188,added,Type a,2,2
189,added,Type b,3,2
190,added,Type b,0,2
191,added,Type a,2,2
192,added,Type a,6,2
193,added,Type b,6,2
194,added,Type b,1,2
195,added,Type a,6,2
196,added,Type a,2,2
197,added,Type a,3,2
198,added,Type a,1,2
199,added,Type a,2,2
200,added,Type b,0,2
201,added,Type a,1,2
202,added,Type b,0,2
203,added,Type b,3,2
204,added,Type a,6,2
205,added,Type a,2,2
206,added,Type b,0,2
207,added,Type a,3,2
208,added,Type b,5,2
209,added,Type a,4,2
210,added,Type b,1,2
211,added,Type a,1,2
212,added,Type a,1,2
213,added,Type a,1,2
214,added,Type a,1,2
215,added,Type b,1,2
216,added,Type b,0,2
217,added,Type a,2,2
218,added,Type a,6,2
219,added,Type b,0,2
220,added,Type b,0,2
221,added,Type a,0,2
222,added,Type b,3,2
223,added,Type b,1,2
224,added,Type a,1,2
225,added,Type b,1,2
226,added,Type a,2,2
227,added,Type b,4,2
228,added,Type a,1,2
229,added,Type b,1,2
230,added,Type a,0,2
231,added,Type b,2,2
