# Network edges data
# Layout: spring
# N: 1005, m: 2
# h: 0.7, f_a: 0.6
# Initial core size (n0): 5
# Added nodes: 1000
# Generated: 2026-03-13T16:19:24.844865
source,target,source_origin,target_origin,source_type,target_type
89,31,added,added,Type b,Type b
89,70,added,added,Type b,Type a
90,22,added,added,Type b,Type a
90,9,added,added,Type b,Type a
91,55,added,added,Type a,Type a
91,3,added,initial_core,Type a,Type b
92,4,added,initial_core,Type a,Type a
92,41,added,added,Type a,Type a
93,4,added,initial_core,Type a,Type a
93,11,added,added,Type a,Type b
94,20,added,added,Type a,Type b
94,61,added,added,Type a,Type b
95,21,added,added,Type a,Type b
95,0,added,initial_core,Type a,Type a
96,1,added,initial_core,Type a,Type b
96,71,added,added,Type a,Type a
97,66,added,added,Type b,Type a
97,2,added,initial_core,Type b,Type a
98,80,added,added,Type a,Type a
98,20,added,added,Type a,Type b
99,91,added,added,Type b,Type a
99,0,added,initial_core,Type b,Type a
100,33,added,added,Type a,Type a
100,13,added,added,Type a,Type b
101,14,added,added,Type a,Type b
101,5,added,added,Type a,Type a
102,55,added,added,Type a,Type a
102,101,added,added,Type a,Type a
103,75,added,added,Type a,Type a
103,30,added,added,Type a,Type b
104,1,added,initial_core,Type a,Type b
104,29,added,added,Type a,Type b
105,10,added,added,Type a,Type a
105,8,added,added,Type a,Type a
106,24,added,added,Type b,Type a
106,9,added,added,Type b,Type a
107,100,added,added,Type b,Type a
107,55,added,added,Type b,Type a
108,85,added,added,Type a,Type a
108,22,added,added,Type a,Type a
109,57,added,added,Type b,Type a
109,47,added,added,Type b,Type b
110,72,added,added,Type b,Type b
110,24,added,added,Type b,Type a
111,2,added,initial_core,Type a,Type a
111,17,added,added,Type a,Type a
112,5,added,added,Type b,Type a
112,62,added,added,Type b,Type a
113,5,added,added,Type b,Type a
113,66,added,added,Type b,Type a
114,108,added,added,Type b,Type a
114,19,added,added,Type b,Type b
115,81,added,added,Type b,Type a
115,18,added,added,Type b,Type a
116,17,added,added,Type a,Type a
116,51,added,added,Type a,Type a
117,85,added,added,Type a,Type a
117,11,added,added,Type a,Type b
118,14,added,added,Type b,Type b
