# Normalization constant A(k)
# Node type: b
# p0: 0.259452, alpha: 15.625000, gamma: 6.474244
# A_asymptotic: 38252358.000478
# Generated: 2026-02-15T17:29:03.665860
k,A_k,A_asymptotic
0,38252358.000477664,38252358.000477664
1,38252358.00047765,38252358.000477664
2,38252358.00047766,38252358.000477664
3,38252358.00047764,38252358.000477664
4,38252358.00047765,38252358.000477664
5,38252358.00047767,38252358.000477664
6,38252358.00047766,38252358.000477664
7,38252358.00047766,38252358.000477664
8,38252358.00047765,38252358.000477664
9,38252358.00047764,38252358.000477664
10,38252358.000477664,38252358.000477664
11,38252358.000477515,38252358.000477664
12,38252358.000477575,38252358.000477664
13,38252358.00047754,38252358.000477664
14,38252358.00047782,38252358.000477664
15,38252358.00047755,38252358.000477664
16,38252358.00047769,38252358.000477664
17,38252358.000477895,38252358.000477664
18,38252358.00047768,38252358.000477664
19,38252358.00047812,38252358.000477664
20,38252358.00047797,38252358.000477664
21,38252358.000477925,38252358.000477664
22,38252358.00047736,38252358.000477664
23,38252358.00047761,38252358.000477664
24,38252358.000477776,38252358.000477664
25,38252358.00047739,38252358.000477664
