# Network nodes data
# Layout: spring
# N: 500004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-09T16:39:47.109221
node_id,node_type,in_degree,out_degree
311,Type b,62,3
312,Type b,92,3
313,Type b,49,3
314,Type b,102,3
315,Type b,61,3
316,Type b,92,3
317,Type b,53,3
318,Type b,77,3
319,Type b,48,3
320,Type b,82,3
321,Type b,55,3
322,Type b,65,3
323,Type b,36,3
324,Type a,3,3
325,Type b,199,3
326,Type b,84,3
327,Type b,53,3
328,Type b,90,3
329,Type b,51,3
330,Type b,110,3
331,Type b,56,3
332,Type b,51,3
333,Type b,25,3
334,Type b,38,3
335,Type b,73,3
336,Type b,48,3
337,Type b,45,3
338,Type b,77,3
339,Type b,82,3
340,Type b,75,3
341,Type b,86,3
342,Type b,95,3
343,Type b,129,3
344,Type b,54,3
345,Type b,59,3
346,Type b,79,3
347,Type b,60,3
348,Type b,96,3
349,Type b,97,3
350,Type b,62,3
351,Type b,62,3
352,Type b,34,3
353,Type b,53,3
354,Type b,69,3
355,Type b,55,3
356,Type b,37,3
357,Type b,42,3
358,Type b,19,3
359,Type b,63,3
360,Type b,78,3
361,Type b,95,3
362,Type b,108,3
363,Type b,109,3
364,Type b,62,3
365,Type b,36,3
366,Type b,45,3
367,Type b,47,3
368,Type b,77,3
369,Type b,72,3
370,Type b,82,3
371,Type b,56,3
372,Type b,60,3
373,Type b,48,3
374,Type b,52,3
375,Type a,4,3
376,Type b,86,3
377,Type b,90,3
378,Type b,65,3
379,Type b,71,3
380,Type b,63,3
381,Type b,64,3
382,Type b,38,3
383,Type b,125,3
384,Type b,33,3
385,Type b,36,3
386,Type b,16,3
387,Type b,34,3
388,Type b,70,3
389,Type b,39,3
390,Type a,11,3
391,Type b,42,3
392,Type b,51,3
393,Type b,68,3
394,Type b,92,3
395,Type b,59,3
396,Type b,66,3
397,Type b,78,3
398,Type b,83,3
399,Type b,51,3
400,Type b,53,3
401,Type b,36,3
402,Type b,48,3
403,Type b,65,3
404,Type b,66,3
405,Type b,84,3
406,Type b,51,3
407,Type b,87,3
408,Type b,57,3
409,Type b,66,3
410,Type b,82,3
411,Type b,66,3
412,Type b,76,3
413,Type b,48,3
414,Type b,53,3
415,Type b,82,3
416,Type b,64,3
417,Type b,98,3
418,Type b,75,3
419,Type b,21,3
420,Type b,49,3
421,Type b,56,3
422,Type b,37,3
423,Type b,46,3
424,Type a,8,3
425,Type b,21,3
426,Type b,40,3
427,Type b,110,3
428,Type b,30,3
429,Type b,71,3
430,Type b,51,3
431,Type b,80,3
432,Type a,10,3
433,Type b,67,3
434,Type a,7,3
435,Type b,37,3
436,Type b,84,3
437,Type b,80,3
438,Type b,49,3
439,Type a,2,3
440,Type b,53,3
441,Type b,129,3
442,Type b,36,3
443,Type b,52,3
444,Type b,65,3
445,Type b,66,3
446,Type b,69,3
447,Type b,67,3
448,Type b,24,3
449,Type b,41,3
450,Type b,69,3
451,Type b,55,3
452,Type b,57,3
453,Type b,73,3
454,Type b,74,3
455,Type b,63,3
456,Type b,36,3
457,Type b,58,3
458,Type b,96,3
459,Type b,36,3
460,Type b,84,3
461,Type a,1,3
462,Type b,38,3
463,Type b,40,3
464,Type b,59,3
