# Network nodes data
# Layout: spring
# N: 104, m: 3
# h: 0.7, f_a: 0.55
# Generated: 2026-02-18T19:13:39.950554
node_id,node_type,in_degree,out_degree
0,Type a,26,3
1,Type b,31,3
2,Type a,41,3
3,Type b,29,3
4,Type b,9,3
5,Type b,12,3
6,Type a,5,3
7,Type b,4,3
8,Type a,8,3
9,Type b,7,3
10,Type b,5,3
11,Type b,5,3
12,Type b,8,3
13,Type b,8,3
14,Type a,2,3
15,Type a,0,3
16,Type a,9,3
17,Type a,6,3
18,Type b,9,3
19,Type a,3,3
20,Type b,7,3
21,Type a,1,3
22,Type a,1,3
23,Type a,11,3
24,Type b,3,3
25,Type b,0,3
26,Type b,0,3
27,Type b,1,3
28,Type a,0,3
29,Type a,4,3
30,Type b,3,3
31,Type a,2,3
32,Type b,4,3
33,Type b,1,3
34,Type a,5,3
35,Type b,3,3
36,Type a,1,3
37,Type a,1,3
38,Type b,1,3
39,Type b,0,3
40,Type a,1,3
41,Type b,1,3
42,Type a,1,3
43,Type b,2,3
44,Type b,2,3
45,Type a,1,3
46,Type a,1,3
47,Type a,1,3
48,Type a,0,3
49,Type b,1,3
50,Type b,1,3
51,Type a,3,3
52,Type b,0,3
53,Type a,1,3
54,Type b,0,3
55,Type a,2,3
56,Type a,0,3
57,Type b,0,3
58,Type b,1,3
59,Type b,3,3
60,Type a,1,3
61,Type b,0,3
62,Type a,0,3
63,Type b,3,3
64,Type b,2,3
65,Type b,0,3
66,Type b,1,3
67,Type a,0,3
68,Type a,0,3
69,Type a,0,3
70,Type a,0,3
71,Type b,0,3
72,Type a,1,3
73,Type b,0,3
74,Type a,1,3
75,Type a,0,3
76,Type b,0,3
77,Type a,1,3
78,Type a,0,3
79,Type a,0,3
80,Type b,0,3
81,Type a,1,3
82,Type b,0,3
83,Type b,0,3
84,Type a,2,3
85,Type a,0,3
86,Type a,0,3
87,Type b,0,3
88,Type b,1,3
89,Type b,0,3
90,Type a,0,3
91,Type b,0,3
92,Type b,0,3
93,Type a,0,3
94,Type b,0,3
95,Type a,0,3
96,Type a,0,3
97,Type b,0,3
98,Type a,0,3
99,Type a,0,3
100,Type b,0,3
101,Type a,0,3
102,Type a,0,3
103,Type a,0,3
