# Network nodes data
# Layout: spring
# N: 8, m: 2
# h: 0.7, f_a: 0.55
# Generated: 2026-03-12T18:12:54.353427
node_id,node_type,in_degree,out_degree
0,Type a,1,2
1,Type b,6,2
2,Type a,4,2
3,Type b,3,2
4,Type a,2,2
5,Type a,0,2
6,Type a,0,2
7,Type b,0,2
