# Normalization constant A(k)
# Node type: b
# p0: 0.258356, alpha: 15.625000, gamma: 6.443053
# A_asymptotic: 34610296.539447
# Generated: 2026-02-15T17:29:46.578462
k,A_k,A_asymptotic
0,34610296.53944651,34610296.53944651
1,34610296.53944651,34610296.53944651
2,34610296.53944652,34610296.53944651
3,34610296.5394465,34610296.53944651
4,34610296.53944651,34610296.53944651
5,34610296.53944652,34610296.53944651
6,34610296.53944651,34610296.53944651
7,34610296.539446495,34610296.53944651
8,34610296.539446495,34610296.53944651
9,34610296.53944652,34610296.53944651
10,34610296.539446086,34610296.53944651
11,34610296.53944631,34610296.53944651
12,34610296.539445974,34610296.53944651
13,34610296.53944594,34610296.53944651
14,34610296.53944604,34610296.53944651
15,34610296.53944596,34610296.53944651
16,34610296.53944586,34610296.53944651
17,34610296.539445825,34610296.53944651
18,34610296.539446026,34610296.53944651
19,34610296.53944639,34610296.53944651
20,34610296.53944651,34610296.53944651
21,34610296.539445944,34610296.53944651
22,34610296.53944578,34610296.53944651
23,34610296.539445795,34610296.53944651
24,34610296.53944618,34610296.53944651
25,34610296.5394455,34610296.53944651
