# frac_nodes grid for p_c=0.4
# Valid region: n0 > m
# Generated: 2026-02-15T18:02:08.571767
m,n0,frac_nodes,valid
1,10,0.9141226110697444,True
6,10,0.0,True
11,10,,False
16,10,,False
21,10,,False
1,30,0.0,True
6,30,0.9977581267903849,True
11,30,0.9975402779485918,True
16,30,0.0,True
21,30,0.0,True
1,50,1.0,True
6,50,0.9947754695857693,True
11,50,0.9959899749373433,True
16,50,0.9952374984333876,True
21,50,0.0,True
1,70,1.0,True
6,70,0.9946854529724385,True
11,70,0.0,True
16,70,0.0,True
21,70,0.20167859787706738,True
1,90,0.0,True
6,90,0.0,True
11,90,0.9955156950672646,True
16,90,0.21998508575689785,True
21,90,0.0,True
