# frac_edges grid for p_c=0.1
# Valid region: n0 > m
# Generated: 2026-02-16T09:01:16.280061
m,n0,frac_edges,valid
13,150,0.9023286656004993,True
15,150,0.848115042195222,True
17,150,0.8695362216365623,True
19,150,0.8152995883518829,True
21,150,0.8199716794919473,True
23,150,0.8017134660352518,True
25,150,0.794562435398927,True
27,150,0.7683119830392069,True
29,150,0.7080917417303763,True
31,150,0.7117894259516063,True
33,150,0.6756704148333242,True
