# P-value vs truncation analysis
# Sweep: m_edges, value: 26
# Node type: b, a: 0
# Confidence interval: z = 1.0
# Generated: 2026-02-15T23:13:56.563191
b,p,sigma_p,p_lower_bound,D_theory_mean,D_mle_mean
1,0.52,0.07065408693062278,0.4493459130693772,0.9187689150335406,0.920940002517563
24,0.02,0.01979898987322333,0.0002010101267766705,9.845544275002453,9.470252150664908
47,0.0,0.0,0.0,20.296934926322248,18.89190743145402
71,0.0,0.0,0.0,32.92568392121741,29.66416553971684
94,0.0,0.0,0.0,46.50825488455607,40.94396985905558
117,0.0,0.0,0.0,61.351699726963844,52.72084668285731
141,0.0,0.0,0.0,78.08091112934619,65.70949914994395
164,0.0,0.0,0.0,95.21168022103127,79.056133787759
187,0.0,0.0,0.0,113.31771104771401,92.43357668999062
211,0.0,0.0,0.0,133.19784179888603,107.23941172553478
234,0.0,0.0,0.0,153.14203239278257,121.85848060042065
258,0.0,0.0,0.0,174.81817501057296,137.55257290565663
281,0.0,0.0,0.0,196.40160605871515,152.91374885298268
304,0.0,0.0,0.0,218.73308654943924,168.4873279020459
328,0.0,0.0,0.0,242.79701622498152,184.9677706125778
351,0.0,0.0,0.0,266.5651483185144,201.28557928968598
374,0.0,0.0,0.0,290.99694975248474,217.7646585514062
398,0.0,0.0,0.0,317.19072805736795,235.31598692981166
421,0.0,0.0,0.0,342.9206137138858,252.82254968116933
444,0.0,0.0,0.0,369.2516497962157,270.8468084107528
468,0.0,0.0,0.0,397.36866444024895,289.6664728272939
491,0.0,0.0,0.0,424.88958612538175,307.582260786391
515,0.0,0.0,0.0,454.20206671302003,327.6118858259419
538,0.0,0.0,0.0,482.8435453138816,347.12933759080414
561,0.0,0.0,0.0,512.0213725738674,367.6323851252893
585,0.0,0.0,0.0,543.019255709258,389.28234416503756
608,0.0,0.0,0.0,573.2410216827209,410.54594101525277
631,0.0,0.0,0.0,603.9605955181286,432.0544983133223
655,0.0,0.0,0.0,636.5327310906393,455.5859370350518
678,0.0,0.0,0.0,668.2364981101117,478.1742337231835
702,0.0,0.0,0.0,701.8103680614332,501.92993569918775
725,0.0,0.0,0.0,734.4647660467164,525.4907370254557
748,0.0,0.0,0.0,767.5649305708309,549.3564496466803
772,0.0,0.0,0.0,802.576885616323,574.0384397372494
795,0.0,0.0,0.0,836.5733502841555,597.8555126846627
818,0.0,0.0,0.0,871.0029527185524,621.8779556310677
842,0.0,0.0,0.0,907.3751771058113,646.6332958893069
865,0.0,0.0,0.0,942.6588106840655,670.1976069450335
888,0.0,0.0,0.0,978.3496315305626,691.9696583695129
912,0.0,0.0,0.0,1016.0123614319076,714.4348687515749
935,0.0,0.0,0.0,1052.529491235602,733.8574530225139
959,0.0,0.0,0.0,1091.044745944027,751.1081232241121
982,0.0,0.0,0.0,1128.3532435140467,766.4105618635689
1005,0.0,0.0,0.0,1166.0439470589608,780.7208729512462
1029,0.0,0.0,0.0,1205.7546017536156,792.8193116695033
1052,0.0,0.0,0.0,1244.222998434701,804.9892763568791
1075,0.0,0.0,0.0,1283.0314179283662,816.0460828793641
1099,0.0,0.0,0.0,1323.9608016482243,830.6130944099955
1122,0.0,0.0,0.0,1363.5073315334967,844.5917208143105
1146,0.0,0.0,0.0,1405.1831262187377,858.6098057393233
