# margin grid for p_c=0.4
# Valid region: n0 > m
# Generated: 2026-02-16T09:01:17.591314
m,n0,margin,valid
1,70,0.15135599079307793,True
3,70,0.029289321881345254,True
5,70,0.009345913069377154,True
7,70,0.04934591306937719,True
9,70,0.04934591306937719,True
11,70,0.04934591306937719,True
13,70,0.06951595925317561,True
15,70,0.029289321881345254,True
17,70,,True
19,70,0.17211774900609145,True
21,70,0.06951595925317561,True
23,70,0.029289321881345254,True
25,70,0.029289321881345254,True
27,70,0.13071796769724486,True
29,70,0.06951595925317561,True
31,70,0.06951595925317561,True
33,70,0.009345913069377154,True
1,80,0.1102002865335393,True
3,80,0.04934591306937719,True
5,80,0.009345913069377154,True
7,80,0.04934591306937719,True
9,80,0.029289321881345254,True
11,80,0.04934591306937719,True
13,80,0.1102002865335393,True
15,80,0.19300746310222305,True
17,80,0.009345913069377154,True
19,80,0.029289321881345254,True
21,80,0.029289321881345254,True
23,80,0.009345913069377154,True
25,80,0.1102002865335393,True
27,80,0.1102002865335393,True
29,80,0.009345913069377154,True
31,80,0.08980028490086306,True
33,80,,True
1,90,0.06951595925317561,True
3,90,0.009345913069377154,True
5,90,0.029289321881345254,True
7,90,0.04934591306937719,True
9,90,0.17211774900609145,True
11,90,0.06951595925317561,True
13,90,0.13071796769724486,True
15,90,0.009345913069377154,True
17,90,0.1102002865335393,True
19,90,0.04934591306937719,True
21,90,0.1102002865335393,True
23,90,0.15135599079307793,True
25,90,0.08980028490086306,True
27,90,0.08980028490086306,True
29,90,0.15135599079307793,True
31,90,0.17211774900609145,True
33,90,0.15135599079307793,True
1,100,0.19300746310222305,True
3,100,0.04934591306937719,True
5,100,0.06951595925317561,True
7,100,0.06951595925317561,True
9,100,0.13071796769724486,True
11,100,0.029289321881345254,True
13,100,0.1102002865335393,True
15,100,0.08980028490086306,True
17,100,0.04934591306937719,True
19,100,0.08980028490086306,True
21,100,0.13071796769724486,True
23,100,0.009345913069377154,True
25,100,0.04934591306937719,True
27,100,0.08980028490086306,True
29,100,0.009345913069377154,True
31,100,0.2140303099901174,True
33,100,0.15135599079307793,True
1,110,0.08980028490086306,True
3,110,0.029289321881345254,True
5,110,0.15135599079307793,True
7,110,0.009345913069377154,True
9,110,0.1102002865335393,True
11,110,0.06951595925317561,True
13,110,0.15135599079307793,True
15,110,0.04934591306937719,True
17,110,0.029289321881345254,True
19,110,0.04934591306937719,True
21,110,0.2140303099901174,True
23,110,0.04934591306937719,True
25,110,0.009345913069377154,True
27,110,0.13071796769724486,True
29,110,0.009345913069377154,True
31,110,0.06951595925317561,True
33,110,,True
1,120,0.2140303099901174,True
3,120,0.13071796769724486,True
5,120,0.009345913069377154,True
7,120,0.13071796769724486,True
9,120,0.029289321881345254,True
11,120,0.17211774900609145,True
13,120,0.2140303099901174,True
15,120,0.15135599079307793,True
17,120,0.04934591306937719,True
19,120,0.17211774900609145,True
21,120,0.009345913069377154,True
23,120,0.06951595925317561,True
25,120,0.06951595925317561,True
27,120,0.13071796769724486,True
