# In-degree distribution (log-binned)
# Node type: b
# N: 10035, m: 3
# h: 0.2, f_a: 0.2
# Generated: 2026-02-15T21:55:45.044040
k,theory_prob,empirical_prob
0.0,0.2585589203416883,
1.0,0.18302143021690825,
2.0,0.1318693887638478,
3.0,0.09654460476216577,
4.0,0.07171395753096219,
5.0,0.05397698207116512,
6.0,0.041119983262246605,
7.0,0.03167433077865081,
8.0,0.024648690678199813,
9.0,0.019363193933443622,
10.0,0.015344703830824894,
11.0,0.012259467911869364,
12.0,0.009869083098307531,
13.0,0.008001256561252168,
14.0,0.006530110850336246,
15.0,0.00536273962527092,
16.0,0.004429915132798023,
17.0,0.0036795899517255725,
18.0,0.0030723027590470573,
19.0,0.002577896638141591,
20.0,0.0021731521183521014,
21.0,0.0018400642947401442,
22.0,0.0015645778815207628,
23.0,0.0013356508540056627,
24.0,0.0011445559270277892,
25.0,0.0009843556080925719,
26.0,0.0008495049228576099,
27.0,0.0007355487519033699,
28.0,0.000638889778231001,
29.0,0.000556609490994776,
30.0,0.0004863293134474104,
31.0,0.0004261022629598898,
32.0,0.0003743279816111204,
33.0,0.00032968575699642233,
34.0,0.0002910814667661022,
35.0,0.0002576053557177364,
36.0,0.00022849828266765056,
37.0,0.0002031246215023886,
38.0,0.00018095041415228387,
39.0,0.00016152568715536734,
40.0,0.00014447008313678056,
41.0,0.00012946114240178601,
42.0,0.00011622471159172735,
43.0,0.00010452706613843656,
44.0,9.416841866218964e-05,
45.0,8.49775521905196e-05,
46.0,7.680736943248489e-05,
47.0,6.953119058704461e-05,
48.0,6.303966478110221e-05,
49.0,5.723818612400863e-05,
50.0,5.204472599323172e-05,
51.0,4.738800965840046e-05,
52.0,4.320597858236944e-05,
53.0,3.9444490388515125e-05,
54.0,3.605621708418877e-05,
55.0,3.29997090974061e-05,
56.0,3.023859834491333e-05,
57.0,2.7740918163183753e-05,
58.0,2.547852170423618e-05,
59.0,2.342658348828598e-05,
60.0,2.156317134454153e-05,
61.0,1.98688780637931e-05,
62.0,1.8326503814837157e-05,
63.0,1.692078180810134e-05,
64.0,1.5638140878146163e-05,
65.0,1.4466499645482159e-05,
0.0,,0.25766641735228124
1.0,,0.18636250311642982
2.0,,0.13325853901770132
3.0,,0.09498878085265519
4.0,,0.07142857142857142
5.0,,0.053477935676888556
6.0,,0.0387683869359262
7.0,,0.035153328347045626
8.0,,0.02318623784592371
9.0,,0.018698578908002993
10.0,,0.016080777860882575
11.0,,0.011717776115681875
12.0,,0.010720518573921716
13.0,,0.007728745948641236
14.0,,0.004113687359760658
15.0,,0.004238344552480678
16.0,,0.004238344552480678
17.0,,0.004363001745200698
18.0,,0.0029917726252804786
19.0,,0.0029917726252804786
20.0,,0.002742458239840439
21.0,,0.002119172276240339
22.0,,0.002119172276240339
23.0,,0.0006232859636000997
24.0,,0.002119172276240339
25.0,,0.0008726003490401396
26.0,,0.0009972575417601596
27.0,,0.0004986287708800798
28.0,,0.0002493143854400399
29.0,,0.0007479431563201197
30.0,,0.00012465719272001995
31.0,,0.0002493143854400399
32.0,,0.0008726003490401396
34.0,,0.0007479431563201197
35.0,,0.0002493143854400399
37.0,,0.00037397157816005983
38.0,,0.0002493143854400399
41.0,,0.00012465719272001995
42.0,,0.00037397157816005983
43.0,,0.00012465719272001995
46.0,,0.0002493143854400399
47.0,,0.00012465719272001995
48.0,,0.00012465719272001995
49.0,,0.00012465719272001995
50.0,,0.00012465719272001995
59.0,,0.00012465719272001995
61.0,,0.00012465719272001995
62.0,,0.00012465719272001995
64.4980619863884,,0.00012465719272001995
