# Sweep: m_edges
# Node type: b
# a: 0
# Generated: 2026-02-15T23:13:52.356937
m_edges,frac_nodes_pc0.1,frac_edges_pc0.1,valid_pc0.1,frac_nodes_pc0.2,frac_edges_pc0.2,valid_pc0.2,frac_nodes_pc0.4,frac_edges_pc0.4,valid_pc0.4
1,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
2,1.0,1.0,True,1.0,1.0,True,0.9981221832749124,0.9783494785876873,True
3,1.0,1.0,True,1.0,1.0,True,0.9992529880478087,0.9886074157939428,True
4,1.0,1.0,True,1.0,1.0,True,0.9995011846863698,0.9916116795341009,True
5,1.0,1.0,True,1.0,1.0,True,0.9992548435171386,0.9863589586389613,True
6,1.0,1.0,True,0.998875281179705,0.9780213603147836,True,0.9983754061484629,0.9695147086378115,True
7,1.0,1.0,True,1.0,1.0,True,0.9997521070897373,0.9941610373476202,True
8,1.0,1.0,True,0.9995023018539256,0.986875510994449,True,0.998755754634814,0.9709826871494758,True
9,1.0,1.0,True,1.0,1.0,True,0.9996288506742546,0.9892022119861689,True
10,0.9994993115533859,0.984810561444837,True,0.9986231067718112,0.9643821162151551,True,0.9972462135436225,0.9372300745975658,True
11,0.9992536385122528,0.9765201363139507,True,0.998756064187088,0.9636388966285874,True,0.9980097026993408,0.9457959148680798,True
12,0.9988745779667375,0.966706917371054,True,0.9987495310741528,0.9636126444712783,True,0.2394647992997374,0.00937985164740383,True
13,1.0,1.0,True,1.0,1.0,True,0.9988757026858214,0.9638293440559313,True
14,0.8531775935694549,0.39104543449492724,True,0.70120572720422,0.2033620375520224,True,0.22532027128862095,0.007892061909054296,True
15,0.9978965602573621,0.9293935895694689,True,0.9971541697599604,0.9083169224500883,True,0.7100965107646622,0.20243107429037077,True
16,0.21480189384500373,0.006938367848398872,True,0.21480189384500373,0.006938367848398872,True,0.21480189384500373,0.006938367848398872,True
17,0.9974996874609326,0.9095983291906282,True,0.9967495936992125,0.8876689561853774,True,0.9341167645955745,0.5157373770057802,True
18,0.9336119990164741,0.518233425645275,True,0.7676419965576592,0.2418500185350749,True,0.0,0.0,False
19,0.8844333748443337,0.3978047459698135,True,0.7599003735990038,0.22916869159527348,True,0.20149439601494396,0.005345811521959483,True
20,0.7744220730797912,0.23722693266832917,True,0.197613721103654,0.004927680798004988,True,0.0,0.0,False
21,0.7596523898199876,0.2208110314796335,True,0.19528243327126008,0.004730368968779565,True,0.19528243327126008,0.004730368968779565,True
22,0.8011988011988012,0.2536369196819419,True,0.19305694305694307,0.004245571533083077,True,0.19305694305694307,0.004245571533083077,True
23,0.19326040487866214,0.004393976795852876,True,0.19326040487866214,0.004393976795852876,True,0.19326040487866214,0.004393976795852876,True
24,0.1938648782911078,0.004335311257653151,True,0.1938648782911078,0.004335311257653151,True,0.1938648782911078,0.004335311257653151,True
25,0.7988298269637745,0.24181719633198012,True,0.18959292916718537,0.003910268464542106,True,0.18959292916718537,0.003910268464542106,True
26,0.1906965111916969,0.004026068066618392,True,0.1906965111916969,0.004026068066618392,True,0.1906965111916969,0.004026068066618392,True
27,0.18265407554671967,0.0034602800680539197,True,0.18265407554671967,0.0034602800680539197,True,0.18265407554671967,0.0034602800680539197,True
28,0.18132141082960754,0.0032812597728136563,True,0.18132141082960754,0.0032812597728136563,True,0.18132141082960754,0.0032812597728136563,True
29,0.19067691544755766,0.0033672961626350904,True,0.19067691544755766,0.0033672961626350904,True,0.0,0.0,False
30,0.17838302048828364,0.003065229753533336,True,0.17838302048828364,0.003065229753533336,True,0.17838302048828364,0.003065229753533336,True
31,0.18268387420122792,0.0033648685754224805,True,0.18268387420122792,0.0033648685754224805,True,0.18268387420122792,0.0033648685754224805,True
32,0.17137896825396826,0.0030551188492854964,True,0.17137896825396826,0.0030551188492854964,True,0.17137896825396826,0.0030551188492854964,True
33,0.17472486707060714,0.0026841198878252617,True,0.17472486707060714,0.0026841198878252617,True,0.17472486707060714,0.0026841198878252617,True
34,0.17005705780203423,0.0026465044441702445,True,0.17005705780203423,0.0026465044441702445,True,0.17005705780203423,0.0026465044441702445,True
