# Beta MLE analysis
# Sweep: n0, value: 115
# Node type: b, a: 0
# Generated: 2026-02-16T00:00:18.972425
b,p0_mle_mean,p0_mle_std,p0_theory,p0_pct_diff,p0_pct_diff_lower,p0_pct_diff_upper,alpha_mle_mean,alpha_mle_std,alpha_theory,alpha_pct_diff,alpha_pct_diff_lower,alpha_pct_diff_upper,gamma_mle_mean,gamma_mle_std,gamma_theory,gamma_pct_diff,gamma_pct_diff_lower,gamma_pct_diff_upper
1,0.25884827606298083,2.3913156166738984e-05,0.2588758900695514,-0.010666890054213845,-0.0199041952973998,-0.00142958481102789,15.688160582432221,0.2778413835680417,15.625,0.4042277275662173,-1.3739571272692497,2.182412582401684,6.299168895644098,0.6596683204879078,6.457838610480964,-2.4570096034816906,-12.672011251514162,7.757992044550781
2,0.3271656284965033,0.2974266454177074,0.2588758900695514,26.379335058434645,-88.51226235444095,141.27093247131023,1094.4844068783534,5815.755235800825,15.625,6904.700204021462,-30316.133305103813,44125.53371314674,457.52555355981923,2454.487735038771,6.457838610480964,6984.809348088428,-31023.073522430794,44992.69221860765
3,0.34020693291823045,0.26405052870604145,0.2588758900695514,31.417001724968696,-70.58188609540723,133.4158895453446,132.59358749836494,239.2283709272189,15.625,748.5989599895356,-782.4626139446652,2279.6605339237367,52.97386793992325,96.6327990754877,6.457838610480964,720.3033729264704,-776.0610440884465,2216.667789941387
4,0.29858556547885134,0.19524990380638876,0.2588758900695514,15.339271416365289,-60.082933314222615,90.7614761469532,92.5523803045917,180.77816012102966,15.625,492.33523394938686,-664.6449908252029,1649.3154587239765,35.821090040731555,68.07783501223005,6.457838610480964,454.69162674016854,-599.4975396125004,1508.8807930928374
5,0.30472549451344316,0.19691704678012875,0.2588758900695514,17.71103691099757,-58.35516095981367,93.7772347818088,68.76633320294525,225.9887921200599,15.625,340.10453249884955,-1106.2237370695339,1786.4328020672328,26.229594896517956,83.0200835319765,6.457838610480964,306.16677620199056,-979.4039625469816,1591.7375149509628
6,0.23890499680964414,0.06019354266496289,0.2588758900695514,-7.714466285192398,-30.966358397969245,15.53742582758445,950.0279679924404,6485.173987464072,15.625,5980.178995151618,-35524.93452461844,47485.292514921675,353.43065414278203,2408.2490473685857,6.457838610480964,5372.893880766392,-31918.980268272233,42664.76802980502
7,0.26939428506385005,0.11106506623994171,0.2588758900695514,4.063103362569873,-38.83972015262971,46.96592687776945,21.79361325373163,25.251130203281214,15.625,39.47912482388242,-122.12810847711737,201.0863581248822,8.710500490547947,9.260666698469935,6.457838610480964,34.88259797033252,-108.51935517603488,178.2845511166999
8,0.2721025620669499,0.10495914092886312,0.2588758900695514,5.1092714713003575,-35.43492169426019,45.65346463686091,19.879752981053468,17.47493886469153,15.625,27.230419078742194,-84.60918965528359,139.070027812768,8.007182372669144,6.400781963653893,6.457838610480964,23.99167671476987,-75.12479784787298,123.10815127741272
9,0.25799854550583406,0.007472746732018537,0.2588758900695514,-0.33890547454289355,-3.2255191062761757,2.547708157190389,17.879099463833214,6.415020018149686,15.625,14.426236568532568,-26.629891547625427,55.48236468469056,7.27060390104015,2.30752404427627,6.457838610480964,12.585716980292473,-23.14642473862873,48.31785869921368
10,0.2580791484629973,0.006232174272293804,0.2588758900695514,-0.3077697217535676,-2.715168213215798,2.099628769708663,17.10414906949212,4.538217115189786,15.625,9.46655404474957,-19.578035492465062,38.5111435819642,6.988800589525663,1.6309359970165518,6.457838610480964,8.22197659419603,-17.033160540534617,33.47711372892668
