# margin grid for p_c=0.4
# Valid region: n0 > m
# Generated: 2026-02-18T17:13:48.409019
m,n0,margin,valid
1,2,0.06951595925317561,True
3,2,,False
5,2,,False
7,2,,False
9,2,,False
11,2,,False
1,4,0.06951595925317561,True
3,4,0.15135599079307793,True
5,4,,False
7,4,,False
9,4,,False
11,4,,False
1,6,0.08980028490086306,True
3,6,0.009345913069377154,True
5,6,0.009345913069377154,True
7,6,,False
9,6,,False
11,6,,False
1,8,0.2140303099901174,True
3,8,0.029289321881345254,True
5,8,0.04934591306937719,True
7,8,0.009345913069377154,True
9,8,,False
11,8,,False
1,10,0.009345913069377154,True
3,10,0.1102002865335393,True
5,10,0.009345913069377154,True
7,10,0.04934591306937719,True
9,10,0.04934591306937719,True
11,10,,False
