# margin grid for p_c=0.2
# Valid region: n0 > m
# Generated: 2026-02-18T17:13:47.191526
m,n0,margin,valid
1,2,0.2695159592531756,True
3,2,,False
5,2,,False
7,2,,False
9,2,,False
11,2,,False
1,4,0.2695159592531756,True
3,4,0.35135599079307794,True
5,4,,False
7,4,,False
9,4,,False
11,4,,False
1,6,0.28980028490086307,True
3,6,0.16980028490086302,True
5,6,0.16980028490086302,True
7,6,,False
9,6,,False
11,6,,False
1,8,0.4140303099901174,True
3,8,0.13071796769724492,True
5,8,0.1895159592531756,True
7,8,0.13071796769724492,True
9,8,,False
11,8,,False
1,10,0.20934591306937717,True
3,10,0.3102002865335393,True
5,10,0.13071796769724492,True
7,10,0.13071796769724492,True
9,10,0.11135599079307795,True
11,10,,False
