# Network edge list with node attributes
# N: 20030, m: 3
# h: 0.2, f_a: 0.2
# Initial network nodes: 0 to 29
# Added nodes: 30 to 20029
# Total edges: 60028
# Type a nodes: 4087
# Type b nodes: 15943
# Generated: 2026-02-15T17:50:44.090406
source,target,source_type,target_type,source_in_degree,target_in_degree,source_is_initial,target_is_initial,source_order,target_order
71,11,b,b,27,42,False,True,71,11
71,0,b,b,27,21,False,True,71,0
71,25,b,b,27,45,False,True,71,25
72,51,b,b,27,48,False,False,72,51
72,22,b,a,27,31,False,True,72,22
72,47,b,a,27,27,False,False,72,47
73,67,b,b,30,21,False,False,73,67
73,25,b,b,30,45,False,True,73,25
73,7,b,b,30,43,False,True,73,7
74,25,b,b,13,45,False,True,74,25
74,38,b,b,13,39,False,False,74,38
74,31,b,b,13,29,False,False,74,31
75,23,b,b,28,31,False,True,75,23
75,3,b,b,28,66,False,True,75,3
75,4,b,b,28,62,False,True,75,4
76,34,b,b,40,39,False,False,76,34
76,43,b,b,40,34,False,False,76,43
76,51,b,b,40,48,False,False,76,51
77,49,a,b,7,23,False,False,77,49
77,13,a,b,7,48,False,True,77,13
77,64,a,b,7,31,False,False,77,64
78,76,a,b,6,40,False,False,78,76
78,23,a,b,6,31,False,True,78,23
78,16,a,b,6,52,False,True,78,16
79,35,a,b,7,31,False,False,79,35
79,16,a,b,7,52,False,True,79,16
79,64,a,b,7,31,False,False,79,64
80,38,b,b,19,39,False,False,80,38
80,76,b,b,19,40,False,False,80,76
80,43,b,b,19,34,False,False,80,43
81,59,b,b,20,31,False,False,81,59
81,5,b,b,20,50,False,True,81,5
81,21,b,b,20,47,False,True,81,21
82,61,b,b,32,45,False,False,82,61
82,23,b,b,32,31,False,True,82,23
82,56,b,b,32,25,False,False,82,56
83,4,a,b,33,62,False,True,83,4
83,41,a,b,33,40,False,False,83,41
83,30,a,b,33,31,False,False,83,30
84,16,a,b,3,52,False,True,84,16
84,82,a,b,3,32,False,False,84,82
84,70,a,b,3,23,False,False,84,70
85,18,a,b,13,30,False,True,85,18
85,51,a,b,13,48,False,False,85,51
85,28,a,b,13,45,False,True,85,28
86,2,b,b,21,26,False,True,86,2
86,53,b,b,21,27,False,False,86,53
86,40,b,b,21,33,False,False,86,40
87,86,b,b,31,21,False,False,87,86
87,28,b,b,31,45,False,True,87,28
87,61,b,b,31,45,False,False,87,61
88,60,b,b,32,24,False,False,88,60
88,72,b,b,32,27,False,False,88,72
88,26,b,b,32,40,False,True,88,26
89,35,b,b,28,31,False,False,89,35
89,61,b,b,28,45,False,False,89,61
89,41,b,b,28,40,False,False,89,41
90,28,b,b,31,45,False,True,90,28
90,87,b,b,31,31,False,False,90,87
90,59,b,b,31,31,False,False,90,59
91,7,b,b,16,43,False,True,91,7
91,25,b,b,16,45,False,True,91,25
91,52,b,b,16,31,False,False,91,52
92,72,a,b,48,27,False,False,92,72
92,15,a,b,48,33,False,True,92,15
92,60,a,b,48,24,False,False,92,60
93,0,b,b,29,21,False,True,93,0
93,75,b,b,29,28,False,False,93,75
93,40,b,b,29,33,False,False,93,40
94,60,b,b,41,24,False,False,94,60
94,81,b,b,41,20,False,False,94,81
94,87,b,b,41,31,False,False,94,87
95,11,a,b,41,42,False,True,95,11
95,24,a,a,41,40,False,True,95,24
95,10,a,b,41,38,False,True,95,10
96,13,b,b,28,48,False,True,96,13
96,59,b,b,28,31,False,False,96,59
96,75,b,b,28,28,False,False,96,75
97,82,b,b,28,32,False,False,97,82
97,49,b,b,28,23,False,False,97,49
97,27,b,b,28,29,False,True,97,27
98,15,b,b,22,33,False,True,98,15
98,44,b,b,22,36,False,False,98,44
98,65,b,b,22,23,False,False,98,65
99,89,b,b,24,28,False,False,99,89
99,58,b,b,24,25,False,False,99,58
99,97,b,b,24,28,False,False,99,97
100,36,b,b,31,17,False,False,100,36
100,74,b,b,31,13,False,False,100,74
100,70,b,b,31,23,False,False,100,70
101,14,b,a,22,104,False,True,101,14
101,38,b,b,22,39,False,False,101,38
101,10,b,b,22,38,False,True,101,10
102,23,a,b,4,31,False,True,102,23
102,71,a,b,4,27,False,False,102,71
102,94,a,b,4,41,False,False,102,94
103,33,b,b,32,61,False,False,103,33
103,25,b,b,32,45,False,True,103,25
103,75,b,b,32,28,False,False,103,75
104,76,b,b,15,40,False,False,104,76
104,49,b,b,15,23,False,False,104,49
104,86,b,b,15,21,False,False,104,86
105,52,b,b,25,31,False,False,105,52
105,2,b,b,25,26,False,True,105,2
105,75,b,b,25,28,False,False,105,75
106,18,b,b,14,30,False,True,106,18
106,89,b,b,14,28,False,False,106,89
106,26,b,b,14,40,False,True,106,26
107,86,b,b,27,21,False,False,107,86
107,58,b,b,27,25,False,False,107,58
107,17,b,a,27,77,False,True,107,17
108,62,b,b,27,30,False,False,108,62
108,73,b,b,27,30,False,False,108,73
108,13,b,b,27,48,False,True,108,13
109,11,b,b,46,42,False,True,109,11
109,10,b,b,46,38,False,True,109,10
109,59,b,b,46,31,False,False,109,59
110,92,b,a,35,48,False,False,110,92
110,10,b,b,35,38,False,True,110,10
110,43,b,b,35,34,False,False,110,43
111,21,a,b,5,47,False,True,111,21
111,25,a,b,5,45,False,True,111,25
111,96,a,b,5,28,False,False,111,96
112,60,b,b,25,24,False,False,112,60
112,32,b,b,25,45,False,False,112,32
112,107,b,b,25,27,False,False,112,107
113,88,b,b,26,32,False,False,113,88
113,73,b,b,26,30,False,False,113,73
113,18,b,b,26,30,False,True,113,18
114,42,b,b,35,31,False,False,114,42
114,10,b,b,35,38,False,True,114,10
114,43,b,b,35,34,False,False,114,43
115,27,a,b,27,29,False,True,115,27
115,46,a,a,27,7,False,False,115,46
115,13,a,b,27,48,False,True,115,13
116,14,b,a,16,104,False,True,116,14
116,113,b,b,16,26,False,False,116,113
116,100,b,b,16,31,False,False,116,100
117,49,b,b,29,23,False,False,117,49
117,62,b,b,29,30,False,False,117,62
117,68,b,b,29,20,False,False,117,68
118,75,b,b,23,28,False,False,118,75
118,23,b,b,23,31,False,True,118,23
118,64,b,b,23,31,False,False,118,64
119,42,b,b,12,31,False,False,119,42
119,19,b,b,12,35,False,True,119,19
119,105,b,b,12,25,False,False,119,105
120,14,b,a,37,104,False,True,120,14
120,43,b,b,37,34,False,False,120,43
120,105,b,b,37,25,False,False,120,105
121,69,b,a,17,20,False,False,121,69
121,86,b,b,17,21,False,False,121,86
121,105,b,b,17,25,False,False,121,105
122,13,b,b,23,48,False,True,122,13
122,80,b,b,23,19,False,False,122,80
122,104,b,b,23,15,False,False,122,104
123,20,a,b,1,37,False,True,123,20
123,44,a,b,1,36,False,False,123,44
123,31,a,b,1,29,False,False,123,31
124,5,b,b,11,50,False,True,124,5
124,54,b,b,11,44,False,False,124,54
124,40,b,b,11,33,False,False,124,40
125,86,b,b,18,21,False,False,125,86
125,120,b,b,18,37,False,False,125,120
125,5,b,b,18,50,False,True,125,5
126,87,a,b,4,31,False,False,126,87
126,91,a,b,4,16,False,False,126,91
126,96,a,b,4,28,False,False,126,96
127,8,b,b,32,57,False,True,127,8
127,82,b,b,32,32,False,False,127,82
127,44,b,b,32,36,False,False,127,44
128,89,b,b,19,28,False,False,128,89
128,8,b,b,19,57,False,True,128,8
128,100,b,b,19,31,False,False,128,100
129,0,b,b,34,21,False,True,129,0
129,64,b,b,34,31,False,False,129,64
129,5,b,b,34,50,False,True,129,5
130,88,b,b,18,32,False,False,130,88
130,33,b,b,18,61,False,False,130,33
130,59,b,b,18,31,False,False,130,59
131,89,a,b,1,28,False,False,131,89
131,25,a,b,1,45,False,True,131,25
131,100,a,b,1,31,False,False,131,100
132,13,b,b,16,48,False,True,132,13
132,33,b,b,16,61,False,False,132,33
132,100,b,b,16,31,False,False,132,100
133,67,b,b,29,21,False,False,133,67
