# Asymptotic in-edge density evolution
# N: 28005, m: 2
# h: 0.7, f_a: 1
# g_a: 2.000073, g_b: -0.000073
# Generated: 2026-03-18T18:26:14.881629
t,mean_deg_a,mean_deg_b,asymptote_a,asymptote_b
5,2.4,0.0,2.0000731288419553,-7.312884195531666e-05
105,2.019047619047619,0.0,2.0000731288419553,-7.312884195531666e-05
205,2.0097560975609756,0.0,2.0000731288419553,-7.312884195531666e-05
305,2.0065573770491802,0.0,2.0000731288419553,-7.312884195531666e-05
405,2.004938271604938,0.0,2.0000731288419553,-7.312884195531666e-05
505,2.003960396039604,0.0,2.0000731288419553,-7.312884195531666e-05
605,2.003305785123967,0.0,2.0000731288419553,-7.312884195531666e-05
705,2.002836879432624,0.0,2.0000731288419553,-7.312884195531666e-05
805,2.0024844720496895,0.0,2.0000731288419553,-7.312884195531666e-05
905,2.0022099447513813,0.0,2.0000731288419553,-7.312884195531666e-05
1005,2.0019900497512437,0.0,2.0000731288419553,-7.312884195531666e-05
1105,2.001809954751131,0.0,2.0000731288419553,-7.312884195531666e-05
1205,2.0016597510373444,0.0,2.0000731288419553,-7.312884195531666e-05
1305,2.0015325670498085,0.0,2.0000731288419553,-7.312884195531666e-05
1405,2.001423487544484,0.0,2.0000731288419553,-7.312884195531666e-05
1505,2.001328903654485,0.0,2.0000731288419553,-7.312884195531666e-05
1605,2.001246105919003,0.0,2.0000731288419553,-7.312884195531666e-05
1705,2.001173020527859,0.0,2.0000731288419553,-7.312884195531666e-05
1805,2.0011080332409974,0.0,2.0000731288419553,-7.312884195531666e-05
1905,2.0010498687664042,0.0,2.0000731288419553,-7.312884195531666e-05
2005,2.000997506234414,0.0,2.0000731288419553,-7.312884195531666e-05
2105,2.0009501187648455,0.0,2.0000731288419553,-7.312884195531666e-05
2205,2.000907029478458,0.0,2.0000731288419553,-7.312884195531666e-05
2305,2.000867678958785,0.0,2.0000731288419553,-7.312884195531666e-05
2405,2.0008316008316007,0.0,2.0000731288419553,-7.312884195531666e-05
2505,2.000798403193613,0.0,2.0000731288419553,-7.312884195531666e-05
2605,2.000767754318618,0.0,2.0000731288419553,-7.312884195531666e-05
2705,2.000739371534196,0.0,2.0000731288419553,-7.312884195531666e-05
2805,2.000713012477718,0.0,2.0000731288419553,-7.312884195531666e-05
2905,2.000688468158348,0.0,2.0000731288419553,-7.312884195531666e-05
3005,2.000665557404326,0.0,2.0000731288419553,-7.312884195531666e-05
3105,2.0006441223832527,0.0,2.0000731288419553,-7.312884195531666e-05
3205,2.0006240249609983,0.0,2.0000731288419553,-7.312884195531666e-05
3305,2.000605143721634,0.0,2.0000731288419553,-7.312884195531666e-05
3405,2.0005873715124816,0.0,2.0000731288419553,-7.312884195531666e-05
3505,2.000570613409415,0.0,2.0000731288419553,-7.312884195531666e-05
3605,2.0005547850208045,0.0,2.0000731288419553,-7.312884195531666e-05
3705,2.000539811066127,0.0,2.0000731288419553,-7.312884195531666e-05
3805,2.0005256241787124,0.0,2.0000731288419553,-7.312884195531666e-05
3905,2.0005121638924455,0.0,2.0000731288419553,-7.312884195531666e-05
4005,2.0004993757802745,0.0,2.0000731288419553,-7.312884195531666e-05
4105,2.000487210718636,0.0,2.0000731288419553,-7.312884195531666e-05
4205,2.000475624256837,0.0,2.0000731288419553,-7.312884195531666e-05
4305,2.0004645760743323,0.0,2.0000731288419553,-7.312884195531666e-05
4405,2.000454029511918,0.0,2.0000731288419553,-7.312884195531666e-05
4505,2.000443951165372,0.0,2.0000731288419553,-7.312884195531666e-05
4605,2.0004343105320306,0.0,2.0000731288419553,-7.312884195531666e-05
4705,2.000425079702444,0.0,2.0000731288419553,-7.312884195531666e-05
4805,2.000416233090531,0.0,2.0000731288419553,-7.312884195531666e-05
4905,2.000407747196738,0.0,2.0000731288419553,-7.312884195531666e-05
5005,2.0003996003996005,0.0,2.0000731288419553,-7.312884195531666e-05
5105,2.0003917727717924,0.0,2.0000731288419553,-7.312884195531666e-05
5205,2.0003842459173873,0.0,2.0000731288419553,-7.312884195531666e-05
5305,2.000377002827521,0.0,2.0000731288419553,-7.312884195531666e-05
5405,2.0003700277520813,0.0,2.0000731288419553,-7.312884195531666e-05
5505,2.0003633060853767,0.0,2.0000731288419553,-7.312884195531666e-05
5605,2.00035682426405,0.0,2.0000731288419553,-7.312884195531666e-05
5705,2.000350569675723,0.0,2.0000731288419553,-7.312884195531666e-05
5805,2.0003445305770886,0.0,2.0000731288419553,-7.312884195531666e-05
5905,2.0003386960203215,0.0,2.0000731288419553,-7.312884195531666e-05
6005,2.0003330557868444,0.0,2.0000731288419553,-7.312884195531666e-05
6105,2.0003276003276005,0.0,2.0000731288419553,-7.312884195531666e-05
6205,2.0003223207091057,0.0,2.0000731288419553,-7.312884195531666e-05
6305,2.0003172085646312,0.0,2.0000731288419553,-7.312884195531666e-05
6405,2.000312256049961,0.0,2.0000731288419553,-7.312884195531666e-05
6505,2.0003074558032283,0.0,2.0000731288419553,-7.312884195531666e-05
6605,2.0003028009084027,0.0,2.0000731288419553,-7.312884195531666e-05
6705,2.000298284862043,0.0,2.0000731288419553,-7.312884195531666e-05
6805,2.000293901542983,0.0,2.0000731288419553,-7.312884195531666e-05
6905,2.000289645184649,0.0,2.0000731288419553,-7.312884195531666e-05
7005,2.0002855103497503,0.0,2.0000731288419553,-7.312884195531666e-05
7105,2.0002814919071077,0.0,2.0000731288419553,-7.312884195531666e-05
7205,2.0002775850104095,0.0,2.0000731288419553,-7.312884195531666e-05
7305,2.000273785078713,0.0,2.0000731288419553,-7.312884195531666e-05
7405,2.000270087778528,0.0,2.0000731288419553,-7.312884195531666e-05
7505,2.0002664890073283,0.0,2.0000731288419553,-7.312884195531666e-05
7605,2.0002629848783693,0.0,2.0000731288419553,-7.312884195531666e-05
7705,2.000259571706684,0.0,2.0000731288419553,-7.312884195531666e-05
7805,2.000256245996156,0.0,2.0000731288419553,-7.312884195531666e-05
7905,2.0002530044275777,0.0,2.0000731288419553,-7.312884195531666e-05
8005,2.000249843847595,0.0,2.0000731288419553,-7.312884195531666e-05
8105,2.000246761258482,0.0,2.0000731288419553,-7.312884195531666e-05
8205,2.000243753808653,0.0,2.0000731288419553,-7.312884195531666e-05
8305,2.000240818783865,0.0,2.0000731288419553,-7.312884195531666e-05
8405,2.000237953599048,0.0,2.0000731288419553,-7.312884195531666e-05
8505,2.0002351557907114,0.0,2.0000731288419553,-7.312884195531666e-05
8605,2.000232423009878,0.0,2.0000731288419553,-7.312884195531666e-05
8705,2.000229753015508,0.0,2.0000731288419553,-7.312884195531666e-05
8805,2.0002271436683703,0.0,2.0000731288419553,-7.312884195531666e-05
8905,2.000224592925323,0.0,2.0000731288419553,-7.312884195531666e-05
9005,2.000222098833981,0.0,2.0000731288419553,-7.312884195531666e-05
9105,2.000219659527732,0.0,2.0000731288419553,-7.312884195531666e-05
9205,2.0002172732210757,0.0,2.0000731288419553,-7.312884195531666e-05
9305,2.000214938205266,0.0,2.0000731288419553,-7.312884195531666e-05
9405,2.000212652844232,0.0,2.0000731288419553,-7.312884195531666e-05
9505,2.000210415570752,0.0,2.0000731288419553,-7.312884195531666e-05
9605,2.0002082248828734,0.0,2.0000731288419553,-7.312884195531666e-05
9705,2.000206079340546,0.0,2.0000731288419553,-7.312884195531666e-05
9805,2.0002039775624683,0.0,2.0000731288419553,-7.312884195531666e-05
9905,2.0002019182231194,0.0,2.0000731288419553,-7.312884195531666e-05
10005,2.000199900049975,0.0,2.0000731288419553,-7.312884195531666e-05
10105,2.000197921820881,0.0,2.0000731288419553,-7.312884195531666e-05
10205,2.0001959823615874,0.0,2.0000731288419553,-7.312884195531666e-05
10305,2.0001940805434257,0.0,2.0000731288419553,-7.312884195531666e-05
10405,2.000192215281115,0.0,2.0000731288419553,-7.312884195531666e-05
10505,2.0001903855306997,0.0,2.0000731288419553,-7.312884195531666e-05
10605,2.0001885902876,0.0,2.0000731288419553,-7.312884195531666e-05
10705,2.0001868285847735,0.0,2.0000731288419553,-7.312884195531666e-05
10805,2.0001850994909764,0.0,2.0000731288419553,-7.312884195531666e-05
10905,2.000183402109124,0.0,2.0000731288419553,-7.312884195531666e-05
11005,2.000181735574739,0.0,2.0000731288419553,-7.312884195531666e-05
11105,2.00018009905448,0.0,2.0000731288419553,-7.312884195531666e-05
11205,2.000178491744757,0.0,2.0000731288419553,-7.312884195531666e-05
11305,2.0001769128704114,0.0,2.0000731288419553,-7.312884195531666e-05
11405,2.000175361683472,0.0,2.0000731288419553,-7.312884195531666e-05
11505,2.000173837461973,0.0,2.0000731288419553,-7.312884195531666e-05
11605,2.000172339508832,0.0,2.0000731288419553,-7.312884195531666e-05
11705,2.00017086715079,0.0,2.0000731288419553,-7.312884195531666e-05
11805,2.0001694197373996,0.0,2.0000731288419553,-7.312884195531666e-05
11905,2.000167996640067,0.0,2.0000731288419553,-7.312884195531666e-05
12005,2.0001665972511455,0.0,2.0000731288419553,-7.312884195531666e-05
12105,2.0001652209830647,0.0,2.0000731288419553,-7.312884195531666e-05
12205,2.0001638672675135,0.0,2.0000731288419553,-7.312884195531666e-05
12305,2.0001625355546526,0.0,2.0000731288419553,-7.312884195531666e-05
12405,2.000161225312374,0.0,2.0000731288419553,-7.312884195531666e-05
12505,2.00015993602559,0.0,2.0000731288419553,-7.312884195531666e-05
12605,2.0001586671955573,0.0,2.0000731288419553,-7.312884195531666e-05
12705,2.0001574183392363,0.0,2.0000731288419553,-7.312884195531666e-05
12805,2.0001561889886763,0.0,2.0000731288419553,-7.312884195531666e-05
12905,2.0001549786904302,0.0,2.0000731288419553,-7.312884195531666e-05
13005,2.000153787004998,0.0,2.0000731288419553,-7.312884195531666e-05
13105,2.0001526135062955,0.0,2.0000731288419553,-7.312884195531666e-05
13205,2.0001514577811434,0.0,2.0000731288419553,-7.312884195531666e-05
13305,2.000150319428786,0.0,2.0000731288419553,-7.312884195531666e-05
13405,2.0001491980604253,0.0,2.0000731288419553,-7.312884195531666e-05
13505,2.0001480932987783,0.0,2.0000731288419553,-7.312884195531666e-05
