# Network edges data
# Layout: spring
# N: 28005, m: 2
# h: 0.7, f_a: 1
# Initial core size (n0): 5
# Added nodes: 28000
# Generated: 2026-03-18T18:26:12.046114
source,target,source_origin,target_origin,source_type,target_type
87,4,added,initial_core,Type a,Type a
87,17,added,added,Type a,Type a
88,85,added,added,Type a,Type a
88,25,added,added,Type a,Type a
89,30,added,added,Type a,Type a
89,17,added,added,Type a,Type a
90,8,added,added,Type a,Type a
90,46,added,added,Type a,Type a
91,2,added,initial_core,Type a,Type a
91,3,added,initial_core,Type a,Type a
92,8,added,added,Type a,Type a
92,2,added,initial_core,Type a,Type a
93,1,added,initial_core,Type a,Type a
93,15,added,added,Type a,Type a
94,15,added,added,Type a,Type a
94,16,added,added,Type a,Type a
95,4,added,initial_core,Type a,Type a
95,1,added,initial_core,Type a,Type a
96,65,added,added,Type a,Type a
96,37,added,added,Type a,Type a
97,2,added,initial_core,Type a,Type a
97,8,added,added,Type a,Type a
98,15,added,added,Type a,Type a
98,81,added,added,Type a,Type a
99,0,added,initial_core,Type a,Type a
99,15,added,added,Type a,Type a
100,8,added,added,Type a,Type a
100,10,added,added,Type a,Type a
101,4,added,initial_core,Type a,Type a
101,0,added,initial_core,Type a,Type a
102,101,added,added,Type a,Type a
102,0,added,initial_core,Type a,Type a
103,22,added,added,Type a,Type a
103,0,added,initial_core,Type a,Type a
104,20,added,added,Type a,Type a
104,1,added,initial_core,Type a,Type a
105,4,added,initial_core,Type a,Type a
105,98,added,added,Type a,Type a
106,4,added,initial_core,Type a,Type a
106,91,added,added,Type a,Type a
107,44,added,added,Type a,Type a
107,2,added,initial_core,Type a,Type a
108,16,added,added,Type a,Type a
108,58,added,added,Type a,Type a
109,36,added,added,Type a,Type a
109,55,added,added,Type a,Type a
110,17,added,added,Type a,Type a
110,20,added,added,Type a,Type a
111,11,added,added,Type a,Type a
111,83,added,added,Type a,Type a
112,53,added,added,Type a,Type a
112,65,added,added,Type a,Type a
113,57,added,added,Type a,Type a
113,37,added,added,Type a,Type a
114,14,added,added,Type a,Type a
114,56,added,added,Type a,Type a
115,13,added,added,Type a,Type a
115,4,added,initial_core,Type a,Type a
116,37,added,added,Type a,Type a
116,4,added,initial_core,Type a,Type a
117,6,added,added,Type a,Type a
117,58,added,added,Type a,Type a
118,21,added,added,Type a,Type a
118,85,added,added,Type a,Type a
119,36,added,added,Type a,Type a
119,9,added,added,Type a,Type a
120,1,added,initial_core,Type a,Type a
120,23,added,added,Type a,Type a
121,7,added,added,Type a,Type a
121,2,added,initial_core,Type a,Type a
122,7,added,added,Type a,Type a
122,12,added,added,Type a,Type a
123,93,added,added,Type a,Type a
123,98,added,added,Type a,Type a
124,95,added,added,Type a,Type a
124,31,added,added,Type a,Type a
125,2,added,initial_core,Type a,Type a
125,61,added,added,Type a,Type a
126,24,added,added,Type a,Type a
126,61,added,added,Type a,Type a
127,81,added,added,Type a,Type a
127,11,added,added,Type a,Type a
128,35,added,added,Type a,Type a
128,1,added,initial_core,Type a,Type a
129,34,added,added,Type a,Type a
129,19,added,added,Type a,Type a
130,116,added,added,Type a,Type a
130,76,added,added,Type a,Type a
131,4,added,initial_core,Type a,Type a
131,122,added,added,Type a,Type a
132,103,added,added,Type a,Type a
132,24,added,added,Type a,Type a
133,99,added,added,Type a,Type a
133,1,added,initial_core,Type a,Type a
134,3,added,initial_core,Type a,Type a
134,1,added,initial_core,Type a,Type a
135,108,added,added,Type a,Type a
135,4,added,initial_core,Type a,Type a
136,117,added,added,Type a,Type a
136,23,added,added,Type a,Type a
137,55,added,added,Type a,Type a
137,85,added,added,Type a,Type a
138,4,added,initial_core,Type a,Type a
138,19,added,added,Type a,Type a
139,116,added,added,Type a,Type a
139,4,added,initial_core,Type a,Type a
140,20,added,added,Type a,Type a
140,103,added,added,Type a,Type a
141,6,added,added,Type a,Type a
141,0,added,initial_core,Type a,Type a
142,2,added,initial_core,Type a,Type a
142,7,added,added,Type a,Type a
143,117,added,added,Type a,Type a
143,1,added,initial_core,Type a,Type a
144,56,added,added,Type a,Type a
144,2,added,initial_core,Type a,Type a
145,19,added,added,Type a,Type a
145,0,added,initial_core,Type a,Type a
146,12,added,added,Type a,Type a
146,4,added,initial_core,Type a,Type a
147,98,added,added,Type a,Type a
147,20,added,added,Type a,Type a
148,0,added,initial_core,Type a,Type a
148,68,added,added,Type a,Type a
149,27,added,added,Type a,Type a
149,45,added,added,Type a,Type a
150,2,added,initial_core,Type a,Type a
150,1,added,initial_core,Type a,Type a
151,1,added,initial_core,Type a,Type a
151,17,added,added,Type a,Type a
152,4,added,initial_core,Type a,Type a
152,103,added,added,Type a,Type a
153,4,added,initial_core,Type a,Type a
153,37,added,added,Type a,Type a
154,1,added,initial_core,Type a,Type a
154,14,added,added,Type a,Type a
155,2,added,initial_core,Type a,Type a
155,4,added,initial_core,Type a,Type a
156,0,added,initial_core,Type a,Type a
156,85,added,added,Type a,Type a
157,50,added,added,Type a,Type a
157,28,added,added,Type a,Type a
158,55,added,added,Type a,Type a
158,17,added,added,Type a,Type a
159,20,added,added,Type a,Type a
159,0,added,initial_core,Type a,Type a
160,101,added,added,Type a,Type a
160,28,added,added,Type a,Type a
161,77,added,added,Type a,Type a
161,30,added,added,Type a,Type a
162,140,added,added,Type a,Type a
162,141,added,added,Type a,Type a
163,128,added,added,Type a,Type a
163,24,added,added,Type a,Type a
164,20,added,added,Type a,Type a
164,39,added,added,Type a,Type a
165,128,added,added,Type a,Type a
165,36,added,added,Type a,Type a
166,32,added,added,Type a,Type a
166,1,added,initial_core,Type a,Type a
167,68,added,added,Type a,Type a
167,85,added,added,Type a,Type a
168,0,added,initial_core,Type a,Type a
168,65,added,added,Type a,Type a
169,4,added,initial_core,Type a,Type a
169,75,added,added,Type a,Type a
170,90,added,added,Type a,Type a
170,143,added,added,Type a,Type a
171,108,added,added,Type a,Type a
171,9,added,added,Type a,Type a
172,0,added,initial_core,Type a,Type a
172,88,added,added,Type a,Type a
173,16,added,added,Type a,Type a
173,2,added,initial_core,Type a,Type a
174,4,added,initial_core,Type a,Type a
174,16,added,added,Type a,Type a
175,7,added,added,Type a,Type a
175,4,added,initial_core,Type a,Type a
176,42,added,added,Type a,Type a
176,95,added,added,Type a,Type a
177,37,added,added,Type a,Type a
177,1,added,initial_core,Type a,Type a
178,22,added,added,Type a,Type a
178,46,added,added,Type a,Type a
179,40,added,added,Type a,Type a
179,1,added,initial_core,Type a,Type a
180,85,added,added,Type a,Type a
180,158,added,added,Type a,Type a
181,29,added,added,Type a,Type a
181,153,added,added,Type a,Type a
182,55,added,added,Type a,Type a
182,95,added,added,Type a,Type a
183,1,added,initial_core,Type a,Type a
183,14,added,added,Type a,Type a
184,4,added,initial_core,Type a,Type a
184,39,added,added,Type a,Type a
185,29,added,added,Type a,Type a
185,78,added,added,Type a,Type a
186,17,added,added,Type a,Type a
186,2,added,initial_core,Type a,Type a
187,29,added,added,Type a,Type a
187,116,added,added,Type a,Type a
188,138,added,added,Type a,Type a
188,159,added,added,Type a,Type a
189,102,added,added,Type a,Type a
189,0,added,initial_core,Type a,Type a
190,0,added,initial_core,Type a,Type a
190,97,added,added,Type a,Type a
191,1,added,initial_core,Type a,Type a
191,159,added,added,Type a,Type a
192,173,added,added,Type a,Type a
