# frac_nodes grid for p_c=0.1
# Valid region: n0 > m
# Generated: 2026-02-16T09:01:15.949223
m,n0,frac_nodes,valid
15,150,0.9910824869952936,True
17,150,0.9928606597735106,True
19,150,0.9905987135081643,True
21,150,0.9908065702378034,True
23,150,0.9904294478527608,True
25,150,0.9907475042610178,True
27,150,0.9896919867468401,True
29,150,0.9869986508033852,True
31,150,0.9877429738764393,True
33,150,0.9863878232891968,True
