# frac_edges grid for p_c=0.2
# Valid region: n0 > m
# Generated: 2026-02-16T09:01:17.279520
m,n0,frac_edges,valid
1,150,1.0,True
3,150,1.0,True
5,150,0.9357711834733894,True
7,150,0.9332962315153442,True
9,150,0.9126543574399958,True
11,150,0.8970666305219522,True
13,150,0.8887155283379491,True
15,150,0.848115042195222,True
17,150,0.8695362216365623,True
19,150,0.8152995883518829,True
21,150,0.8015132877535257,True
23,150,0.8017134660352518,True
25,150,0.7747268297484865,True
27,150,0.7484547164740661,True
29,150,0.7080917417303763,True
31,150,0.6981012691599922,True
33,150,0.6756704148333242,True
