# margin grid for p_c=0.1
# Valid region: n0 > m
# Generated: 2026-02-16T09:01:15.555334
m,n0,margin,valid
19,140,0.09796775032291671,True
21,140,0.079601324517834,True
23,140,0.21135599079307796,True
25,140,0.09796775032291671,True
27,140,0.41020028653353935,True
29,140,0.15403030999011744,True
31,140,0.17300746310222312,True
33,140,0.09796775032291671,True
1,150,0.5565019685344498,True
3,150,0.11650196853444986,True
5,150,0.06141672593649275,True
7,150,0.025667689171175484,True
9,150,0.06141672593649275,True
11,150,0.13519259301592138,True
13,150,0.06141672593649275,True
15,150,0.23071796769724492,True
17,150,0.11650196853444986,True
19,150,0.15403030999011744,True
21,150,0.00815407441273712,True
23,150,0.15403030999011744,True
25,150,0.06141672593649275,True
27,150,0.025667689171175484,True
29,150,0.3292893218813453,True
31,150,0.04343145750507618,True
33,150,0.28951595925317564,True
