# Beta MLE analysis
# Sweep: n0, value: 80
# Node type: b, a: 0
# Generated: 2026-02-16T00:00:18.107074
b,p0_mle_mean,p0_mle_std,p0_theory,p0_pct_diff,p0_pct_diff_lower,p0_pct_diff_upper,alpha_mle_mean,alpha_mle_std,alpha_theory,alpha_pct_diff,alpha_pct_diff_lower,alpha_pct_diff_upper,gamma_mle_mean,gamma_mle_std,gamma_theory,gamma_pct_diff,gamma_pct_diff_lower,gamma_pct_diff_upper
1,0.25849197124462153,1.4205590289305451e-05,0.2584974279419893,-0.0021109290762513833,-0.007606376517412538,0.003384518364909771,15.643239877063484,0.21547888633674278,15.625,0.11673521320630016,-1.2623296593488538,1.4958000857614542,6.405678487200939,0.5088981379657485,6.447077951979908,-0.6421430776442749,-8.535612673579049,7.2513265182905
2,0.253461527747912,0.16097315458413938,0.2584974279419893,-1.948143250078093,-64.22077623746091,60.32448973730473,107.14412094638777,236.7565594825488,15.625,585.7223740568818,-929.5196066314306,2100.964354745194,43.982381532934276,97.18131110031703,6.447077951979908,582.2064485729883,-925.1634300628438,2089.57632720882
3,0.3540084988493326,0.2833868816209363,0.2584974279419893,36.94855754184811,-72.67995361089439,146.57706869459062,100.67988188486999,153.29582290099162,15.625,544.351244063168,-436.7420225031784,1525.4445106295143,40.71557683613632,62.53055569732997,6.447077951979908,531.5353581793206,-438.3700185367579,1501.4407348953991
4,0.21124451220334767,0.1143227766169728,0.2584974279419893,-18.279839809178263,-62.50572535362883,25.946045735272307,558.6141067663056,3030.6573727052355,15.625,3475.1302833043555,-15921.076902009154,22871.337468617865,213.10705041523812,1147.8501233180405,6.447077951979908,3205.4827629281663,-14598.709025470076,21009.67455132641
5,0.26682141070211157,0.08906040630076463,0.2584974279419893,3.2201414251557954,-31.23296977591624,37.67325262622783,105.87702659202876,461.31614517268315,15.625,577.612970188984,-2374.8103589161883,3530.0362992941564,40.39071671849209,172.43371013507988,6.447077951979908,526.4964844435925,-2148.106047423192,3201.0990163103775
6,0.2859911913803966,0.1514218115661153,0.2584974279419893,10.63599110339205,-47.9416948610875,69.2136770678716,30.348748391035752,48.06893588382718,15.625,94.23198970262881,-213.40919995386514,401.8731793591228,11.970534079940348,18.1356576253301,6.447077951979908,85.67379158591028,-195.62663258160904,366.97421575342963
7,0.27350095626681176,0.10423473489299923,0.2584974279419893,5.804130603647418,-34.519185462921364,46.127446670216194,22.36529946272693,27.56839792055675,15.625,43.13791656145236,-133.29983013011088,219.5756632530156,8.949624177853178,10.337316894186133,6.447077951979908,38.81675147273088,-121.52436695614628,199.15786990160805
9,0.2588880588838982,0.012017864123949179,0.2584974279419893,0.15111598789158961,-4.498007301120851,4.800239276904031,17.340478451796734,6.271741637495375,15.625,10.979062091499099,-29.160084388471308,51.11820857146951,7.075899919590189,2.2778712731581625,6.447077951979908,9.753596471051942,-25.578243629603648,45.08543657170753
10,0.2587724048236031,0.006317967206698448,0.2584974279419893,0.10637509386572049,-2.3377371191642267,2.5504873068956675,16.2415972036935,3.8383040234821264,15.625,3.946222103638411,-20.618923646647197,28.51136785392402,6.673864457588521,1.3661630116234955,6.447077951979908,3.517663463941303,-17.672758333331124,24.708085261213732
11,0.25734599161982424,0.0045360079077562225,0.2584974279419893,-0.44543434390514614,-2.2001937408822685,1.309325053071976,16.041395972310553,2.999508863558002,15.625,2.6649342227875423,-16.53192250398367,21.861790949558756,6.599151177231562,1.0429789521903232,6.447077951979908,2.358793028164822,-13.818752209519527,18.53633826584917
