# Beta MLE analysis
# Sweep: m_edges, value: 9
# Node type: b, a: 0
# Generated: 2026-02-15T23:13:54.963540
b,p0_mle_mean,p0_mle_std,p0_theory,p0_pct_diff,p0_pct_diff_lower,p0_pct_diff_upper,alpha_mle_mean,alpha_mle_std,alpha_theory,alpha_pct_diff,alpha_pct_diff_lower,alpha_pct_diff_upper,gamma_mle_mean,gamma_mle_std,gamma_theory,gamma_pct_diff,gamma_pct_diff_lower,gamma_pct_diff_upper
1,0.14200423209675875,2.6826986922394042e-05,0.1419783772782851,0.01821039158868888,-0.0006847299338030507,0.03710551311118081,15.646410937658242,0.22256328342104384,15.625,0.13703000101274937,-1.2873750128819312,1.56143501490743,3.4356907573204567,0.9400832868988999,3.585496782629113,-4.178110716328941,-30.397163302106787,22.040941869448904
7,0.15845090272452103,0.09499576450853482,0.1419783772782851,11.60213672110712,-55.30647734365156,78.5107507858658,36.321817106303996,55.73978117166757,15.625,132.45962948034557,-224.2749700183269,489.194228979018,7.795396597805148,11.251568194361877,3.585496782629113,117.41468673384418,-196.393102715949,431.22247618363735
14,0.14172186938544548,0.004782588153702458,0.1419783772782851,-0.18066687178488858,-3.549199633874663,3.1878658903048858,15.361984792202243,4.045296677003459,15.625,-1.6832973299056448,-27.57319606272778,24.20660140291649,3.5548701562461957,0.731207543258379,3.585496782629113,-0.8541808357295464,-21.247660110370294,19.5392984389112
21,0.14199315456691147,0.0017121820678506307,0.1419783772782851,0.010408126159522262,-1.1955375260398007,1.2163537783588454,15.485953347195238,2.2011321745703327,15.625,-0.8898985779504756,-14.977144495200605,13.197347339299654,3.5805722588978868,0.3767062283834271,3.585496782629113,-0.13734564635741614,-10.643734334487885,10.369043041773054
27,0.14198116804428923,0.0010682748557031168,0.1419783772782851,0.001965627483298889,-0.7504551820666241,0.7543864370332218,15.809836315429958,1.7564857581029216,15.625,1.1829524187517335,-10.058556433106965,12.424461270610433,3.6396065861407694,0.289305222105421,3.585496782629113,1.5091298860957156,-6.559632677213129,9.57789244940456
34,0.14195749520361128,0.000566918044750659,0.1419783772782851,-0.014707926005445574,-0.41400678800009266,0.3845909359892015,15.938628776496273,1.6604550606772854,15.625,2.0072241695761477,-8.61968821875848,12.634136557910775,3.662222557763911,0.2681441071737687,3.585496782629113,2.1398924552523972,-5.338683692768812,9.618468603273605
41,0.14199603143316608,0.0005133799728232374,0.1419783772782851,0.01243439685634096,-0.34915585559244255,0.37402464930512447,15.913333753011125,1.413938719542444,15.625,1.8453360192712012,-7.203871785800439,10.894543824342842,3.6572065544514385,0.22501753372931993,3.585496782629113,1.9999954307515309,-4.275774633231705,8.275765494734767
47,0.14188277256142676,0.0003234146267732388,0.1419783772782851,-0.06733751905824314,-0.2951289848948536,0.16045394677836736,15.806056473772676,1.17636546089666,15.625,1.158761432145127,-6.369977517593498,8.687500381883751,3.639936698848181,0.18638369852296635,3.585496782629113,1.5183367750549,-3.67993029426591,6.71660384437571
54,0.1420442768168345,0.0006348328783467402,0.1419783772782851,0.04641519350530475,-0.4007183000001424,0.49354868701075194,15.649344622981474,0.9669459273552149,15.625,0.15580558708143144,-6.032648347991945,6.3442595221548075,3.614795104957098,0.15392381150835158,3.585496782629113,0.817134252356005,-3.4758220892610385,5.110090593973048
61,0.1419450726204472,0.0002630774369125921,0.1419783772782851,-0.023457556338052906,-0.20875157219861346,0.16183645952250764,15.59978593132114,0.807832348240232,15.625,-0.16137003954470402,-5.3314970682821885,5.00875698919278,3.606957438254802,0.1275381003293629,3.585496782629113,0.5985406465754181,-2.9585145695177872,4.155595862668624
