# Network nodes data
# Layout: spring
# N: 5004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-10T11:03:27.480479
node_id,node_type,in_degree,out_degree
0,Type b,99,3
1,Type b,78,3
2,Type b,90,3
3,Type b,103,3
4,Type b,94,3
5,Type b,75,3
6,Type b,55,3
7,Type b,43,3
8,Type a,16,3
9,Type b,30,3
10,Type b,20,3
11,Type b,23,3
12,Type b,11,3
13,Type b,86,3
14,Type b,41,3
15,Type b,30,3
16,Type b,70,3
17,Type b,20,3
18,Type b,47,3
19,Type b,6,3
20,Type b,44,3
21,Type a,5,3
22,Type b,18,3
23,Type b,29,3
24,Type b,24,3
25,Type b,25,3
26,Type b,42,3
27,Type b,38,3
28,Type b,14,3
29,Type b,30,3
30,Type b,34,3
31,Type b,43,3
32,Type b,30,3
33,Type b,9,3
34,Type b,11,3
35,Type b,11,3
36,Type b,18,3
37,Type b,20,3
38,Type b,50,3
39,Type b,27,3
40,Type b,23,3
41,Type b,24,3
42,Type b,57,3
43,Type b,17,3
44,Type b,11,3
45,Type b,17,3
46,Type b,23,3
47,Type b,31,3
48,Type b,18,3
49,Type b,11,3
50,Type b,22,3
51,Type b,39,3
52,Type b,30,3
53,Type a,1,3
54,Type b,24,3
55,Type a,3,3
56,Type b,10,3
57,Type b,26,3
58,Type b,27,3
59,Type a,1,3
60,Type b,23,3
61,Type b,17,3
62,Type a,3,3
63,Type b,20,3
64,Type b,35,3
65,Type a,1,3
66,Type a,1,3
67,Type b,22,3
68,Type b,22,3
69,Type b,43,3
70,Type b,20,3
71,Type b,13,3
72,Type b,9,3
73,Type b,17,3
74,Type b,7,3
75,Type a,1,3
76,Type b,24,3
77,Type b,28,3
78,Type b,18,3
79,Type a,3,3
80,Type b,9,3
81,Type a,3,3
82,Type b,6,3
83,Type b,27,3
84,Type b,26,3
85,Type b,15,3
86,Type b,17,3
87,Type b,12,3
88,Type b,16,3
89,Type b,11,3
90,Type b,9,3
91,Type b,16,3
92,Type b,17,3
93,Type b,18,3
94,Type b,9,3
95,Type a,3,3
96,Type b,19,3
97,Type b,24,3
98,Type b,17,3
99,Type b,10,3
100,Type b,28,3
101,Type b,16,3
102,Type b,15,3
103,Type b,19,3
104,Type b,7,3
105,Type b,16,3
106,Type b,11,3
107,Type b,23,3
108,Type b,17,3
109,Type b,6,3
110,Type b,16,3
111,Type b,12,3
112,Type b,20,3
113,Type b,21,3
114,Type b,19,3
115,Type b,13,3
116,Type b,32,3
117,Type b,21,3
118,Type b,17,3
119,Type b,29,3
120,Type a,0,3
121,Type b,33,3
122,Type b,18,3
123,Type b,8,3
124,Type b,23,3
125,Type a,4,3
126,Type b,15,3
127,Type a,3,3
128,Type b,14,3
129,Type b,14,3
130,Type b,6,3
131,Type b,43,3
132,Type b,23,3
133,Type b,28,3
134,Type b,1,3
135,Type b,20,3
136,Type b,14,3
137,Type b,13,3
138,Type b,18,3
139,Type b,17,3
140,Type b,7,3
141,Type b,13,3
142,Type b,10,3
143,Type b,7,3
144,Type b,6,3
145,Type b,9,3
146,Type b,26,3
147,Type b,15,3
148,Type b,23,3
149,Type b,12,3
150,Type b,9,3
151,Type a,0,3
152,Type b,14,3
153,Type b,13,3
154,Type b,8,3
155,Type b,16,3
156,Type b,35,3
157,Type b,12,3
158,Type a,0,3
159,Type b,11,3
160,Type b,5,3
161,Type b,15,3
162,Type b,14,3
163,Type b,18,3
164,Type b,18,3
165,Type b,8,3
166,Type b,9,3
167,Type a,4,3
168,Type b,13,3
169,Type b,7,3
170,Type b,9,3
171,Type b,5,3
172,Type b,7,3
173,Type b,19,3
174,Type b,6,3
175,Type b,9,3
176,Type b,21,3
177,Type b,15,3
178,Type b,26,3
179,Type b,16,3
180,Type b,11,3
181,Type b,16,3
182,Type b,10,3
183,Type b,16,3
184,Type b,6,3
185,Type b,17,3
186,Type b,12,3
187,Type b,14,3
188,Type b,14,3
189,Type b,15,3
190,Type b,11,3
191,Type b,8,3
192,Type b,15,3
193,Type b,26,3
194,Type b,5,3
195,Type b,10,3
196,Type b,8,3
197,Type b,12,3
198,Type b,11,3
199,Type b,10,3
200,Type b,12,3
201,Type b,17,3
202,Type b,8,3
203,Type a,2,3
204,Type b,19,3
205,Type b,7,3
206,Type a,0,3
207,Type a,0,3
208,Type b,12,3
209,Type b,11,3
210,Type b,21,3
211,Type b,10,3
212,Type b,4,3
213,Type b,11,3
214,Type b,13,3
215,Type a,1,3
216,Type b,17,3
217,Type b,17,3
218,Type b,10,3
219,Type a,0,3
220,Type a,3,3
221,Type b,13,3
222,Type b,12,3
223,Type b,18,3
224,Type b,5,3
225,Type b,10,3
226,Type b,2,3
227,Type a,3,3
228,Type b,6,3
229,Type b,23,3
230,Type b,5,3
231,Type b,12,3
232,Type b,11,3
233,Type b,9,3
234,Type a,0,3
235,Type b,7,3
236,Type b,14,3
237,Type a,1,3
238,Type b,11,3
239,Type b,8,3
240,Type b,8,3
241,Type b,10,3
242,Type b,16,3
243,Type b,9,3
244,Type a,2,3
245,Type b,4,3
246,Type b,13,3
247,Type b,12,3
248,Type a,1,3
249,Type b,6,3
250,Type b,9,3
251,Type b,10,3
252,Type b,7,3
253,Type b,20,3
254,Type b,19,3
255,Type b,7,3
256,Type b,14,3
257,Type b,20,3
258,Type b,10,3
259,Type b,3,3
260,Type b,16,3
261,Type b,17,3
262,Type b,5,3
263,Type b,13,3
