# Network summary statistics
# Layout: spring
# Generated: 2026-04-10T11:03:27.704896
metric,value
Total Nodes,5004.0
Total Edges,15012.0
Type a Nodes,487.0
Type b Nodes,4517.0
Average In-Degree,6.0
Network Density,0.0005996402158704777
